file,size_bytes,row_count,column_count,blank_cell_fraction,placeholder_row_count,contract_relevance,v4_action
v3_alignment_casewise.csv,8315,32,21,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_alignment_failure_correlation.csv,1783,15,7,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_arc_component_effect.csv,684,2,15,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_arc_design_code_runtime_matrix.csv,317,6,5,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_arc_final_output_trace.csv,317,6,5,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_batch0_7_casewise_metrics.csv,26173,88,34,0.050134,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_batch0_7_lineage.csv,2501,4,18,0.055556,0,required_v4_focus,CARRY_FORWARD_OR_NORMALIZE
v3_batch7_mechanism_evidence.csv,1101,4,15,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_canonical_modality_manifest.csv,63344,220,23,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_cascade_casewise_metrics.csv,6372,27,15,0.066667,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_cascade_component_effect.csv,885,3,15,0.000000,1,supporting_v3_table,REBUILD_OR_EXPLAIN_PLACEHOLDER_ROWS
v3_cascade_correction_ceiling.csv,555,3,7,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_case_atlas_manifest.csv,15638,40,17,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_case_atlas_quality.csv,7453,40,10,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_cine_ed_temporal_probe.csv,2175,9,10,0.033333,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_cine_motion_quality.csv,35441,59,10,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_feature_probe_casewise.csv,892155,10466,7,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_feature_probe_controls.csv,3405,24,14,0.214286,9,supporting_v3_table,REBUILD_OR_EXPLAIN_PLACEHOLDER_ROWS
v3_feature_probe_loadability.csv,1402,5,11,0.400000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_feature_probe_summary.csv,135523,1008,14,0.220663,387,required_v4_focus,REBUILD_OR_EXPLAIN_PLACEHOLDER_ROWS
v3_final_evidence_state.csv,789,5,6,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_final_gpu_state.csv,182,1,5,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_label_reliability_manifest.csv,35493,220,11,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_large_gain_error_budget.csv,555,3,7,0.000000,0,required_v4_focus,CARRY_FORWARD_OR_NORMALIZE
v3_large_gain_upper_bound.csv,1243,3,13,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_missing_scientific_evidence.csv,1,0,0,1.000000,0,supporting_v3_table,REBUILD_REQUIRED_EMPTY_TABLE
v3_mmrd_casewise_metrics.csv,1,0,0,1.000000,0,required_v4_focus,REBUILD_REQUIRED_EMPTY_TABLE
v3_mmrd_component_effect.csv,922,3,15,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_mmrd_direct_distillation_comparison.csv,1,0,0,1.000000,0,required_v4_focus,REBUILD_REQUIRED_EMPTY_TABLE
v3_mosaic_activation_casewise.csv,62126,768,7,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_mosaic_activation_loadability.csv,548,3,6,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_mosaic_full_final_prediction_manifest.csv,18764,40,8,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_mosaic_gain_waterfall.csv,734,3,6,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_mosaic_loadability_audit.csv,1309,4,11,0.068182,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_mosaic_m0_m10_casewise.csv,139430,494,19,0.031749,0,required_v4_focus,REBUILD_REQUIRED_MOSAIC_POPULATION_FIELDS
v3_mosaic_m0_m10_summary.csv,8586,30,17,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_pdf_page_quality.csv,6237,88,6,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_superseded_statement_manifest.csv,477,3,3,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_v2_contradiction_audit.csv,1305,5,5,0.000000,0,supporting_v3_table,CARRY_FORWARD_OR_NORMALIZE
v3_v2_stale_statement_audit.csv,147077,563,6,0.000000,384,supporting_v3_table,REBUILD_OR_EXPLAIN_PLACEHOLDER_ROWS
