model,checkpoint_path,checkpoint_sha256,expected_architecture,state_dict_keys,missing_keys,unexpected_keys,unexpected_key_sample,shape_mismatches,status,activation_hook_status
MOSAIC_COARSE,/users/a/e/aereinh/MoSAIC/code/weights/myops/coarse.pt,aae815c3dd50d6776e2af769551e8d6918a5dee4f83f29309a254051e067080c,"CoarseNet(in=6,out=3)",26,0,0,,not reported by load_state_dict,LOADED_STRICT_COMPATIBLE,NOT_RUN_IN_CURRENT_LIGHTWEIGHT_PASS
MOSAIC_COARSE_EDEMA,/users/a/e/aereinh/MoSAIC/code/weights/myops/coarse_edema.pt,b9b596f1f5475ac852bf2c0be38a72c59e538dd3199f1f4989983433506ed9d4,"CoarseNet(in=6,out=3)",26,0,0,,not reported by load_state_dict,LOADED_STRICT_COMPATIBLE,NOT_RUN_IN_CURRENT_LIGHTWEIGHT_PASS
MOSAIC_SCAR_FINE,/users/a/e/aereinh/MoSAIC/code/weights/myops/fine_scar.pt,94c54de3321000eabbc3c3a42a5d838410fb859a1c5b2460e6c2f6d773622ded,FinePathNet(out=5),110,0,0,,not reported by load_state_dict,LOADED_STRICT_COMPATIBLE,NOT_RUN_IN_CURRENT_LIGHTWEIGHT_PASS
MOSAIC_EDEMA,/users/a/e/aereinh/MoSAIC/code/weights/myops/edema.pt,14a6a53f643bdbbac4c8234af2aa86e8a43423b761013f7b7f580965e1ed503c,EdemaNet(use_c0=True),300,0,4,decoder_t2.ds4.weight;decoder_t2.ds4.bias;decoder_t2.ds3.weight;decoder_t2.ds3.bias,not reported by load_state_dict,LOADED_WITH_UNEXPECTED_KEYS,NOT_RUN_IN_CURRENT_LIGHTWEIGHT_PASS
