model_id,experiment_id,artifact_type,path,sha256,size_bytes,binding_status
BATCH0_3_SRR_V2_ANCHOR_CONTROL,srr_production_anchor_bounded_controls,source_code,scripts/inference/run_care_srr_cascade_inference.py,2990a03393ca95cead2fc69b1b21ef65f1b10eac20e9b9833e24825f79ad0e31,2911,BOUND
BATCH0_3_SRR_V2_ANCHOR_CONTROL,srr_production_anchor_bounded_controls,source_code,src/care_myocardium/data/care_srr_cascade_runtime.py,fae13f3498314d3631f25cc2d4b3c05559df517032e3e05fe0467500a75b331b,6173,BOUND
BATCH7_BR2_SIP,batch7_minimal_pathology_decomposition_and_repair,source_code,configs/srr_production/myops_batch7.yaml,65f6bd387efee23ec1dcd3c099502bde6bdb352b92f1e2089fde60a8debc9145,13231,BOUND
BATCH7_BR2_SIP,batch7_minimal_pathology_decomposition_and_repair,source_code,configs/srr_production/myops_batch7_minimal_decomposition.yaml,6d7fc7bf487b2ea1ea1c94a622fe205b7acef369a56a4850c0ed3b14c1c0c3a4,15809,BOUND
BATCH7_BR2_SIP,batch7_minimal_pathology_decomposition_and_repair,source_code,scripts/srr_production/build_srr_batch7_prototype_memory.py,5c4384ec63af62c0e2a280cbcb3c1797b556a91b7382f7942ec3e7af51d95785,9790,BOUND
BATCH7_BR2_SIP,batch7_minimal_pathology_decomposition_and_repair,source_code,scripts/training/run_srr_batch7_formal.py,f1664d8c408f1d56a02ffb535a1a985d0349a1aad59965876b996c14108cfc16,5865,BOUND
BATCH7_BR2_SIP,batch7_minimal_pathology_decomposition_and_repair,source_code,scripts/training/run_srr_batch7_minimal_decomposition.py,28f8142a74a9ffa39856570088c3c8d96ea64b4e1a626ddbbc48c849acbd1e52,11573,BOUND
MMRD_BATCH9,batch9_reliable_label_distillation,source_code,configs/care_mm/batch9_reliable_label_distillation.yaml,1f2409281fed77015c2596975ff28de30a3f896a57f22aa1d31ff7d5b306a87e,12549,BOUND
MMRD_BATCH9,batch9_reliable_label_distillation,source_code,scripts/training/run_care_mm_batch9_reliable_distill.py,f4e4f5100fb36132344d30e701c5dfb3960ab5fd94efc4f05bc1734e8dc002b6,56482,BOUND
MMRD_BATCH9,batch9_reliable_label_distillation,source_code,src/care_myocardium/models/care_mm_reliable_distill.py,654afd8beda19989cc10078bb1566596b540a7cf68b24b4f54c280e8ab29b26e,10729,BOUND
MMRD_BATCH9,batch9_reliable_label_distillation,source_code,src/care_myocardium/training/nnUNetTrainerCAREMMReliableDistill.py,57ff39cb739c9bc313c62bb37b71184ff5c8e2af640afa95c7321068fc527570,30364,BOUND
SRR_CASCADE_RESCUE,20260629_cascade_teacher_route,source_code,configs/care_mm/srr_cascade_submission_rescue.yaml,37b514e4fdb68eda50c2c5d9f0ae2332411ef41c1e81151333aafcf623783cb4,10252,BOUND
SRR_CASCADE_RESCUE,20260629_cascade_teacher_route,source_code,scripts/evaluation/evaluate_care_srr_cascade.py,28641bb67b32f37916223c1e6367a63e451ee1b61e0497593e7202273b084bfe,30866,BOUND
SRR_CASCADE_RESCUE,20260629_cascade_teacher_route,source_code,src/care_myocardium/models/care_srr_cascade_rescue.py,0d5c15a68811a43d7205d39b2bbf956ddd94477ea148f144fa3d865e05b886f8,14872,BOUND
SRR_CASCADE_RESCUE,20260629_cascade_teacher_route,source_code,src/care_myocardium/training/care_srr_cascade_trainer.py,5a43af33ec883cac8f1cde614434f59b1354249b5a059eaadc15460a9f5b12b4,10638,BOUND
CARE_ARC,20260729_care_arc_clean_fold1,source_code,scripts/training/run_care_arc_development.py,05c435f2d85cf407ea4f46e4b7d255ba72b14f8b98409aa675391f1348c758d6,10318,BOUND
CARE_ARC,20260729_care_arc_clean_fold1,source_code,src/care_myocardium/inference/care_arc_predictor.py,e805b311a4ba0ec175cb82b02223c4a2ae023a08031ba4f10e08c8fe4f44edeb,5175,BOUND
CARE_ARC,20260729_care_arc_clean_fold1,source_code,src/care_myocardium/models/care_arc.py,8e891ff37434bbb6bbec3ae4965e91e7c893eb2191b2168635c6e09b76080496,20566,BOUND
CARE_ARC,20260729_care_arc_clean_fold1,source_code,src/care_myocardium/training/care_arc_trainer.py,b0017f681ae150a5004b8b15ad2065f5ff9f00d5206c430b0942f75000880b4f,10816,BOUND
CARE_DG_DR_DPR,20260727_20260728_dual_pathology_routes,source_code,scripts/evaluation/evaluate_care_dg.py,f1e32230fc1d40ce2d8680d27e9943fb633ae0c4db42b0a57f7690c4d4fad0dc,66208,BOUND
CARE_DG_DR_DPR,20260727_20260728_dual_pathology_routes,source_code,scripts/evaluation/evaluate_care_dpr.py,33ac0562fd1367bda822a7a9e0bdde8a15363dfaa5ce155f72ffa08651e4baf3,31107,BOUND
CARE_DG_DR_DPR,20260727_20260728_dual_pathology_routes,source_code,src/care_myocardium/models/care_dg.py,ee38bd7d86ca37944ef4108fa4d5904d9ead1f7ae2dc4b7ec518d784acb71d55,14247,BOUND
CARE_DG_DR_DPR,20260727_20260728_dual_pathology_routes,source_code,src/care_myocardium/models/care_dpr.py,5ba6b423af109d6a49df5267a4d04554fd17835926099db1169f53863cdf96f4,31838,BOUND
CARE_DG_DR_DPR,20260727_20260728_dual_pathology_routes,source_code,src/care_myocardium/training/care_dg_trainer.py,009b5f8f0d38622a958774c808600cb7c90f9d8c9b2b6064088fc9df9b3532b1,11932,BOUND
CARE_DG_DR_DPR,20260727_20260728_dual_pathology_routes,source_code,src/care_myocardium/training/care_dpr_trainer.py,247c81f44be4ff0486cf13280e5a6c5c791e4c35271c896908deac96264d7f70,16623,BOUND
CARE_PRISM_V2,20260729_care_prism_fold0_fold1_v2,source_code,scripts/forensics/care_failure_forensics/run_prism_checkpoint_replay_v2.py,3302743b95f9554ee9737c88652cc593dbc4e184f31af586173ae3fe07a50506,17057,BOUND
CARE_PRISM_V2,20260729_care_prism_fold0_fold1_v2,source_code,src/care_myocardium/inference/care_prism_predictor.py,1dcb689327573ec33fffa3bb7dad35271f25a9fbc7940d45e0a1121cc6da4191,2493,BOUND
CARE_PRISM_V2,20260729_care_prism_fold0_fold1_v2,source_code,src/care_myocardium/models/care_prism.py,6af752a202faaae8f8766422724ede6b774db3650e4163c677ab2d2ffbfee0bf,26293,BOUND
CARE_PRISM_V2,20260729_care_prism_fold0_fold1_v2,source_code,src/care_myocardium/training/care_prism_trainer.py,d385130064a2ff2c911d8c90aefbe6dedd506dfceaa694b35b7fe4953638611d,19622,BOUND
