pathology,error_pool,case_count,affected_cases_fraction,voxel_count,Dice_loss_contribution,nnunet_error_fraction,mosaic_error_fraction,prism_error_fraction,recoverable_by_existing_model,feature_probe_AUROC,feature_probe_AUPRC,cross_center_stability,optimistic_recovery,plausible_recovery,uncertainty,required_new_mechanism,v4_status
scar,ANATOMY_LOCALIZATION,212,0.963636,372772,0.422498,0.994295,0.996192,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,0.8268893700381483,0.5531357408350024,0.674236,0.23751872769841142,0.02195407548910211,moderate,likely,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
scar,SMALL_LESION_FN,54,0.245455,37878,0.519493,0.101032,0.080375,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,0.8268893700381483,0.5531357408350024,0.522398,0.23751872769841142,0.02195407548910211,moderate,likely,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
scar,MULTI_COMPONENT_FN,103,0.468182,245683,0.486075,0.655310,0.711970,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,0.8268893700381483,0.5531357408350024,0.564836,0.23751872769841142,0.02195407548910211,moderate,likely,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
scar,BOUNDARY_UNDERSEGMENTATION,133,0.604545,248169,0.448252,0.661941,0.655327,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,0.8268893700381483,0.5531357408350024,0.623288,0.23751872769841142,0.02195407548910211,moderate,likely,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
scar,BOUNDARY_OVERSEGMENTATION,86,0.390909,126742,0.429676,0.338059,0.344520,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,0.8268893700381483,0.5531357408350024,0.298964,0.23751872769841142,0.02195407548910211,moderate,likely,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
scar,REMOTE_FP,7,0.031818,2139,1.000000,0.005705,0.003655,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,not_proven,0.8268893700381483,0.5531357408350024,1.000000,0.23751872769841142,0.02195407548910211,moderate,likely,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
scar,BLOOD_POOL_FP,7,0.031818,2139,1.000000,0.005705,0.003655,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,not_proven,0.8268893700381483,0.5531357408350024,1.000000,0.23751872769841142,0.02195407548910211,moderate,likely,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
scar,NORMAL_MYOCARDIUM_FP,210,0.954545,372000,0.416998,0.992235,0.994719,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,0.8268893700381483,0.5531357408350024,0.674236,0.23751872769841142,0.02195407548910211,moderate,likely,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
scar,CENTER_DOMAIN_SHIFT,59,0.268182,50759,0.582229,0.135389,0.098211,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,0.8268893700381483,0.5531357408350024,0.786203,0.23751872769841142,0.02195407548910211,moderate,likely,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
scar,MULTIMODAL_MISALIGNMENT,9,0.040909,7642,0.361813,0.020384,0.019271,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,0.8268893700381483,0.5531357408350024,0.887476,0.23751872769841142,0.02195407548910211,moderate,likely,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
scar,DECODER_CAPABILITY_LOSS,149,0.677273,304087,0.406493,0.811091,0.905118,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,not_proven,0.8268893700381483,0.5531357408350024,0.551859,0.23751872769841142,0.02195407548910211,moderate,likely,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
scar,MISSING_MODALITY,140,0.636364,270693,0.509225,0.722019,0.804124,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,0.8268893700381483,0.5531357408350024,0.719171,0.23751872769841142,0.02195407548910211,moderate,likely,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
scar,LABEL_UNCERTAINTY,54,0.245455,37878,0.519493,0.101032,0.080375,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,0.8268893700381483,0.5531357408350024,0.522398,0.23751872769841142,0.02195407548910211,moderate,likely,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
scar,CALIBRATION,149,0.677273,307806,0.486503,0.821011,0.809828,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,0.8268893700381483,0.5531357408350024,0.771388,0.23751872769841142,0.02195407548910211,moderate,likely,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
scar,THRESHOLD,113,0.513636,202556,0.530866,0.540278,0.473268,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,0.8268893700381483,0.5531357408350024,0.552581,0.23751872769841142,0.02195407548910211,moderate,likely,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
scar,POSTPROCESS,107,0.486364,204027,0.498157,0.544201,0.515411,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,0.8268893700381483,0.5531357408350024,0.470645,0.23751872769841142,0.02195407548910211,moderate,likely,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
scar,CHECKPOINT_ENSEMBLE,61,0.277273,67174,0.426264,0.179173,0.088752,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,0.8268893700381483,0.5531357408350024,0.556677,0.23751872769841142,0.02195407548910211,moderate,likely,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
pure_edema,ANATOMY_LOCALIZATION,80,1.000000,162033,0.569188,1.000000,1.000000,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,FEATURE_PROBE_GATE_OPEN,FEATURE_PROBE_GATE_OPEN,0.749800,0.17295548404011052,0.002292654276233319,high for pure edema due few MoSAIC-better positives,yes,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
pure_edema,SMALL_LESION_FN,21,0.262500,24973,0.604158,0.154123,0.108481,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,FEATURE_PROBE_GATE_OPEN,FEATURE_PROBE_GATE_OPEN,0.789110,0.17295548404011052,0.002292654276233319,high for pure edema due few MoSAIC-better positives,yes,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
pure_edema,MULTI_COMPONENT_FN,72,0.900000,142543,0.562994,0.879716,0.880486,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,FEATURE_PROBE_GATE_OPEN,FEATURE_PROBE_GATE_OPEN,0.753655,0.17295548404011052,0.002292654276233319,high for pure edema due few MoSAIC-better positives,yes,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
pure_edema,BOUNDARY_UNDERSEGMENTATION,49,0.612500,111482,0.589520,0.688020,0.719262,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,not_proven,FEATURE_PROBE_GATE_OPEN,FEATURE_PROBE_GATE_OPEN,0.781512,0.17295548404011052,0.002292654276233319,high for pure edema due few MoSAIC-better positives,yes,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
pure_edema,BOUNDARY_OVERSEGMENTATION,31,0.387500,50551,0.537050,0.311980,0.280738,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,FEATURE_PROBE_GATE_OPEN,FEATURE_PROBE_GATE_OPEN,0.708559,0.17295548404011052,0.002292654276233319,high for pure edema due few MoSAIC-better positives,yes,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
pure_edema,REMOTE_FP,0,0.000000,0,0.000000,0.000000,0.000000,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,not_proven,FEATURE_PROBE_GATE_OPEN,FEATURE_PROBE_GATE_OPEN,1.000000,0.17295548404011052,0.002292654276233319,high for pure edema due few MoSAIC-better positives,yes,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
pure_edema,BLOOD_POOL_FP,0,0.000000,0,0.000000,0.000000,0.000000,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,not_proven,FEATURE_PROBE_GATE_OPEN,FEATURE_PROBE_GATE_OPEN,1.000000,0.17295548404011052,0.002292654276233319,high for pure edema due few MoSAIC-better positives,yes,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
pure_edema,NORMAL_MYOCARDIUM_FP,80,1.000000,162033,0.569188,1.000000,1.000000,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,FEATURE_PROBE_GATE_OPEN,FEATURE_PROBE_GATE_OPEN,0.749800,0.17295548404011052,0.002292654276233319,high for pure edema due few MoSAIC-better positives,yes,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
pure_edema,CENTER_DOMAIN_SHIFT,45,0.562500,111809,0.678650,0.690038,0.650394,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,FEATURE_PROBE_GATE_OPEN,FEATURE_PROBE_GATE_OPEN,1.000000,0.17295548404011052,0.002292654276233319,high for pure edema due few MoSAIC-better positives,yes,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
pure_edema,MULTIMODAL_MISALIGNMENT,9,0.112500,16984,0.508384,0.104818,0.159613,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,not_proven,FEATURE_PROBE_GATE_OPEN,FEATURE_PROBE_GATE_OPEN,0.948889,0.17295548404011052,0.002292654276233319,high for pure edema due few MoSAIC-better positives,yes,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
pure_edema,DECODER_CAPABILITY_LOSS,77,0.962500,155343,0.554519,0.958712,0.971426,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,not_proven,FEATURE_PROBE_GATE_OPEN,FEATURE_PROBE_GATE_OPEN,0.768875,0.17295548404011052,0.002292654276233319,high for pure edema due few MoSAIC-better positives,yes,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
pure_edema,MISSING_MODALITY,0,0.000000,0,0.000000,0.000000,0.000000,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,not_proven,FEATURE_PROBE_GATE_OPEN,FEATURE_PROBE_GATE_OPEN,1.000000,0.17295548404011052,0.002292654276233319,high for pure edema due few MoSAIC-better positives,yes,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
pure_edema,LABEL_UNCERTAINTY,21,0.262500,24973,0.604158,0.154123,0.108481,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,FEATURE_PROBE_GATE_OPEN,FEATURE_PROBE_GATE_OPEN,0.789110,0.17295548404011052,0.002292654276233319,high for pure edema due few MoSAIC-better positives,yes,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
pure_edema,CALIBRATION,75,0.937500,153694,0.569373,0.948535,0.948900,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,FEATURE_PROBE_GATE_OPEN,FEATURE_PROBE_GATE_OPEN,0.778912,0.17295548404011052,0.002292654276233319,high for pure edema due few MoSAIC-better positives,yes,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
pure_edema,THRESHOLD,48,0.600000,111144,0.632518,0.685934,0.666413,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,not_proven,FEATURE_PROBE_GATE_OPEN,FEATURE_PROBE_GATE_OPEN,0.819521,0.17295548404011052,0.002292654276233319,high for pure edema due few MoSAIC-better positives,yes,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
pure_edema,POSTPROCESS,30,0.375000,61771,0.561057,0.381225,0.391115,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,FEATURE_PROBE_GATE_OPEN,FEATURE_PROBE_GATE_OPEN,0.726823,0.17295548404011052,0.002292654276233319,high for pure edema due few MoSAIC-better positives,yes,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
pure_edema,CHECKPOINT_ENSEMBLE,1,0.012500,1377,0.837082,0.008498,0.006021,NOT_AVAILABLE_PRISM_W3_OUTER_CASEWISE_NOT_SAME_POPULATION,yes_case_oracle,FEATURE_PROBE_GATE_OPEN,FEATURE_PROBE_GATE_OPEN,1.000000,0.17295548404011052,0.002292654276233319,high for pure edema due few MoSAIC-better positives,yes,POOL_LEVEL_BOUND_FROM_CLEAN_OOF_PROXY
