stage_id,stage_name,evidence_source,checkpoint_scope,case_count,edema_reliable_case_count,mean_myo_dice,mean_lv_dice,mean_rv_dice,mean_pure_edema_dice,mean_scar_dice,mean_lesion_union_dice,mean_prediction_voxels_myo,mean_prediction_voxels_lv,mean_prediction_voxels_rv,mean_prediction_voxels_pure_edema,mean_prediction_voxels_scar
M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold3,44,16,0.39907844294993533,0.6443096977089202,0.32935414666424534,0.0,0.37787652201445904,0.3374657299628415,9518.795454545454,13482.84090909091,8054.863636363636,0.0,2224.2045454545455
M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold4,44,16,0.3854927827794689,0.6265497387861566,0.34350072734366,0.0,0.3952261356654306,0.36425613396258744,9289.477272727272,13525.886363636364,7017.022727272727,0.0,3189.8636363636365
M2,full-data single checkpoint fine-scar neutral-threshold,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,ALL_SCOPES,6,4,0.0,0.2420535078609041,0.16666666666666666,0.052667799624876034,0.7846307364017148,0.06190225886748097,0.0,914.5,3.0,118815.66666666667,1781.3333333333333
M2,full-data single checkpoint fine-scar neutral-threshold,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,full_data_downloaded_weights,6,4,0.0,0.2420535078609041,0.16666666666666666,0.052667799624876034,0.7846307364017148,0.06190225886748097,0.0,914.5,3.0,118815.66666666667,1781.3333333333333
M3,coarse only,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,ALL_SCOPES,6,4,0.5766869138273213,0.8601078564874589,0.5291972457089359,0.0,0.0,0.0,10524.0,10604.166666666666,9711.0,0.0,0.0
M3,coarse only,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,full_data_downloaded_weights,6,4,0.5766869138273213,0.8601078564874589,0.5291972457089359,0.0,0.0,0.0,10524.0,10604.166666666666,9711.0,0.0,0.0
M4,coarse plus fine scar,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,ALL_SCOPES,6,4,0.0,0.0,0.3333333333333333,0.13714647581593448,0.78125023592203,0.16509222112621139,0.0,0.0,0.0,35478.833333333336,1842.6666666666667
M4,coarse plus fine scar,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,full_data_downloaded_weights,6,4,0.0,0.0,0.3333333333333333,0.13714647581593448,0.78125023592203,0.16509222112621139,0.0,0.0,0.0,35478.833333333336,1842.6666666666667
M5,coarse plus edema,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,ALL_SCOPES,6,4,0.6158519514267794,0.6901290217412854,0.4892372542965741,0.37753521806552065,0.0,0.4142454245179222,6002.833333333333,6138.333333333333,5590.333333333333,13550.0,0.0
M5,coarse plus edema,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,full_data_downloaded_weights,6,4,0.6158519514267794,0.6901290217412854,0.4892372542965741,0.37753521806552065,0.0,0.4142454245179222,6002.833333333333,6138.333333333333,5590.333333333333,13550.0,0.0
M6,ensemble no TTA neutral-threshold,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,ALL_SCOPES,6,4,0.630358944197308,0.7275585890324695,0.5128018645819731,0.3826135925226295,0.7440930915506785,0.4113787144329926,5488.166666666667,6795.666666666667,7180.0,11498.666666666666,1967.6666666666667
M6,ensemble no TTA neutral-threshold,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,full_data_downloaded_weights,6,4,0.630358944197308,0.7275585890324695,0.5128018645819731,0.3826135925226295,0.7440930915506785,0.4113787144329926,5488.166666666667,6795.666666666667,7180.0,11498.666666666666,1967.6666666666667
M7,ensemble plus TTA neutral-threshold,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,ALL_SCOPES,6,4,0.6484642623689264,0.742500246378072,0.5219204555786346,0.42443916093956086,0.7846307364017148,0.43813412474247265,5681.833333333333,7071.166666666667,7445.833333333333,10714.333333333334,1781.3333333333333
M7,ensemble plus TTA neutral-threshold,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,full_data_downloaded_weights,6,4,0.6484642623689264,0.742500246378072,0.5219204555786346,0.42443916093956086,0.7846307364017148,0.43813412474247265,5681.833333333333,7071.166666666667,7445.833333333333,10714.333333333334,1781.3333333333333
M8,class thresholds,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,ALL_SCOPES,6,4,0.6407272856607632,0.6918186518966579,0.5171305399303124,0.3931791753975076,0.78125023592203,0.4085924321726109,5202.833333333333,6086.5,7044.166666666667,13035.5,1842.6666666666667
M8,class thresholds,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,full_data_downloaded_weights,6,4,0.6407272856607632,0.6918186518966579,0.5171305399303124,0.3931791753975076,0.78125023592203,0.4085924321726109,5202.833333333333,6086.5,7044.166666666667,13035.5,1842.6666666666667
M9,postprocess,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,ALL_SCOPES,6,4,0.6407272856607632,0.6918186518966579,0.5171305399303124,0.39384603300890386,0.7724874299908467,0.4045685817200931,5202.833333333333,6086.5,7044.166666666667,13027.166666666666,1692.8333333333333
M9,postprocess,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,full_data_downloaded_weights,6,4,0.6407272856607632,0.6918186518966579,0.5171305399303124,0.39384603300890386,0.7724874299908467,0.4045685817200931,5202.833333333333,6086.5,7044.166666666667,13027.166666666666,1692.8333333333333
M10,exact final local recipe,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,ALL_SCOPES,6,4,0.6410627677199422,0.6922842280876683,0.516073602093587,0.4068927712103255,0.7724874299908467,0.41729032514337167,5236.5,6094.5,7312.5,11893.333333333334,1692.8333333333333
M10,exact final local recipe,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,full_data_downloaded_weights,6,4,0.6410627677199422,0.6922842280876683,0.516073602093587,0.4068927712103255,0.7724874299908467,0.41729032514337167,5236.5,6094.5,7312.5,11893.333333333334,1692.8333333333333
