job_id,partition,name,user,state,elapsed,nodes,reason,source,exit_code,submit,start,end
61220581,htzhulab,CareDPR5d,aereinh,RUNNING,1-11:15:11,1,g1807htzh01,squeue_tracked,,,,
61220581,htzhulab,CareDPR5d,,RUNNING,1-11:15:11,,,sacct_tracked,0:0,2026-07-29T00:26:39,2026-07-29T00:26:41,Unknown
61220581.extern,,extern,,RUNNING,1-11:15:11,,,sacct_tracked,0:0,2026-07-29T00:26:41,2026-07-29T00:26:41,Unknown
61220581.0,,bash,,COMPLETED,00:00:00,,,sacct_tracked,0:0,2026-07-29T00:28:20,2026-07-29T00:28:20,2026-07-29T00:28:20
61220581.1,,bash,,CANCELLED by 397557,02:05:34,,,sacct_tracked,0:9,2026-07-29T00:28:31,2026-07-29T00:28:31,2026-07-29T02:34:05
61220581.2,,bash,,COMPLETED,00:00:01,,,sacct_tracked,0:0,2026-07-29T05:05:10,2026-07-29T05:05:10,2026-07-29T05:05:11
61220581.3,,bash,,FAILED,00:00:12,,,sacct_tracked,1:0,2026-07-29T05:22:17,2026-07-29T05:22:17,2026-07-29T05:22:29
61220581.4,,bash,,COMPLETED,00:00:00,,,sacct_tracked,0:0,2026-07-29T05:29:09,2026-07-29T05:29:09,2026-07-29T05:29:09
61220581.5,,bash,,FAILED,00:00:31,,,sacct_tracked,1:0,2026-07-29T05:29:22,2026-07-29T05:29:22,2026-07-29T05:29:53
61220581.6,,bash,,FAILED,00:00:21,,,sacct_tracked,1:0,2026-07-29T05:30:27,2026-07-29T05:30:27,2026-07-29T05:30:48
61220581.7,,bash,,COMPLETED,00:07:52,,,sacct_tracked,0:0,2026-07-29T05:31:53,2026-07-29T05:31:53,2026-07-29T05:39:45
61220581.8,,bash,,COMPLETED,00:00:01,,,sacct_tracked,0:0,2026-07-29T05:48:04,2026-07-29T05:48:04,2026-07-29T05:48:05
61220581.9,,bash,,COMPLETED,00:43:17,,,sacct_tracked,0:0,2026-07-29T05:48:18,2026-07-29T05:48:18,2026-07-29T06:31:35
61220581.10,,bash,,FAILED,00:02:30,,,sacct_tracked,1:0,2026-07-29T06:31:59,2026-07-29T06:31:59,2026-07-29T06:34:29
61220581.11,,bash,,FAILED,00:02:08,,,sacct_tracked,1:0,2026-07-29T06:35:51,2026-07-29T06:35:51,2026-07-29T06:37:59
61220581.12,,bash,,COMPLETED,00:00:01,,,sacct_tracked,0:0,2026-07-29T06:43:55,2026-07-29T06:43:55,2026-07-29T06:43:56
61220581.13,,bash,,COMPLETED,00:00:00,,,sacct_tracked,0:0,2026-07-29T06:50:59,2026-07-29T06:50:59,2026-07-29T06:50:59
