pair,subgroup,case_count,mean_centroid_shift_mm,mean_scar_dice,mean_pure_edema_dice,v4_status
LGE-C0,low_shift,9,5.663141,0.714773,0.343560,ACTUAL_HIGH_LOW_ALIGNMENT_SUBGROUP
LGE-C0,high_shift,7,14.017809,0.665771,0.459848,ACTUAL_HIGH_LOW_ALIGNMENT_SUBGROUP
LGE-T2,low_shift,9,6.850379,0.696188,0.382308,ACTUAL_HIGH_LOW_ALIGNMENT_SUBGROUP
LGE-T2,high_shift,7,17.864871,0.689666,0.410029,ACTUAL_HIGH_LOW_ALIGNMENT_SUBGROUP
