case_id,center,frame_agreements,frame_indices,frame_weights,n_frames,reference_dominance,reference_weight,source_prediction_paths,temporal_entropy
Case1001,center_alpha,"1.000000,0.715118,0.801906","0,9,15","0.705889,0.105662,0.188449",3,False,0.7058886848104563,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1001_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1001_t09_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1001_t15_cinema_acdc_s0.nii.gz,0.7978438757141717
Case1002,center_alpha,"1.000000,0.687259,0.844751","0,8,15","0.675884,0.084022,0.240094",3,False,0.6758843317781861,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1002_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1002_t08_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1002_t15_cinema_acdc_s0.nii.gz,0.8154096850952272
Case1003,center_alpha,"1.000000,0.551451,0.766777","0,6,15","0.792708,0.039850,0.167441",3,False,0.7927083083099193,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1003_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1003_t06_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1003_t15_cinema_acdc_s0.nii.gz,0.6118067586363172
Case1004,center_alpha,"1.000000,0.768255,0.815270","0,10,15","0.664379,0.141725,0.193896",3,False,0.6643792560644857,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1004_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1004_t10_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1004_t15_cinema_acdc_s0.nii.gz,0.8666509988613296
Case1005,center_alpha,"1.000000,0.621048,0.709176","0,8,15","0.817111,0.065328,0.117560",3,True,0.8171112636730841,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1005_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1005_t08_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1005_t15_cinema_acdc_s0.nii.gz,0.5949511115579156
Case1006,center_alpha,"1.000000,0.629415,0.704339","0,9,15","0.817097,0.069075,0.113828",3,True,0.8170974663370159,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1006_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1006_t09_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1006_t15_cinema_acdc_s0.nii.gz,0.5970136681164071
Case1007,center_alpha,"1.000000,0.557607,0.644163","0,10,15","0.872868,0.045718,0.081413",3,True,0.8728683513263322,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1007_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1007_t10_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1007_t15_cinema_acdc_s0.nii.gz,0.463939316741267
Case1008,center_alpha,"1.000000,0.638152,0.949358","0,15,28","0.554607,0.049697,0.395697",3,False,0.5546067130212612,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1008_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1008_t15_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1008_t28_cinema_acdc_s0.nii.gz,0.8429722946253385
Case1010,center_alpha,"1.000000,0.635202,0.739057","0,6,15","0.791484,0.069541,0.138974",3,False,0.7914843780290424,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1010_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1010_t06_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1010_t15_cinema_acdc_s0.nii.gz,0.644731492254425
Case1011,center_alpha,"1.000000,0.576640,0.772184","0,8,15","0.782201,0.046512,0.171287",3,False,0.7822013120073599,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1011_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1011_t08_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1011_t15_cinema_acdc_s0.nii.gz,0.637064457984904
