feature_source,task_id,probe_model,folds,passing_folds,mean_AUROC,mean_AUPRC,mean_balanced_accuracy,v4_status
CASE_VOLUME_ONLY_CONTROL,P1_scar_vs_normal_myocardium,logistic_regression,5,5,0.5042420550037229,0.4926948476749988,0.5056518595805727,PASS_ALL_FOLDS
CASE_VOLUME_ONLY_CONTROL,P2_nnunet_scar_FN_vs_true_negative,logistic_regression,5,5,0.5069954587710674,0.4722622447470662,0.5079492959541103,PASS_ALL_FOLDS
CASE_VOLUME_ONLY_CONTROL,P3_nnunet_scar_FP_vs_true_negative,logistic_regression,5,5,0.5125447586701897,0.4550821875766561,0.5090024404489312,PASS_ALL_FOLDS
CASE_VOLUME_ONLY_CONTROL,P7_small_scar_vs_normal_myocardium,logistic_regression,5,5,0.6978117089791319,0.28907699284283883,0.6550171201540664,PASS_ALL_FOLDS
CASE_VOLUME_ONLY_CONTROL,P8_boundary_scar_vs_non_scar_myocardium,logistic_regression,5,5,0.5042420550037229,0.4926948476749988,0.5056518595805727,PASS_ALL_FOLDS
CENTER_ONLY_CONTROL,P1_scar_vs_normal_myocardium,logistic_regression,5,5,0.5000381443699016,0.489401547013894,0.5000381443699016,PASS_ALL_FOLDS
CENTER_ONLY_CONTROL,P2_nnunet_scar_FN_vs_true_negative,logistic_regression,5,5,0.5101652123499953,0.4706567950720336,0.5101652123499953,PASS_ALL_FOLDS
CENTER_ONLY_CONTROL,P3_nnunet_scar_FP_vs_true_negative,logistic_regression,5,5,0.5029355344090451,0.4440829731112294,0.5029355344090451,PASS_ALL_FOLDS
CENTER_ONLY_CONTROL,P7_small_scar_vs_normal_myocardium,logistic_regression,5,5,0.3519785662986809,0.12387476228508135,0.3519785662986809,PASS_ALL_FOLDS
CENTER_ONLY_CONTROL,P8_boundary_scar_vs_non_scar_myocardium,logistic_regression,5,5,0.5000381443699016,0.489401547013894,0.5000381443699016,PASS_ALL_FOLDS
MODALITY_ONLY_CONTROL,P1_scar_vs_normal_myocardium,logistic_regression,5,5,0.5,0.48937414297509996,0.5,PASS_ALL_FOLDS
MODALITY_ONLY_CONTROL,P2_nnunet_scar_FN_vs_true_negative,logistic_regression,5,5,0.5,0.4654215159521501,0.5,PASS_ALL_FOLDS
MODALITY_ONLY_CONTROL,P3_nnunet_scar_FP_vs_true_negative,logistic_regression,5,5,0.5,0.4424755936359691,0.5,PASS_ALL_FOLDS
MODALITY_ONLY_CONTROL,P7_small_scar_vs_normal_myocardium,logistic_regression,5,5,0.5,0.13562322285853318,0.5,PASS_ALL_FOLDS
MODALITY_ONLY_CONTROL,P8_boundary_scar_vs_non_scar_myocardium,logistic_regression,5,5,0.5,0.48937414297509996,0.5,PASS_ALL_FOLDS
NNUNET_DECODER_L0,P1_scar_vs_normal_myocardium,logistic_regression,5,5,0.6633595571095571,0.5971832919850822,0.628937728937729,PASS_ALL_FOLDS
NNUNET_DECODER_L0,P2_nnunet_scar_FN_vs_true_negative,logistic_regression,5,5,0.828937728937729,0.4954761904761904,0.6268315018315018,PASS_ALL_FOLDS
NNUNET_DECODER_L0,P3_nnunet_scar_FP_vs_true_negative,logistic_regression,5,4,0.44757326007326004,0.1893939393939394,0.5431547619047619,FAIL_OR_PARTIAL
NNUNET_DECODER_L0,P7_small_scar_vs_normal_myocardium,logistic_regression,5,2,0.3060897435897436,0.14583333333333331,0.5,FAIL_OR_PARTIAL
NNUNET_DECODER_L0,P8_boundary_scar_vs_non_scar_myocardium,logistic_regression,5,5,0.6633595571095571,0.5971832919850822,0.628937728937729,PASS_ALL_FOLDS
NNUNET_DECODER_L1,P1_scar_vs_normal_myocardium,logistic_regression,5,5,0.9383379120879122,0.9443738043125481,0.8843040293040293,PASS_ALL_FOLDS
NNUNET_DECODER_L1,P2_nnunet_scar_FN_vs_true_negative,logistic_regression,5,5,0.9515238095238094,0.9459393939393939,0.917936507936508,PASS_ALL_FOLDS
NNUNET_DECODER_L1,P3_nnunet_scar_FP_vs_true_negative,logistic_regression,5,5,1.0,1.0,0.8666666666666666,PASS_ALL_FOLDS
NNUNET_DECODER_L1,P7_small_scar_vs_normal_myocardium,logistic_regression,5,4,0.7803819444444444,0.5982142857142857,0.575,FAIL_OR_PARTIAL
