case_id,center,metric_name,model_id,dice,pred_voxels,gt_voxels,pred_components,gt_components,empty_gt,empty_pred,model_disagreement_dice
Case1070,CenterA,scar,nnunet_oof,0.5004500450045004,5270,2507,24,2,0,0,0.551529361611425
Case1070,CenterA,scar,mosaic_clean_oof,0.402416918429003,4113,2507,1,2,0,0,0.551529361611425
Case1070,CenterA,lesion_union,nnunet_oof,0.5004500450045004,5270,2507,24,2,0,0,0.8406086463084004
Case1070,CenterA,lesion_union,mosaic_clean_oof,0.09348922308001249,42311,2507,1,2,0,0,0.8406086463084004
Case1073,CenterA,scar,nnunet_oof,0.4282765737874097,1677,2199,9,3,0,0,0.8295302013422818
Case1073,CenterA,scar,mosaic_clean_oof,0.11658653846153846,2793,2199,1,3,0,0,0.8295302013422818
Case1073,CenterA,lesion_union,nnunet_oof,0.4282765737874097,1677,2199,9,3,0,0,0.9077601764587928
Case1073,CenterA,lesion_union,mosaic_clean_oof,0.12659045404637345,13284,2199,1,3,0,0,0.9077601764587928
Case1080,CenterA,scar,nnunet_oof,0.6369426751592356,1442,1384,5,5,0,0,0.8981132075471698
Case1080,CenterA,scar,mosaic_clean_oof,0.1005765534913517,1738,1384,1,5,0,0,0.8981132075471698
Case1080,CenterA,lesion_union,nnunet_oof,0.6369426751592356,1442,1384,5,5,0,0,0.9287324718174319
Case1080,CenterA,lesion_union,mosaic_clean_oof,0.07381254482264026,16743,1384,1,5,0,0,0.9287324718174319
Case2002,CenterB,scar,nnunet_oof,0.5602700096432015,1076,998,5,2,0,0,0.31830477908025245
Case2002,CenterB,scar,mosaic_clean_oof,0.7485981308411215,1142,998,1,2,0,0,0.31830477908025245
Case2002,CenterB,pure_edema,nnunet_oof,0.5376005596362364,2702,3016,5,5,0,0,0.5031402651779484
Case2002,CenterB,pure_edema,mosaic_clean_oof,0.44604893702366627,4463,3016,1,5,0,0,0.5031402651779484
Case2002,CenterB,lesion_union,nnunet_oof,0.6753080082135524,3778,4014,2,1,0,0,0.33411488862837047
Case2002,CenterB,lesion_union,mosaic_clean_oof,0.5788543507641127,5605,4014,1,1,0,0,0.33411488862837047
Case2007,CenterB,scar,nnunet_oof,0.4898728214790391,820,1303,3,1,0,0,0.449438202247191
Case2007,CenterB,scar,mosaic_clean_oof,0.5997541990987301,1138,1303,1,1,0,0,0.449438202247191
Case2007,CenterB,pure_edema,nnunet_oof,0.5701357466063348,1190,1462,14,8,0,0,0.6278432447245821
Case2007,CenterB,pure_edema,mosaic_clean_oof,0.5136444784493751,2459,1462,2,8,0,0,0.6278432447245821
Case2007,CenterB,lesion_union,nnunet_oof,0.7220942408376964,2010,2765,2,1,0,0,0.3668628500089174
