checkpoint_step,component,case_count,mean_dice,status
500,edema_zone,35,0.2748952376857143,COMPLETED_WITH_VALID_EVIDENCE
500,pure_edema,35,0.6256695827714286,COMPLETED_WITH_VALID_EVIDENCE
500,scar,35,0.32348030728571425,COMPLETED_WITH_VALID_EVIDENCE
1000,edema_zone,35,0.2588102356285714,COMPLETED_WITH_VALID_EVIDENCE
1000,pure_edema,35,0.6497346519428571,COMPLETED_WITH_VALID_EVIDENCE
1000,scar,35,0.3771837279142857,COMPLETED_WITH_VALID_EVIDENCE
1500,edema_zone,35,0.2822947759428572,COMPLETED_WITH_VALID_EVIDENCE
1500,pure_edema,35,0.6638802241142857,COMPLETED_WITH_VALID_EVIDENCE
1500,scar,35,0.44884952385714283,COMPLETED_WITH_VALID_EVIDENCE
2000,edema_zone,35,0.30693664211428573,COMPLETED_WITH_VALID_EVIDENCE
2000,pure_edema,35,0.6792576097142857,COMPLETED_WITH_VALID_EVIDENCE
2000,scar,35,0.3974156979142857,COMPLETED_WITH_VALID_EVIDENCE
2500,edema_zone,35,0.33517933688571433,COMPLETED_WITH_VALID_EVIDENCE
2500,pure_edema,35,0.7333135358571429,COMPLETED_WITH_VALID_EVIDENCE
2500,scar,35,0.47427386431428575,COMPLETED_WITH_VALID_EVIDENCE
3000,edema_zone,35,0.3123753534285714,COMPLETED_WITH_VALID_EVIDENCE
3000,pure_edema,35,0.7235996852857143,COMPLETED_WITH_VALID_EVIDENCE
3000,scar,35,0.5001169465142857,COMPLETED_WITH_VALID_EVIDENCE
3500,edema_zone,35,0.3310719672571429,COMPLETED_WITH_VALID_EVIDENCE
3500,pure_edema,35,0.7245683389428572,COMPLETED_WITH_VALID_EVIDENCE
3500,scar,35,0.46614699391428577,COMPLETED_WITH_VALID_EVIDENCE
4000,edema_zone,35,0.30031918322857143,COMPLETED_WITH_VALID_EVIDENCE
4000,pure_edema,35,0.7037821816000001,COMPLETED_WITH_VALID_EVIDENCE
4000,scar,35,0.4067949439142857,COMPLETED_WITH_VALID_EVIDENCE
4500,edema_zone,35,0.3004195737142857,COMPLETED_WITH_VALID_EVIDENCE
4500,pure_edema,35,0.7143400109142857,COMPLETED_WITH_VALID_EVIDENCE
4500,scar,35,0.4582644313714285,COMPLETED_WITH_VALID_EVIDENCE
5000,edema_zone,35,0.31610817057142854,COMPLETED_WITH_VALID_EVIDENCE
5000,pure_edema,35,0.7347883386857142,COMPLETED_WITH_VALID_EVIDENCE
5000,scar,35,0.46324808768571424,COMPLETED_WITH_VALID_EVIDENCE
5500,edema_zone,35,0.31345243177142856,COMPLETED_WITH_VALID_EVIDENCE
5500,pure_edema,35,0.7307779060571429,COMPLETED_WITH_VALID_EVIDENCE
5500,scar,35,0.4898622092571428,COMPLETED_WITH_VALID_EVIDENCE
6000,edema_zone,35,0.3148020375142857,COMPLETED_WITH_VALID_EVIDENCE
6000,pure_edema,35,0.7341103411714286,COMPLETED_WITH_VALID_EVIDENCE
6000,scar,35,0.48632024174285715,COMPLETED_WITH_VALID_EVIDENCE
6500,edema_zone,35,0.3115350007142857,COMPLETED_WITH_VALID_EVIDENCE
6500,pure_edema,35,0.7309926738,COMPLETED_WITH_VALID_EVIDENCE
6500,scar,35,0.48968270239999995,COMPLETED_WITH_VALID_EVIDENCE
