model_id,variant,pathology,source_file,case_rows,mean_dice,mean_hd95,mean_delta_vs_anchor
BATCH0_3_SRR_V2_ANCHOR_CONTROL,BATCH0_3_SRR_V2_ANCHOR_CONTROL,edema,results/srr_production/evaluation/casewise_metrics.csv,44,0.3943897861345629,7.27690884134237,-4.611154442577675e-05
BATCH0_3_SRR_V2_ANCHOR_CONTROL,BATCH0_3_SRR_V2_ANCHOR_CONTROL,scar,results/srr_production/evaluation/casewise_metrics.csv,44,0.5601692281262312,13.600533414596173,0.0
SRR_CASCADE_RESCUE,coarse_to_fine_srr_roi,unknown,results/20260629_cascade_teacher_route/teacher_student_delta.csv,9,,,0.0022235720223594104
SRR_CASCADE_RESCUE,nnunet_anatomy_prior_refiner,unknown,results/20260629_cascade_teacher_route/teacher_student_delta.csv,9,,,0.0006040559417587039
SRR_CASCADE_RESCUE,nnunet_pathology_teacher_srr_refiner,unknown,results/20260629_cascade_teacher_route/teacher_student_delta.csv,9,,,0.0002616134722385236
SRR_CASCADE_RESCUE,SRR_CASCADE_RESCUE,unknown,results/20260629_cascade_teacher_route/variants/nnunet_pathology_teacher_srr_refiner/baseline_vs_refiner_by_subset.csv,9,,,0.0002616134722385236
CARE_ARC,nnunet_anchor,edema_zone,results/20260729_care_arc_clean_fold1/runtime/fold0_development/casewise_metrics.csv,44,0.5815726314364044,14.526261283817183,
CARE_ARC,nnunet_anchor,pure_edema,results/20260729_care_arc_clean_fold1/runtime/fold0_development/casewise_metrics.csv,44,0.3944358976789887,7.276922314931449,
CARE_ARC,nnunet_anchor,scar,results/20260729_care_arc_clean_fold1/runtime/fold0_development/casewise_metrics.csv,44,0.5601692281262312,13.600533414596173,
CARE_ARC,postprocessed_enabled,edema_zone,results/20260729_care_arc_clean_fold1/runtime/fold0_development/casewise_metrics.csv,44,0.37962238841862034,31.640004349543418,
CARE_ARC,postprocessed_enabled,pure_edema,results/20260729_care_arc_clean_fold1/runtime/fold0_development/casewise_metrics.csv,44,0.24638100547017636,13.247212125396144,
CARE_ARC,postprocessed_enabled,scar,results/20260729_care_arc_clean_fold1/runtime/fold0_development/casewise_metrics.csv,44,0.33666253512763805,30.517178523428925,
CARE_ARC,postprocessed_identity,edema_zone,results/20260729_care_arc_clean_fold1/runtime/fold0_development/casewise_metrics.csv,44,0.37593009469277466,33.64794458737425,
CARE_ARC,postprocessed_identity,pure_edema,results/20260729_care_arc_clean_fold1/runtime/fold0_development/casewise_metrics.csv,44,0.2424066658753704,13.998492670491924,
CARE_ARC,postprocessed_identity,scar,results/20260729_care_arc_clean_fold1/runtime/fold0_development/casewise_metrics.csv,44,0.33264086451975383,32.78221815570083,
