case_id,center,metric_name,fn_jaccard_nnunet_vs_mosaic,fp_jaccard_nnunet_vs_mosaic,nnunet_fn_voxels,mosaic_fn_voxels,nnunet_fp_voxels,mosaic_fp_voxels
Case1002,CenterA,scar,0.45703742751713233,0.012615384615384615,1012,1752,293,2998
Case1002,CenterA,lesion_union,0.31018153117600633,0.012944466640031961,1012,648,293,12384
Case1007,CenterA,scar,0.24311377245508983,0.08331930651405488,499,1577,2399,4037
Case1007,CenterA,lesion_union,0.2064026958719461,0.03631204030810216,499,933,2399,33389
Case1009,CenterA,scar,0.3949535192563081,0.027774205992027776,1636,3616,1570,6423
Case1009,CenterA,lesion_union,0.4095238095238095,0.037694888494178014,1636,1916,1570,24720
Case1010,CenterA,scar,0.432449105490438,0.06265854895991882,1065,1257,964,3225
Case1010,CenterA,lesion_union,0.15122312824314307,0.03618355564403743,1065,488,964,19855
Case1021,CenterA,scar,0.4318181818181818,0.11203055378739657,849,1041,535,1212
Case1021,CenterA,lesion_union,0.30572687224669604,0.03863987635239567,849,633,535,8201
Case1023,CenterA,scar,0.34016941596076683,0.013146853146853148,801,2205,925,2697
Case1023,CenterA,lesion_union,0.23931623931623933,0.006935516611408079,801,1374,925,28838
Case1029,CenterA,scar,0.22719449225473323,0.05685720056554232,132,581,4474,5991
Case1029,CenterA,lesion_union,0.184070796460177,0.030927421779479266,132,537,4474,46960
Case1033,CenterA,scar,0.20320091454701344,0.06220574977461685,744,3466,2523,8081
Case1033,CenterA,lesion_union,0.17235396182764604,0.04529616724738676,744,1283,2523,46077
Case1040,CenterA,scar,0.4372163388804841,0.04559722451676854,1079,1771,1821,4508
Case1040,CenterA,lesion_union,0.21997549019607843,0.026041856897622267,1079,912,1821,26271
Case1042,CenterA,scar,0.24725943970767356,0.008729388942774006,213,811,231,1849
Case1042,CenterA,lesion_union,0.22031662269129287,0.0028432650159933657,213,712,231,8234
Case1045,CenterA,scar,0.8770161290322581,0.0071174377224199285,1392,1401,342,1073
Case1045,CenterA,lesion_union,0.15268817204301074,0.004697490322300031,1392,216,342,22757
Case1047,CenterA,scar,0.48661005878510777,0.051183491806595184,3313,3515,699,4497
Case1047,CenterA,lesion_union,0.27117327117327117,0.015238697439140057,3313,1595,699,31413
Case1053,CenterA,scar,0.48526522593320237,0.00432152117545376,581,931,288,874
Case1053,CenterA,lesion_union,0.4708029197080292,0.009664815957228049,581,628,288,14442
Case1062,CenterA,scar,0.25565985643291,0.1008610086100861,1164,3384,5761,8559
Case1062,CenterA,lesion_union,0.270891364902507,0.06928167105158256,1164,661,5761,74711
Case1070,CenterA,scar,0.29070631970260224,0.18245206275421266,561,1175,3324,2781
Case1070,CenterA,lesion_union,0.1487603305785124,0.05148763523956723,561,412,3324,40216
Case1073,CenterA,scar,0.6119035907525824,0.06860242501595405,1369,1908,847,2502
Case1073,CenterA,lesion_union,0.3700370566437268,0.02975491347584371,1369,1219,847,12304
Case1080,CenterA,scar,0.35901509134233517,0.017737296260786194,484,1227,542,1581
Case1080,CenterA,lesion_union,0.2823529411764706,0.01212158128768959,484,715,542,16074
Case2002,CenterB,scar,0.4147465437788018,0.2981366459627329,417,197,495,341
Case2002,CenterB,pure_edema,0.4832109129066107,0.20364741641337386,1479,1348,1165,2795
Case2002,CenterB,lesion_union,0.5236151603498542,0.2624880687241489,1383,1230,1147,2821
Case2007,CenterB,scar,0.4765539803707743,0.2766726943942134,783,571,300,406
Case2007,CenterB,pure_edema,0.2842920353982301,0.06855524079320113,706,455,434,1452
Case2007,CenterB,lesion_union,0.23025768911055694,0.15848214285714285,1041,439,286,1271
Case2008,CenterB,scar,0.2586750788643533,0.2719665271966527,241,158,267,341
Case2008,CenterB,pure_edema,0.8007004138809296,0.26489028213166144,2771,2885,339,468
Case2008,CenterB,lesion_union,0.7486876640419947,0.2568306010928962,2671,2659,265,425
Case2017,CenterB,scar,0.42406876790830944,0.1656210790464241,252,245,672,257
Case2017,CenterB,pure_edema,0.25594405594405595,0.14220021223912274,690,1106,744,2485
