stage_id,stage_name,evidence_source,checkpoint_scope,case_count,edema_reliable_case_count,mean_myo_dice,mean_lv_dice,mean_rv_dice,mean_pure_edema_dice,mean_scar_dice,mean_lesion_union_dice,mean_prediction_voxels_myo,mean_prediction_voxels_lv,mean_prediction_voxels_rv,mean_prediction_voxels_pure_edema,mean_prediction_voxels_scar,mean_runtime_seconds,mean_changed_voxels,runtime_seconds_available,changed_voxels_available,minimum_population_gate,v4_interpretation
M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold3,44,16,0.39907844294993533,0.6443096977089202,0.32935414666424534,0.0,0.37787652201445904,0.3374657299628415,9518.795454545454,13482.84090909091,8054.863636363636,0.0,2224.2045454545455,,,False,False,FAIL_M2_M10_REQUIRES_FULL_DIAGNOSTIC_POPULATION,clean held-out OOF baseline
M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold4,44,16,0.3854927827794689,0.6265497387861566,0.34350072734366,0.0,0.3952261356654306,0.36425613396258744,9289.477272727272,13525.886363636364,7017.022727272727,0.0,3189.8636363636365,,,False,False,FAIL_M2_M10_REQUIRES_FULL_DIAGNOSTIC_POPULATION,clean held-out OOF baseline
M2,full-data single checkpoint fine-scar neutral-threshold,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,ALL_SCOPES,80,80,0.0,0.49467558323971456,0.00023058711436045842,0.04753594658493441,0.8289327245659512,0.097743571019812,0.0,2127.225,0.9125,71717.625,1867.3875,0.11447347737202007,0.0,True,True,PASS_V4_POPULATION_AND_FIELDS,80-case full-data diagnostic recipe decomposition; not fair validation evidence
M2,full-data single checkpoint fine-scar neutral-threshold,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,full_data_downloaded_weights,80,80,0.0,0.49467558323971456,0.00023058711436045842,0.04753594658493441,0.8289327245659512,0.097743571019812,0.0,2127.225,0.9125,71717.625,1867.3875,0.11447347737202007,0.0,True,True,PASS_V4_POPULATION_AND_FIELDS,80-case full-data diagnostic recipe decomposition; not fair validation evidence
M3,coarse only,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,ALL_SCOPES,80,80,0.623711965744372,0.9104329062623414,0.8728488343636205,0.0,0.0125,0.0,8839.525,6103.425,6468.2875,0.0,0.0,0.11447347737202007,73585.225,True,True,PASS_V4_POPULATION_AND_FIELDS,80-case full-data diagnostic recipe decomposition; not fair validation evidence
M3,coarse only,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,full_data_downloaded_weights,80,80,0.623711965744372,0.9104329062623414,0.8728488343636205,0.0,0.0125,0.0,8839.525,6103.425,6468.2875,0.0,0.0,0.11447347737202007,73585.225,True,True,PASS_V4_POPULATION_AND_FIELDS,80-case full-data diagnostic recipe decomposition; not fair validation evidence
M4,coarse plus fine scar,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,ALL_SCOPES,80,80,0.0,0.0,0.0,0.13445533091041625,0.8237375524032995,0.25665788049715504,0.0,0.0,0.0,22905.8375,1910.825,0.11447347737202007,24816.6625,True,True,PASS_V4_POPULATION_AND_FIELDS,80-case full-data diagnostic recipe decomposition; not fair validation evidence
M4,coarse plus fine scar,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,full_data_downloaded_weights,80,80,0.0,0.0,0.0,0.13445533091041625,0.8237375524032995,0.25665788049715504,0.0,0.0,0.0,22905.8375,1910.825,0.11447347737202007,24816.6625,True,True,PASS_V4_POPULATION_AND_FIELDS,80-case full-data diagnostic recipe decomposition; not fair validation evidence
M5,coarse plus edema,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,ALL_SCOPES,80,80,0.7071782098575866,0.8572044768563618,0.8096845068744614,0.37518306841317667,0.0125,0.6738502367585145,4559.55,5046.25,5538.6,6483.575,0.0,0.11447347737202007,20402.975,True,True,PASS_V4_POPULATION_AND_FIELDS,80-case full-data diagnostic recipe decomposition; not fair validation evidence
M5,coarse plus edema,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,full_data_downloaded_weights,80,80,0.7071782098575866,0.8572044768563618,0.8096845068744614,0.37518306841317667,0.0125,0.6738502367585145,4559.55,5046.25,5538.6,6483.575,0.0,0.11447347737202007,20402.975,True,True,PASS_V4_POPULATION_AND_FIELDS,80-case full-data diagnostic recipe decomposition; not fair validation evidence
M6,ensemble no TTA neutral-threshold,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,ALL_SCOPES,80,80,0.7182086797481888,0.8712089046534752,0.8392763399866695,0.4060732959348722,0.8109545908537962,0.6627796586824981,4522.55,5211.875,5979.75,4496.5125,1981.9625,0.11447347737202007,4724.1375,True,True,PASS_V4_POPULATION_AND_FIELDS,80-case full-data diagnostic recipe decomposition; not fair validation evidence
M6,ensemble no TTA neutral-threshold,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,full_data_downloaded_weights,80,80,0.7182086797481888,0.8712089046534752,0.8392763399866695,0.4060732959348722,0.8109545908537962,0.6627796586824981,4522.55,5211.875,5979.75,4496.5125,1981.9625,0.11447347737202007,4724.1375,True,True,PASS_V4_POPULATION_AND_FIELDS,80-case full-data diagnostic recipe decomposition; not fair validation evidence
M7,ensemble plus TTA neutral-threshold,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,ALL_SCOPES,80,80,0.7359541174812586,0.8784112454479633,0.8496267170857793,0.4422290277457776,0.8289327245659512,0.6927133372672253,4634.35,5291.5,6074.4625,4187.2375,1867.3875,0.11447347737202007,1737.3875,True,True,PASS_V4_POPULATION_AND_FIELDS,80-case full-data diagnostic recipe decomposition; not fair validation evidence
M7,ensemble plus TTA neutral-threshold,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,full_data_downloaded_weights,80,80,0.7359541174812586,0.8784112454479633,0.8496267170857793,0.4422290277457776,0.8289327245659512,0.6927133372672253,4634.35,5291.5,6074.4625,4187.2375,1867.3875,0.11447347737202007,1737.3875,True,True,PASS_V4_POPULATION_AND_FIELDS,80-case full-data diagnostic recipe decomposition; not fair validation evidence
M8,class thresholds,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,ALL_SCOPES,80,80,0.7181707587887132,0.8625932275565955,0.8414533143360222,0.41213109904604595,0.8288507449913045,0.6578988179771861,4276.35,5083.8125,5971.8375,4997.8,1918.1125,0.11447347737202007,906.5375,True,True,PASS_V4_POPULATION_AND_FIELDS,80-case full-data diagnostic recipe decomposition; not fair validation evidence
M8,class thresholds,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,full_data_downloaded_weights,80,80,0.7181707587887132,0.8625932275565955,0.8414533143360222,0.41213109904604595,0.8288507449913045,0.6578988179771861,4276.35,5083.8125,5971.8375,4997.8,1918.1125,0.11447347737202007,906.5375,True,True,PASS_V4_POPULATION_AND_FIELDS,80-case full-data diagnostic recipe decomposition; not fair validation evidence
M9,postprocess,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,ALL_SCOPES,80,80,0.7181707587887132,0.8625932275565955,0.8414533143360222,0.41256355976904746,0.8194628377264526,0.6551099461162204,4276.35,5083.8125,5971.8375,4987.55,1892.05,0.11447347737202007,36.3125,True,True,PASS_V4_POPULATION_AND_FIELDS,80-case full-data diagnostic recipe decomposition; not fair validation evidence
M9,postprocess,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,full_data_downloaded_weights,80,80,0.7181707587887132,0.8625932275565955,0.8414533143360222,0.41256355976904746,0.8194628377264526,0.6551099461162204,4276.35,5083.8125,5971.8375,4987.55,1892.05,0.11447347737202007,36.3125,True,True,PASS_V4_POPULATION_AND_FIELDS,80-case full-data diagnostic recipe decomposition; not fair validation evidence
M10,exact final local recipe,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,ALL_SCOPES,80,80,0.7217945422721614,0.8649550784633272,0.8430238995169994,0.4300429071941597,0.8141306643368942,0.6736800654279763,4332.525,5112.5375,6001.825,4611.9375,1884.475,0.11447347737202007,388.1,True,True,PASS_V4_POPULATION_AND_FIELDS,80-case full-data diagnostic recipe decomposition; not fair validation evidence
M10,exact final local recipe,gpu_full_weight_recipe_on_train_cases_trained_on_case_true,full_data_downloaded_weights,80,80,0.7217945422721614,0.8649550784633272,0.8430238995169994,0.4300429071941597,0.8141306643368942,0.6736800654279763,4332.525,5112.5375,6001.825,4611.9375,1884.475,0.11447347737202007,388.1,True,True,PASS_V4_POPULATION_AND_FIELDS,80-case full-data diagnostic recipe decomposition; not fair validation evidence
