checkpoint,checkpoint_step,checkpoint_sha256,metric_name,case_count,mean_dice,median_dice,help_case_count,harm_case_count,raw_probability_rows
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,scar,35,0.323480307,0.313862475,0,34,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,pure_edema,35,0.625669583,1.000000000,0,16,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,edema_zone,35,0.274895238,0.000000000,0,34,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step01000.pt,1000,493dc0b79fbd0de44b8c95942f3c5259345ea182c41542bea0aec60780ef1d73,scar,35,0.377183728,0.406218219,0,34,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step01000.pt,1000,493dc0b79fbd0de44b8c95942f3c5259345ea182c41542bea0aec60780ef1d73,pure_edema,35,0.649734652,1.000000000,0,16,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step01000.pt,1000,493dc0b79fbd0de44b8c95942f3c5259345ea182c41542bea0aec60780ef1d73,edema_zone,35,0.258810236,0.000000000,0,34,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step01500.pt,1500,a4eff78d76c21779b4ead4e323fae09c925b158776421f9ea119bdf5cedce288,scar,35,0.448849524,0.469327921,0,34,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step01500.pt,1500,a4eff78d76c21779b4ead4e323fae09c925b158776421f9ea119bdf5cedce288,pure_edema,35,0.663880224,1.000000000,0,16,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step01500.pt,1500,a4eff78d76c21779b4ead4e323fae09c925b158776421f9ea119bdf5cedce288,edema_zone,35,0.282294776,0.000000000,0,34,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step02000.pt,2000,43aafa0a80e85d5b8c91b814d32d25ff8e3bdacc01586f5a6f8504ae0364128f,scar,35,0.397415698,0.445101629,0,34,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step02000.pt,2000,43aafa0a80e85d5b8c91b814d32d25ff8e3bdacc01586f5a6f8504ae0364128f,pure_edema,35,0.679257610,1.000000000,0,16,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step02000.pt,2000,43aafa0a80e85d5b8c91b814d32d25ff8e3bdacc01586f5a6f8504ae0364128f,edema_zone,35,0.306936642,0.000000000,0,34,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step02500.pt,2500,6d38e8084f024395183e8154f7d545200cec9a3d7019207d08d0523467c2d1e6,scar,35,0.474273864,0.496734751,1,33,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step02500.pt,2500,6d38e8084f024395183e8154f7d545200cec9a3d7019207d08d0523467c2d1e6,pure_edema,35,0.733313536,1.000000000,0,16,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step02500.pt,2500,6d38e8084f024395183e8154f7d545200cec9a3d7019207d08d0523467c2d1e6,edema_zone,35,0.335179337,0.000000000,0,34,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step03000.pt,3000,33ce3dc6fa72b5bda9eca7489d01ec2ae12acf90edbba46eda3456ef5e5504e6,scar,35,0.500116947,0.522098617,1,33,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step03000.pt,3000,33ce3dc6fa72b5bda9eca7489d01ec2ae12acf90edbba46eda3456ef5e5504e6,pure_edema,35,0.723599685,1.000000000,0,16,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step03000.pt,3000,33ce3dc6fa72b5bda9eca7489d01ec2ae12acf90edbba46eda3456ef5e5504e6,edema_zone,35,0.312375353,0.000000000,0,34,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step03500.pt,3500,46c923ee341753019fd8a4e348ef5e1888fe16e912eaf2367a504a34d578182e,scar,35,0.466146994,0.480156546,0,34,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step03500.pt,3500,46c923ee341753019fd8a4e348ef5e1888fe16e912eaf2367a504a34d578182e,pure_edema,35,0.724568339,1.000000000,0,16,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step03500.pt,3500,46c923ee341753019fd8a4e348ef5e1888fe16e912eaf2367a504a34d578182e,edema_zone,35,0.331071967,0.000000000,0,34,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step04000.pt,4000,d8e26f82269c341b18ac1dac9906f86f776a14499b6e5d91d6b1b616b574788d,scar,35,0.406794944,0.423396718,0,34,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step04000.pt,4000,d8e26f82269c341b18ac1dac9906f86f776a14499b6e5d91d6b1b616b574788d,pure_edema,35,0.703782182,1.000000000,0,16,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step04000.pt,4000,d8e26f82269c341b18ac1dac9906f86f776a14499b6e5d91d6b1b616b574788d,edema_zone,35,0.300319183,0.000000000,0,34,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step04500.pt,4500,495856369bac31a64e7d54e7f943ba1b1b3cac9bfbbe24441adcb1d52f5d28bc,scar,35,0.458264431,0.484349948,0,34,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step04500.pt,4500,495856369bac31a64e7d54e7f943ba1b1b3cac9bfbbe24441adcb1d52f5d28bc,pure_edema,35,0.714340011,1.000000000,0,16,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step04500.pt,4500,495856369bac31a64e7d54e7f943ba1b1b3cac9bfbbe24441adcb1d52f5d28bc,edema_zone,35,0.300419574,0.000000000,0,34,35
