feature_source,task_id,probe_model,folds,passing_folds,mean_AUROC,mean_AUPRC,mean_balanced_accuracy,v4_status
CASE_VOLUME_ONLY_CONTROL,P4_pure_edema_vs_normal_myocardium,logistic_regression,5,5,0.5083142915058512,0.49831033180876644,0.5065083777003097,PASS_ALL_FOLDS
CASE_VOLUME_ONLY_CONTROL,P5_nnunet_pure_edema_FN,logistic_regression,5,5,0.5117581975474048,0.47927923262327843,0.5090434963407926,PASS_ALL_FOLDS
CASE_VOLUME_ONLY_CONTROL,P6_nnunet_pure_edema_FP,logistic_regression,5,5,0.512605639042951,0.4788993050331505,0.5113656619171472,PASS_ALL_FOLDS
CENTER_ONLY_CONTROL,P4_pure_edema_vs_normal_myocardium,logistic_regression,5,5,0.5036725099852136,0.49409282720644015,0.5036725099852136,PASS_ALL_FOLDS
CENTER_ONLY_CONTROL,P5_nnunet_pure_edema_FN,logistic_regression,5,5,0.5079331162706495,0.47489880833993825,0.5079331162706495,PASS_ALL_FOLDS
CENTER_ONLY_CONTROL,P6_nnunet_pure_edema_FP,logistic_regression,5,5,0.5091448161726394,0.4735028403356397,0.5091448161726394,PASS_ALL_FOLDS
MODALITY_ONLY_CONTROL,P4_pure_edema_vs_normal_myocardium,logistic_regression,5,5,0.5,0.49223373823874966,0.5,PASS_ALL_FOLDS
MODALITY_ONLY_CONTROL,P5_nnunet_pure_edema_FN,logistic_regression,5,5,0.5,0.4708047383595709,0.5,PASS_ALL_FOLDS
MODALITY_ONLY_CONTROL,P6_nnunet_pure_edema_FP,logistic_regression,5,5,0.5,0.4688220050960852,0.5,PASS_ALL_FOLDS
NNUNET_DECODER_L0,P4_pure_edema_vs_normal_myocardium,logistic_regression,5,5,0.7597383568812139,0.6484421625109373,0.6805128205128206,PASS_ALL_FOLDS
NNUNET_DECODER_L0,P5_nnunet_pure_edema_FN,logistic_regression,5,5,0.7521978021978022,0.5759149184149184,0.6287545787545787,PASS_ALL_FOLDS
NNUNET_DECODER_L0,P6_nnunet_pure_edema_FP,logistic_regression,5,5,0.7358974358974357,0.5733333333333333,0.6678571428571428,PASS_ALL_FOLDS
NNUNET_DECODER_L1,P4_pure_edema_vs_normal_myocardium,logistic_regression,5,5,0.8624087301587302,0.8893821134645712,0.792797619047619,PASS_ALL_FOLDS
NNUNET_DECODER_L1,P5_nnunet_pure_edema_FN,logistic_regression,5,5,0.9594047619047619,0.9506510323427616,0.9401785714285715,PASS_ALL_FOLDS
NNUNET_DECODER_L1,P6_nnunet_pure_edema_FP,logistic_regression,5,5,0.9819444444444445,0.978568376068376,0.9215277777777777,PASS_ALL_FOLDS
NNUNET_DECODER_L2,P4_pure_edema_vs_normal_myocardium,logistic_regression,5,5,0.8290104166666665,0.8778247467790166,0.7733333333333333,PASS_ALL_FOLDS
NNUNET_DECODER_L2,P5_nnunet_pure_edema_FN,logistic_regression,5,5,0.9125815850815853,0.9324420757848134,0.8660081585081585,PASS_ALL_FOLDS
NNUNET_DECODER_L2,P6_nnunet_pure_edema_FP,logistic_regression,5,5,0.9964789377289378,0.9963800904977376,0.9229678654678655,PASS_ALL_FOLDS
NNUNET_DECODER_L3,P4_pure_edema_vs_normal_myocardium,logistic_regression,5,5,0.93125,0.9394449475122177,0.8375,PASS_ALL_FOLDS
