matrix_variant,semantic_task,slot_group,slot_kind,mean_weight_mean,mean_weight_max,valid_fraction_mean,trace_scope
srr_propref_shared_dual_dict,anatomy,c0_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_shared_dual_dict,anatomy,interaction_lge_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_shared_dual_dict,anatomy,interaction_lge_t2,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_shared_dual_dict,anatomy,interaction_t2_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_shared_dual_dict,anatomy,lge_private,private,0.03812762489542365,0.20376574993133545,1.0,training_step_retrieval_usage_not_spatial_map
srr_propref_shared_dual_dict,anatomy,shared,shared,0.2309361898805946,0.310398131608963,1.0,training_step_retrieval_usage_not_spatial_map
srr_propref_shared_dual_dict,anatomy,t2_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_shared_dual_dict,edema,c0_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_shared_dual_dict,edema,interaction_lge_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_shared_dual_dict,edema,interaction_lge_t2,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_shared_dual_dict,edema,interaction_t2_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_shared_dual_dict,edema,lge_private,private,0.08217285387217999,0.24351882934570312,1.0,training_step_retrieval_usage_not_spatial_map
srr_propref_shared_dual_dict,edema,shared,shared,0.20891357166692615,0.349193811416626,1.0,training_step_retrieval_usage_not_spatial_map
srr_propref_shared_dual_dict,edema,t2_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_shared_dual_dict,scar,c0_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_shared_dual_dict,scar,interaction_lge_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_shared_dual_dict,scar,interaction_lge_t2,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_shared_dual_dict,scar,interaction_t2_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_shared_dual_dict,scar,lge_private,private,0.3223972022533417,0.3696139454841614,1.0,training_step_retrieval_usage_not_spatial_map
srr_propref_shared_dual_dict,scar,shared,shared,0.08880139871810873,0.19167199730873108,1.0,training_step_retrieval_usage_not_spatial_map
srr_propref_shared_dual_dict,scar,t2_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_no_proto_cascade,anatomy,c0_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
