case_id,edema_candidate_probability_abs_max,edema_soft_roi_abs_max,edema_refinement_residual_abs_max,bounded_edema_correction_abs_max,mode,pathology,class_id,production_intervention_mode,production_gate_mean,production_gate_p50,production_gate_p95,production_gate_max,raw_correction_abs_mean,raw_correction_abs_p95,raw_correction_abs_max,bounded_correction_abs_mean,bounded_correction_abs_p95,bounded_correction_abs_max,proposal_positive_voxels,refiner_positive_voxels,refiner_residual_abs_mean,changed_voxels_vs_anchor
Case1002,0.0,0.0,0.0,0.0,anchor_bounded_proposal_only,edema,4,proposal_only,0.004283176269382238,0.0036753532476723194,0.00792035460472107,0.026883553713560104,10.790018081665039,10.789759635925293,13.97514533996582,0.0,0.0,0.0,0,0,0.0,0
Case1002,0.0,0.0,0.0,0.0,anchor_bounded_proposal_only,scar,5,proposal_only,0.9936181306838989,0.9947224855422974,0.9984560012817383,0.9999643564224243,2.411696672439575,5.259832859039307,7.082819938659668,1.952810525894165,3.4512975215911865,3.7710766792297363,1344,1313,0.03919549286365509,2
Case1007,0.0,0.0,0.0,0.0,anchor_bounded_proposal_only,edema,4,proposal_only,0.004250079859048128,0.003596676979213953,0.00806853175163269,0.02741585671901703,10.790392875671387,10.789759635925293,13.41038990020752,0.0,0.0,0.0,0,0,0.0,0
Case1007,0.0,0.0,0.0,0.0,anchor_bounded_proposal_only,scar,5,proposal_only,0.9938165545463562,0.9935471415519714,0.998456597328186,0.999975323677063,2.0661253929138184,5.210953235626221,7.085042476654053,1.7129703760147095,3.4442710876464844,3.771233558654785,4429,4371,0.042972952127456665,9
Case1009,0.0,0.0,0.0,0.0,anchor_bounded_proposal_only,edema,4,proposal_only,0.004321337211877108,0.003772476688027382,0.00773722305893898,0.02693077176809311,10.790267944335938,10.789759635925293,13.491783142089844,0.0,0.0,0.0,0,0,0.0,0
Case1009,0.0,0.0,0.0,0.0,anchor_bounded_proposal_only,scar,5,proposal_only,0.9937529563903809,0.9945229887962341,0.9983977675437927,0.9999725818634033,2.374589204788208,4.9972310066223145,7.070038795471191,1.9556125402450562,3.386720657348633,3.7696049213409424,4076,4007,0.04802527278661728,15
Case1010,0.0,0.0,0.0,0.0,anchor_bounded_proposal_only,edema,4,proposal_only,0.004294215235859156,0.0037141870707273483,0.007852070964872837,0.028525546193122864,10.790630340576172,10.789759635925293,14.10462474822998,0.0,0.0,0.0,0,0,0.0,0
Case1010,0.0,0.0,0.0,0.0,anchor_bounded_proposal_only,scar,5,proposal_only,0.9936339259147644,0.994848906993866,0.9983887672424316,0.9999713897705078,2.394526243209839,5.065679550170898,7.171822547912598,1.957788348197937,3.3968188762664795,3.7806413173675537,2032,1916,0.04679889231920242,46
Case1021,0.0,0.0,0.0,0.0,anchor_bounded_proposal_only,edema,4,proposal_only,0.0043049766682088375,0.003683913964778185,0.007955699227750301,0.016148539260029793,10.79012680053711,10.789759635925293,13.128576278686523,0.0,0.0,0.0,0,0,0.0,0
Case1021,0.0,0.0,0.0,0.0,anchor_bounded_proposal_only,scar,5,proposal_only,0.9937331080436707,0.994597315788269,0.9984416365623474,0.9999701976776123,2.3575656414031982,5.18131685256958,7.439544677734375,1.9260879755020142,3.435770273208618,3.807249069213867,1474,1470,0.03465169295668602,10
