case_id,edema_candidate_probability_abs_max,edema_soft_roi_abs_max,edema_refinement_residual_abs_max,bounded_edema_correction_abs_max,mode,pathology,class_id,production_intervention_mode,production_gate_mean,production_gate_p50,production_gate_p95,production_gate_max,raw_correction_abs_mean,raw_correction_abs_p95,raw_correction_abs_max,bounded_correction_abs_mean,bounded_correction_abs_p95,bounded_correction_abs_max,proposal_positive_voxels,refiner_positive_voxels,refiner_residual_abs_mean,changed_voxels_vs_anchor
Case1002,0.0,0.0,0.0,0.0,production_gate_closed,edema,4,gate_closed,0.004283176269382238,0.0036753532476723194,0.00792035460472107,0.026883553713560104,10.790018081665039,10.789759635925293,13.97514533996582,0.0,0.0,0.0,0,0,0.0,0
Case1002,0.0,0.0,0.0,0.0,production_gate_closed,scar,5,gate_closed,0.9936181306838989,0.9947224855422974,0.9984560012817383,0.9999643564224243,2.775592565536499,5.438951015472412,6.826988220214844,0.0,0.0,0.0,1344,1313,0.03919549286365509,0
Case1007,0.0,0.0,0.0,0.0,production_gate_closed,edema,4,gate_closed,0.004250079859048128,0.003596676979213953,0.00806853175163269,0.02741585671901703,10.790392875671387,10.789759635925293,13.41038990020752,0.0,0.0,0.0,0,0,0.0,0
Case1007,0.0,0.0,0.0,0.0,production_gate_closed,scar,5,gate_closed,0.9938165545463562,0.9935471415519714,0.998456597328186,0.999975323677063,2.698335886001587,5.415589332580566,6.460265159606934,0.0,0.0,0.0,4429,4371,0.042972952127456665,0
Case1009,0.0,0.0,0.0,0.0,production_gate_closed,edema,4,gate_closed,0.004321337211877108,0.003772476688027382,0.00773722305893898,0.02693077176809311,10.790267944335938,10.789759635925293,13.491783142089844,0.0,0.0,0.0,0,0,0.0,0
Case1009,0.0,0.0,0.0,0.0,production_gate_closed,scar,5,gate_closed,0.9937529563903809,0.9945229887962341,0.9983977675437927,0.9999725818634033,2.75616455078125,5.3334197998046875,6.523195266723633,0.0,0.0,0.0,4076,4007,0.04802527278661728,0
Case1010,0.0,0.0,0.0,0.0,production_gate_closed,edema,4,gate_closed,0.004294215235859156,0.0037141870707273483,0.007852070964872837,0.028525546193122864,10.790630340576172,10.789759635925293,14.10462474822998,0.0,0.0,0.0,0,0,0.0,0
Case1010,0.0,0.0,0.0,0.0,production_gate_closed,scar,5,gate_closed,0.9936339259147644,0.994848906993866,0.9983887672424316,0.9999713897705078,2.762777090072632,5.4109206199646,6.728714466094971,0.0,0.0,0.0,2032,1916,0.04679889231920242,0
Case1021,0.0,0.0,0.0,0.0,production_gate_closed,edema,4,gate_closed,0.0043049766682088375,0.003683913964778185,0.007955699227750301,0.016148539260029793,10.79012680053711,10.789759635925293,13.128576278686523,0.0,0.0,0.0,0,0,0.0,0
Case1021,0.0,0.0,0.0,0.0,production_gate_closed,scar,5,gate_closed,0.9937331080436707,0.994597315788269,0.9984416365623474,0.9999701976776123,2.77176833152771,5.395986557006836,6.9497575759887695,0.0,0.0,0.0,1474,1470,0.03465169295668602,0
Case1023,0.0,0.0,0.0,0.0,production_gate_closed,edema,4,gate_closed,0.004344259854406118,0.0036459905095398426,0.00741957500576973,0.019319705665111542,10.791009902954102,10.789759635925293,14.036491394042969,0.0,0.0,0.0,0,0,0.0,0
Case1023,0.0,0.0,0.0,0.0,production_gate_closed,scar,5,gate_closed,0.9937489032745361,0.9942919611930847,0.9983488321304321,0.9999748468399048,2.7735328674316406,5.3228631019592285,7.529695987701416,0.0,0.0,0.0,2513,2629,0.032201796770095825,0
Case1029,0.0,0.0,0.0,0.0,production_gate_closed,edema,4,gate_closed,0.004279436077922583,0.0038383956998586655,0.007416018284857273,0.024950580671429634,10.791219711303711,10.789759635925293,13.74652099609375,0.0,0.0,0.0,0,0,0.0,0
Case1029,0.0,0.0,0.0,0.0,production_gate_closed,scar,5,gate_closed,0.9939298033714294,0.9940932393074036,0.9984375834465027,0.9999769926071167,2.7376205921173096,5.306713581085205,6.740084171295166,0.0,0.0,0.0,4986,4991,0.05813213437795639,0
Case1033,0.0,0.0,0.0,0.0,production_gate_closed,edema,4,gate_closed,0.004189718514680862,0.003214155789464712,0.008513170294463634,0.027310535311698914,10.790346145629883,10.789759635925293,13.85118293762207,0.0,0.0,0.0,0,0,0.0,0
Case1033,0.0,0.0,0.0,0.0,production_gate_closed,scar,5,gate_closed,0.993216335773468,0.9952002167701721,0.998319685459137,0.9999713897705078,2.865640640258789,6.514847278594971,7.069517135620117,0.0,0.0,0.0,5927,8216,0.05229157209396362,0
Case1040,0.0,0.0,0.0,0.0,production_gate_closed,edema,4,gate_closed,0.00428033247590065,0.003728801617398858,0.008195583708584309,0.03492921218276024,10.791245460510254,10.789759635925293,14.074862480163574,0.0,0.0,0.0,0,0,0.0,0
Case1040,0.0,0.0,0.0,0.0,production_gate_closed,scar,5,gate_closed,0.9936602711677551,0.9949076771736145,0.9984394907951355,0.9999696016311646,2.7682197093963623,5.479547500610352,7.001415252685547,0.0,0.0,0.0,2988,2825,0.05438045784831047,0
Case1042,0.0,0.0,0.0,0.0,production_gate_closed,edema,4,gate_closed,0.004209589678794146,0.0036935112439095974,0.007710432633757591,0.02669200301170349,10.790207862854004,10.789759635925293,13.296586990356445,0.0,0.0,0.0,0,0,0.0,0
Case1042,0.0,0.0,0.0,0.0,production_gate_closed,scar,5,gate_closed,0.9937826991081238,0.9946772456169128,0.9983226656913757,0.9999775886535645,2.7770938873291016,5.563067436218262,7.034692764282227,0.0,0.0,0.0,953,923,0.04047068953514099,0
Case1045,0.0,0.0,0.0,0.0,production_gate_closed,edema,4,gate_closed,0.004157820716500282,0.003684959840029478,0.007911867462098598,0.019880620762705803,10.791236877441406,10.789759635925293,13.461152076721191,0.0,0.0,0.0,0,0,0.0,0
Case1045,0.0,0.0,0.0,0.0,production_gate_closed,scar,5,gate_closed,0.9939839839935303,0.9939157366752625,0.998433530330658,0.9999818801879883,2.70259428024292,5.252105712890625,9.181788444519043,0.0,0.0,0.0,479,502,0.04684549570083618,0
