case_id,edema_candidate_probability_abs_max,edema_soft_roi_abs_max,edema_refinement_residual_abs_max,bounded_edema_correction_abs_max,mode,pathology,class_id,production_intervention_mode,production_gate_mean,production_gate_p50,production_gate_p95,production_gate_max,raw_correction_abs_mean,raw_correction_abs_p95,raw_correction_abs_max,bounded_correction_abs_mean,bounded_correction_abs_p95,bounded_correction_abs_max,proposal_positive_voxels,refiner_positive_voxels,refiner_residual_abs_mean,changed_voxels_vs_anchor
Case1002,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,10.790018081665039,10.789759635925293,13.97514533996582,0.0,0.0,0.0,0,0,0.0,0
Case1002,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,2.775592565536499,5.438951015472412,6.826988220214844,2.159458875656128,3.505329132080078,3.7449889183044434,1344,1313,0.03919549286365509,3
Case1007,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,10.790392875671387,10.789759635925293,13.41038990020752,0.0,0.0,0.0,0,0,0.0,0
Case1007,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,2.698335886001587,5.415589332580566,6.460265159606934,2.15446138381958,3.499880075454712,3.6956207752227783,4429,4371,0.042972952127456665,11
Case1009,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,10.790267944335938,10.789759635925293,13.491783142089844,0.0,0.0,0.0,0,0,0.0,0
Case1009,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,2.75616455078125,5.3334197998046875,6.523195266723633,2.165046215057373,3.4802677631378174,3.7047009468078613,4076,4007,0.04802527278661728,16
Case1010,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,10.790630340576172,10.789759635925293,14.10462474822998,0.0,0.0,0.0,0,0,0.0,0
Case1010,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,2.762777090072632,5.4109206199646,6.728714466094971,2.167318105697632,3.4987845420837402,3.732574939727783,2032,1916,0.04679889231920242,23
Case1021,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,10.79012680053711,10.789759635925293,13.128576278686523,0.0,0.0,0.0,0,0,0.0,0
Case1021,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,2.77176833152771,5.395986557006836,6.9497575759887695,2.177865743637085,3.495265007019043,3.7597157955169678,1474,1470,0.03465169295668602,10
Case1023,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,10.791009902954102,10.789759635925293,14.036491394042969,0.0,0.0,0.0,0,0,0.0,0
Case1023,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,2.7735328674316406,5.3228631019592285,7.529695987701416,2.1777164936065674,3.477696657180786,3.818828821182251,2513,2629,0.032201796770095825,35
Case1029,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,10.791219711303711,10.789759635925293,13.74652099609375,0.0,0.0,0.0,0,0,0.0,0
Case1029,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,2.7376205921173096,5.306713581085205,6.740084171295166,2.1884567737579346,3.473740577697754,3.7340402603149414,4986,4991,0.05813213437795639,31
Case1033,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,10.790346145629883,10.789759635925293,13.85118293762207,0.0,0.0,0.0,0,0,0.0,0
Case1033,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,2.865640640258789,6.514847278594971,7.069517135620117,2.070960283279419,3.7035117149353027,3.7732858657836914,5927,8216,0.05229157209396362,8
Case1040,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,10.791245460510254,10.789759635925293,14.074862480163574,0.0,0.0,0.0,0,0,0.0,0
Case1040,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,2.7682197093963623,5.479547500610352,7.001415252685547,2.1516966819763184,3.5146656036376953,3.7656631469726562,2988,2825,0.05438045784831047,11
Case1042,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,10.790207862854004,10.789759635925293,13.296586990356445,0.0,0.0,0.0,0,0,0.0,0
Case1042,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,2.7770938873291016,5.563067436218262,7.034692764282227,2.177440881729126,3.533358097076416,3.769418478012085,953,923,0.04047068953514099,9
Case1045,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,10.791236877441406,10.789759635925293,13.461152076721191,0.0,0.0,0.0,0,0,0.0,0
Case1045,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,2.70259428024292,5.252105712890625,9.181788444519043,2.199219226837158,3.4601566791534424,3.9196646213531494,479,502,0.04684549570083618,17
Case1047,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,10.790522575378418,10.789759635925293,13.79831314086914,0.0,0.0,0.0,0,0,0.0,0
Case1047,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,2.7221717834472656,5.845118999481201,7.133553504943848,2.141033411026001,3.5916035175323486,3.78023362159729,4220,6167,0.039890408515930176,55
Case1053,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,10.791982650756836,10.789759635925293,14.106322288513184,0.0,0.0,0.0,0,0,0.0,0
Case1053,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,2.7706995010375977,5.597654819488525,7.964742183685303,2.1849865913391113,3.5408995151519775,3.853598117828369,796,810,0.05347732827067375,20
Case1062,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,10.796167373657227,10.789759635925293,16.195030212402344,0.0,0.0,0.0,0,0,0.0,0
Case1062,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,2.730140209197998,5.767974853515625,6.87686824798584,2.144793748855591,3.5763933658599854,3.75107479095459,9387,9313,0.07950518280267715,13
Case1070,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,10.790704727172852,10.789759635925293,13.814425468444824,0.0,0.0,0.0,0,0,0.0,0
Case1070,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,2.7415988445281982,6.56656551361084,7.055446624755859,2.0706355571746826,3.7108068466186523,3.771730899810791,5423,6510,0.052787672728300095,24
Case1073,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,10.789977073669434,10.789759635925293,12.73361587524414,0.0,0.0,0.0,0,0,0.0,0
Case1073,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,2.8177332878112793,5.439590930938721,6.575135707855225,2.1759393215179443,3.5054774284362793,3.711998701095581,1680,1676,0.043653443455696106,11
Case1080,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,10.791532516479492,10.789759635925293,13.774553298950195,0.0,0.0,0.0,0,0,0.0,0
Case1080,0.0,0.0,0.0,0.0,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,2.9105894565582275,6.721811771392822,11.94047737121582,1.9766873121261597,3.7316813468933105,3.9796230792999268,392,0,0.020055387169122696,220
Case2002,0.999923586845398,0.8054439425468445,10.393472671508789,3.881046772003174,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,4.6591715812683105,6.952969074249268,8.386970520019531,3.1443188190460205,3.760089874267578,3.881046772003174,2722,18755,0.26894286274909973,35
Case2002,0.999923586845398,0.8054439425468445,10.393472671508789,3.881046772003174,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,3.1588141918182373,5.140025615692139,6.629201889038086,2.4756529331207275,3.4312524795532227,3.7194106578826904,1076,2397,0.03279033675789833,6
Case2007,0.9999116659164429,0.7564256191253662,8.712455749511719,3.899165153503418,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,4.583317756652832,6.9171319007873535,8.72205924987793,3.1045384407043457,3.7558846473693848,3.899165153503418,1199,12566,0.14929108321666718,17
Case2007,0.9999116659164429,0.7564256191253662,8.712455749511719,3.899165153503418,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,3.1047515869140625,4.952476501464844,6.154496669769287,2.457796812057495,3.3796732425689697,3.6475555896759033,820,806,0.055703405290842056,1
Case2008,0.9998983144760132,0.7215242385864258,13.383298873901367,3.8580291271209717,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,4.651375770568848,7.012233734130859,8.027338027954102,3.1325559616088867,3.766890525817871,3.8580291271209717,1172,21625,0.187202587723732,15
Case2008,0.9998983144760132,0.7215242385864258,13.383298873901367,3.8580291271209717,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,3.143059253692627,4.846259117126465,6.700087547302246,2.500514507293701,3.34859299659729,3.7288501262664795,1042,999,0.025197260081768036,5
Case2017,0.999925971031189,0.7951507568359375,8.681866645812988,3.866994857788086,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,4.662903785705566,7.009234428405762,8.160087585449219,3.126537322998047,3.7665510177612305,3.866994857788086,2278,20562,0.23080019652843475,32
Case2017,0.999925971031189,0.7951507568359375,8.681866645812988,3.866994857788086,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,3.161062717437744,4.951702117919922,6.500418186187744,2.5039448738098145,3.3794517517089844,3.7014451026916504,1229,1199,0.03436732292175293,9
Case2020,0.999875545501709,0.8197522163391113,9.96327018737793,3.8753368854522705,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,4.627908706665039,6.994770526885986,8.291752815246582,3.1260793209075928,3.764906406402588,3.8753368854522705,951,8898,0.2258993536233902,4
Case2020,0.999875545501709,0.8197522163391113,9.96327018737793,3.8753368854522705,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,3.0877981185913086,4.872092247009277,6.67659854888916,2.4507079124450684,3.3562800884246826,3.7257566452026367,173,201,0.011977968737483025,1
Case2031,0.9998446702957153,0.7072585225105286,8.735872268676758,3.876915693283081,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,4.723258972167969,7.036559104919434,8.317645072937012,3.140258550643921,3.769627332687378,3.876915693283081,195,8345,0.1885043978691101,4
Case2031,0.9998446702957153,0.7072585225105286,8.735872268676758,3.876915693283081,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,3.1959023475646973,4.780852317810059,6.527575969696045,2.5507965087890625,3.3287546634674072,3.7053232192993164,858,796,0.027071230113506317,0
Case2033,0.999916672706604,0.7251479625701904,9.361427307128906,3.8942031860351562,production_gate_open_bounded_control,edema,4,gate_open_bounded_control,1.0,1.0,1.0,1.0,4.634757995605469,6.943497180938721,8.62472915649414,3.1462836265563965,3.7589852809906006,3.8942031860351562,1822,21314,0.20823639631271362,9
Case2033,0.999916672706604,0.7251479625701904,9.361427307128906,3.8942031860351562,production_gate_open_bounded_control,scar,5,gate_open_bounded_control,1.0,1.0,1.0,1.0,3.0911622047424316,4.825132369995117,6.163568496704102,2.465111017227173,3.3422441482543945,3.649080753326416,1125,1117,0.027222635224461555,3
