class_id,component_count_mean,dice_mean,empty_prediction_rate,group,hd95_mean,hd_mean,metric_name,n,remote_fp_mean,variant
4,820.2272727272727,0.0025370270284643033,0.0,all_cases,193.54867899676742,247.9507490048962,myops_edema,44,801.5227272727273,srr_propref_shared_dual_dict
4,524.5625,0.006976824328276834,0.0,gt_positive_only,193.54867899676742,247.9507490048962,myops_edema,16,473.125,srr_propref_shared_dual_dict
4,524.5625,0.006976824328276834,0.0,t2_present,193.54867899676742,247.9507490048962,myops_edema,16,473.125,srr_propref_shared_dual_dict
4,524.5625,0.006976824328276834,0.0,complete_modality,193.54867899676742,247.9507490048962,myops_edema,16,473.125,srr_propref_shared_dual_dict
4,37.0,0.011826609795382267,0.0,CenterB,191.23787239814658,244.6098567272644,myops_edema,7,31.571428571428573,srr_propref_shared_dual_dict
4,903.7777777777778,0.003204768964972609,0.0,CenterC,195.34597301791698,250.54922077638764,myops_edema,9,816.5555555555555,srr_propref_shared_dual_dict
4,390.75,0.0,0.0,C0+LGE,,,myops_edema,4,390.75,srr_propref_shared_dual_dict
4,1088.9166666666667,0.0,0.0,LGE-only,,,myops_edema,24,1088.9166666666667,srr_propref_shared_dual_dict
4,989.1785714285714,0.0,0.0,no_T2_empty_GT,,,myops_edema,28,989.1785714285714,srr_propref_shared_dual_dict
5,522.2727272727273,0.0007226782120325849,0.0,all_cases,162.83588573520834,239.1598847977393,myops_scar,44,477.6136363636364,srr_propref_shared_dual_dict
5,529.6976744186046,0.0007394846820798543,0.0,gt_positive_only,162.83588573520834,239.1598847977393,myops_scar,43,484.0,srr_propref_shared_dual_dict
5,116.0625,0.0,0.0,t2_present,122.27968426306663,247.74577910478416,myops_scar,16,114.375,srr_propref_shared_dual_dict
5,116.0625,0.0,0.0,complete_modality,122.27968426306663,247.74577910478416,myops_scar,16,114.375,srr_propref_shared_dual_dict
5,64.85714285714286,0.0,0.0,CenterB,145.7885257341117,258.8614912468588,myops_scar,7,61.857142857142854,srr_propref_shared_dual_dict
5,155.88888888888889,0.0,0.0,CenterC,103.99502978558714,239.1002252165039,myops_scar,9,155.22222222222223,srr_propref_shared_dual_dict
5,281.75,0.0004245923913043478,0.0,C0+LGE,169.7383243051888,232.80383152901138,myops_scar,4,266.25,srr_propref_shared_dual_dict
5,833.1666666666666,0.0012541446568423477,0.0,LGE-only,189.01054856205525,234.2304619183004,myops_scar,24,755.0,srr_propref_shared_dual_dict
5,203.0,0.0,0.0,no_T2_empty_GT,,,myops_scar,1,203.0,srr_propref_shared_dual_dict
4,905.8409090909091,0.0025171979088146512,0.0,all_cases,193.47328188671392,247.9507490048962,myops_edema,44,898.3863636363636,srr_propref_scar_precision
4,455.4375,0.006922294249240291,0.0,gt_positive_only,193.47328188671392,247.9507490048962,myops_edema,16,434.9375,srr_propref_scar_precision
4,455.4375,0.006922294249240291,0.0,t2_present,193.47328188671392,247.9507490048962,myops_edema,16,434.9375,srr_propref_scar_precision
4,455.4375,0.006922294249240291,0.0,complete_modality,193.47328188671392,247.9507490048962,myops_edema,16,434.9375,srr_propref_scar_precision
4,38.714285714285715,0.011903911137102813,0.0,CenterB,191.24595060900344,244.6098567272644,myops_edema,7,28.714285714285715,srr_propref_scar_precision
4,779.5555555555555,0.0030477033364583296,0.0,CenterC,195.20565065826653,250.54922077638764,myops_edema,9,750.8888888888889,srr_propref_scar_precision
4,387.75,0.0,0.0,C0+LGE,,,myops_edema,4,387.75,srr_propref_scar_precision
4,1292.4583333333333,0.0,0.0,LGE-only,,,myops_edema,24,1292.4583333333333,srr_propref_scar_precision
4,1163.2142857142858,0.0,0.0,no_T2_empty_GT,,,myops_edema,28,1163.2142857142858,srr_propref_scar_precision
5,789.0454545454545,0.001127992765387647,0.0,all_cases,184.57984922447648,239.63502431348724,myops_scar,44,708.9318181818181,srr_propref_scar_precision
5,793.2093023255813,0.0011542251552803828,0.0,gt_positive_only,184.57984922447648,239.63502431348724,myops_scar,43,711.2325581395348,srr_propref_scar_precision
5,252.625,7.832080200501253e-05,0.0,t2_present,177.51492382815334,248.0291305398731,myops_scar,16,249.0,srr_propref_scar_precision
5,252.625,7.832080200501253e-05,0.0,complete_modality,177.51492382815334,248.0291305398731,myops_scar,16,249.0,srr_propref_scar_precision
5,129.14285714285714,0.0001790189760114572,0.0,CenterB,207.1883949066294,259.14277953125816,myops_scar,7,122.28571428571429,srr_propref_scar_precision
5,348.6666666666667,0.0,0.0,CenterC,154.43555743378306,239.3851813243514,myops_scar,9,347.55555555555554,srr_propref_scar_precision
5,603.5,0.0013866231647634583,0.0,C0+LGE,176.80301412568545,232.8581598906256,myops_scar,4,557.75,srr_propref_scar_precision
5,1177.5833333333333,0.0017846690077467679,0.0,LGE-only,190.2619038760408,234.88606154875433,myops_scar,24,1040.75,srr_propref_scar_precision
5,610.0,0.0,0.0,no_T2_empty_GT,,,myops_scar,1,610.0,srr_propref_scar_precision
4,3166.6363636363635,0.002400007899715056,0.0,all_cases,194.23593767018426,247.8770922731215,myops_edema,44,3137.2045454545455,srr_propref_no_proto_cascade
