case_id,center,class_id,gt_voxels,lesion_wise_recall,memory_negative_similarity_mean,metric_name,modality_group,neg_similarity_mean,outside_myocardium_fp_ratio,pos_similarity_mean,proposal_component_count,proposal_gate_mean,proposal_gate_p95,proposal_precision,proposal_recall,proposal_remote_fp_count,proposal_small_fp_count,proposal_threshold,proposal_voxels,t2_present,variant
Case1002,CenterA,5,2062,1.0,0.5289134979248047,myops_scar,LGE-only,0.5585124492645264,0.9726606468395907,0.45319080352783203,17887,0.4306662380695343,0.5314200520515442,0.002413767227794592,0.0935984481086324,15199,17428,0.5,79958,False,srr_propref_shared_dual_dict
Case1002,CenterA,4,0,,0.4712299108505249,myops_edema,LGE-only,0.6385065913200378,0.9680182558198941,0.7326748371124268,1,0.7191447019577026,0.8469770550727844,0.0,,1,0,0.5,587210,False,srr_propref_shared_dual_dict
Case1007,CenterA,5,2509,0.5555555555555556,0.5150722861289978,myops_scar,LGE-only,0.5516948103904724,0.9712142850645393,0.4556446969509125,90384,0.43592318892478943,0.5273060202598572,0.001673746736648686,0.14667198086887206,78869,89437,0.5,219866,False,srr_propref_shared_dual_dict
Case1007,CenterA,4,0,,0.46026310324668884,myops_edema,LGE-only,0.6302657723426819,0.9714405157849859,0.7464092373847961,1,0.7305340766906738,0.8557326197624207,0.0,,1,0,0.5,1569181,False,srr_propref_shared_dual_dict
Case1009,CenterA,5,4090,0.14285714285714285,0.5192732810974121,myops_scar,LGE-only,0.554357647895813,0.963308202900926,0.4531216621398926,53725,0.43242478370666504,0.5283781290054321,0.003448605534158267,0.1234718826405868,47257,52993,0.5,146436,False,srr_propref_shared_dual_dict
Case1009,CenterA,4,0,,0.46667900681495667,myops_edema,LGE-only,0.6329575777053833,0.9702708260601336,0.7448064088821411,1,0.7280555367469788,0.8546944856643677,0.0,,1,0,0.5,1045505,False,srr_propref_shared_dual_dict
Case1010,CenterA,5,2012,0.4444444444444444,0.5258163213729858,myops_scar,LGE-only,0.559699296951294,0.9760869565217392,0.4515136778354645,34698,0.427999883890152,0.5293372869491577,0.002342664284296208,0.1172962226640159,29578,34283,0.5,100740,False,srr_propref_shared_dual_dict
Case1010,CenterA,4,0,,0.47257566452026367,myops_edema,LGE-only,0.6335713863372803,0.9760634632171644,0.7386077046394348,1,0.72295743227005,0.8503288626670837,0.0,,1,0,0.5,783572,False,srr_propref_shared_dual_dict
Case1021,CenterA,5,1766,0.3333333333333333,0.5274479985237122,myops_scar,LGE-only,0.5613207817077637,0.972593668771805,0.4509302079677582,34159,0.42740678787231445,0.5271500945091248,0.002045838645595517,0.11721404303510759,29958,33732,0.5,101181,False,srr_propref_shared_dual_dict
Case1021,CenterA,4,0,,0.47367551922798157,myops_edema,LGE-only,0.6337698698043823,0.9737219961021407,0.7404791712760925,1,0.7242574691772461,0.8509925603866577,0.0,,1,0,0.5,783507,False,srr_propref_shared_dual_dict
Case1023,CenterA,5,2380,0.5,0.5130342245101929,myops_scar,LGE-only,0.5416709184646606,0.9299153528302644,0.45110970735549927,48224,0.43994250893592834,0.5180086493492126,0.005435872748425402,0.3415966386554622,42623,47567,0.5,149562,False,srr_propref_shared_dual_dict
Case1023,CenterA,4,0,,0.44764527678489685,myops_edema,LGE-only,0.6456725001335144,0.969726121898896,0.7311805486679077,1,0.7201990485191345,0.84609055519104,0.0,,1,0,0.5,1374188,False,srr_propref_shared_dual_dict
Case1029,CenterA,5,585,0.5,0.5137426257133484,myops_scar,LGE-only,0.5440918803215027,0.9488111958266453,0.4557367265224457,44682,0.44096842408180237,0.5237829089164734,0.0008966191813804174,0.24444444444444444,42174,44073,0.5,159488,False,srr_propref_shared_dual_dict
Case1029,CenterA,4,0,,0.4480920135974884,myops_edema,LGE-only,0.6424273252487183,0.9673048297691146,0.7335903644561768,1,0.7219241261482239,0.8493443131446838,0.0,,1,0,0.5,1243517,False,srr_propref_shared_dual_dict
Case1033,CenterA,5,4081,0.3333333333333333,0.5333684086799622,myops_scar,LGE-only,0.5636280179023743,0.9617303369619951,0.46310585737228394,75069,0.43257102370262146,0.5290303230285645,0.00503029076015013,0.23744180347953933,65509,74375,0.5,192633,False,srr_propref_shared_dual_dict
Case1033,CenterA,4,0,,0.4506986737251282,myops_edema,LGE-only,0.6372935175895691,0.9716460091706279,0.7347536087036133,1,0.7229728698730469,0.8527346253395081,0.0,,1,0,0.5,1307435,False,srr_propref_shared_dual_dict
Case1040,CenterA,5,2164,0.25,0.5253164172172546,myops_scar,LGE-only,0.5592460036277771,0.9585801542189097,0.4573507308959961,38703,0.4314374029636383,0.5295853614807129,0.0038416538457995155,0.19269870609981515,33808,38146,0.5,108547,False,srr_propref_shared_dual_dict
Case1040,CenterA,4,0,,0.4631597101688385,myops_edema,LGE-only,0.6333019733428955,0.9692716028765166,0.7342948317527771,1,0.7223852276802063,0.8522436618804932,0.0,,1,0,0.5,784421,False,srr_propref_shared_dual_dict
Case1042,CenterA,5,906,1.0,0.5290828347206116,myops_scar,LGE-only,0.5585530996322632,0.9714035465134147,0.4479200541973114,13510,0.42695003747940063,0.5368180871009827,0.002535419035618796,0.18211920529801323,11611,13250,0.5,65078,False,srr_propref_shared_dual_dict
Case1042,CenterA,4,0,,0.4847167432308197,myops_edema,LGE-only,0.6347611546516418,0.9752750931244828,0.730517566204071,1,0.7183676362037659,0.847855269908905,0.0,,1,0,0.5,455573,False,srr_propref_shared_dual_dict
Case1045,CenterA,5,1488,0.2857142857142857,0.5243256688117981,myops_scar,LGE-only,0.5569557547569275,0.9157739855062499,0.44895637035369873,20497,0.42871415615081787,0.5384742617607117,0.00442788190481429,0.2163978494623656,18098,20306,0.5,72721,False,srr_propref_shared_dual_dict
