comparison,group,split,old_steps,new_steps,old_case_count,new_case_count,old_care_dice,new_care_dice,change_care_dice,old_nnunet_dice,new_nnunet_dice,change_nnunet_dice,old_delta_care_minus_nnunet,new_delta_care_minus_nnunet,change_delta_care_minus_nnunet,old_care_help_count,new_care_help_count,change_care_help_count,old_care_harm_count,new_care_harm_count,change_care_harm_count,old_tie_count,new_tie_count,change_tie_count,old_care_sensitivity,new_care_sensitivity,change_care_sensitivity,old_nnunet_sensitivity,new_nnunet_sensitivity,change_nnunet_sensitivity,old_care_precision,new_care_precision,change_care_precision,old_nnunet_precision,new_nnunet_precision,change_nnunet_precision,old_care_hd95,new_care_hd95,change_care_hd95,old_nnunet_hd95,new_nnunet_hd95,change_nnunet_hd95,old_care_empty_prediction_count_from_blank_precision,new_care_empty_prediction_count_from_blank_precision,change_care_empty_prediction_count_from_blank_precision,old_nnunet_empty_prediction_count_from_blank_precision,new_nnunet_empty_prediction_count_from_blank_precision,change_nnunet_empty_prediction_count_from_blank_precision,old_care_volume_ratio,new_care_volume_ratio,change_care_volume_ratio,old_nnunet_volume_ratio,new_nnunet_volume_ratio,change_nnunet_volume_ratio
original_nnunet_decode,all_outer_scar,fold2,fold2_step5000_fold3_step4000,fold2_step12000_fold3_step11000,44.0,44.0,0.5295093412652231,0.5673467786858978,0.03783743742067469,0.5907815469362789,0.5908055611870536,2.4014250774695434e-05,-0.061272205671055846,-0.02345878250115585,0.037813423169899996,16.0,18.0,2.0,25.0,23.0,-2.0,3.0,3.0,0.0,0.5202479069264747,0.5752265724823633,0.054978665555888595,0.6428213653241673,0.6428486219364221,2.7256612254777934e-05,0.6661295409946211,0.6383805881207208,-0.027748952873900223,0.5949104481443517,0.5949297838833869,1.9335739035231114e-05,45479.67123557849,45477.19191820296,-2.4793173755315365,45476.25239714936,45476.25218996823,-0.0002071811250061728,1.0,1.0,0.0,1.0,1.0,0.0,0.8938177629404094,1.0115837398012775,0.1177659768608681,1.2354645766573629,1.2354306374611737,-3.393919618921437e-05
original_nnunet_decode,all_outer_scar,fold3,fold2_step5000_fold3_step4000,fold2_step12000_fold3_step11000,44.0,44.0,0.3722464024206817,0.2177327306115833,-0.1545136718090984,0.521762697020792,0.5217758252384583,1.3128217666302788e-05,-0.14951629460011034,-0.30404309462687507,-0.15452680002676472,10.0,6.0,-4.0,32.0,35.0,3.0,2.0,3.0,1.0,0.3322655663247595,0.2393078251502002,-0.09295774117455932,0.5394792802333,0.5394784421648652,-8.380684348718859e-07,0.7242047537376528,0.6509806581747136,-0.07322409556293918,0.6034643653029584,0.6034477301986397,-1.6635104318707405e-05,204562.84581715698,659094.445027459,454531.599210302,45474.35365926775,45474.353652855265,-6.412483344320208e-06,10.0,28.0,18.0,1.0,1.0,0.0,0.5570775846399508,0.4368242611411569,-0.12025332349879392,0.9830039354130072,0.9829926870365099,-1.1248376497352552e-05
original_nnunet_decode,all_outer_scar,combined,fold2_step5000_fold3_step4000,fold2_step12000_fold3_step11000,88.0,88.0,0.4508778718429523,0.3925397546487405,-0.05833811719421178,0.5562721219785355,0.5562906932127559,1.85712342204436e-05,-0.10539425013558318,-0.1637509385640154,-0.058356688428432224,26.0,24.0,-2.0,57.0,58.0,1.0,5.0,6.0,1.0,0.4240188516184537,0.4032681661099465,-0.020750685508507227,0.5899200598609852,0.5899329346724108,1.287481142564495e-05,0.6917731414266087,0.6417975562709561,-0.04997558515565259,0.5991874067236552,0.5991887570410133,1.3503173580398098e-06,125021.2585263677,352285.818472831,227264.55994646327,45475.303028208546,45475.30292141175,-0.00010679679689928889,11.0,29.0,18.0,2.0,2.0,0.0,0.7214388621437463,0.7173616257252633,-0.00407723641848301,1.1062287722108475,1.1062064485533103,-2.232365753718213e-05
original_nnunet_decode,complete_tri_modal_scar,fold2,fold2_step5000_fold3_step4000,fold2_step12000_fold3_step11000,16.0,16.0,0.7041290341166848,0.6942709895085841,-0.009858044608100691,0.6979693557646722,0.6980132979009155,4.3942136243257934e-05,0.0061596783520125875,-0.0037423083923313616,-0.009901986744343949,11.0,10.0,-1.0,5.0,6.0,1.0,0.0,0.0,0.0,0.7371074192404358,0.718926988785074,-0.018180430455361773,0.750334723649224,0.7503692922332948,3.456858407080432e-05,0.7053213886527844,0.707285273417822,0.0019638847650376157,0.6875646093157948,0.6876088975224894,4.428820669466482e-05,29.27075614735829,28.11881492783835,-1.1519412195199408,31.193280429144462,31.193280429144465,3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.1765919099776354,1.1476353285886507,-0.028956581388984715,1.2939623394402084,1.2938330029732632,-0.00012933646694524015
original_nnunet_decode,complete_tri_modal_scar,fold3,fold2_step5000_fold3_step4000,fold2_step12000_fold3_step11000,16.0,16.0,0.6544408813826648,0.598765009181854,-0.055675872200810717,0.6470501054260303,0.6470756079569608,2.5502530930587852e-05,0.00739077595663451,-0.048310598775106794,-0.055701374731741304,8.0,6.0,-2.0,8.0,9.0,1.0,0.0,1.0,1.0,0.6633914607901991,0.6860157654305739,0.022624304640374793,0.757765888133387,0.7577687918121438,2.9036787568825773e-06,0.7388814707777208,0.6509806581747136,-0.0879008126030072,0.6652781881544897,0.6652348209043499,-4.336725013975862e-05,62508.37516723415,62509.72382551212,1.3486582779660239,62511.31064113309,62511.31064113309,0.0,2.0,0.0,-2.0,0.0,0.0,0.0,1.1775373942250391,1.2522295486046497,0.07469215437961063,1.429507501213633,1.4296220430263538,0.00011454181272085862
original_nnunet_decode,complete_tri_modal_scar,combined,fold2_step5000_fold3_step4000,fold2_step12000_fold3_step11000,32.0,32.0,0.6792849577496749,0.646517999345219,-0.03276695840445587,0.6725097305953514,0.6725444529289382,3.472233358681187e-05,0.006775227154323549,-0.026026453583719134,-0.03280168073804268,19.0,16.0,-3.0,13.0,15.0,2.0,0.0,1.0,1.0,0.7014384070870956,0.703002203290961,0.0015637962038653752,0.7539304483996255,0.7539496952553185,1.924685569298923e-05,0.7209827603110881,0.6791329657962678,-0.04184979451482029,0.6764213987351424,0.6764218592134197,4.60478277286569e-07,31268.822961690756,31268.92132021998,0.09835852922333288,31271.251960781115,31271.251960781115,0.0,2.0,0.0,-2.0,0.0,0.0,0.0,1.1770494023554112,1.1982454350480052,0.021196032692593958,1.3595487080402524,1.3595373771925008,-1.1330847751622741e-05
original_nnunet_decode,partial_modality_scar,fold2,fold2_step5000_fold3_step4000,fold2_step12000_fold3_step11000,28.0,28.0,0.4297266596358165,0.49481865821579124,0.06509199857997472,0.5295313704629112,0.5295439973505611,1.2626887649913598e-05,-0.09980471082709469,-0.034725339134769884,0.0650793716923248,5.0,8.0,3.0,20.0,17.0,-3.0,3.0,3.0,0.0,0.3814578190455397,0.4832583060486285,0.1018004870030888,0.5740128159961306,0.5740353929464235,2.257695029284079e-05,0.6429047423823763,0.5975481820187349,-0.04535656036364133,0.5400042785612743,0.5400088276528076,4.549091533245786e-06,71451.32865239629,71448.09083436016,-3.237818036126555,71444.85760670375,71444.85728113343,-0.0003255703195463866,1.0,1.0,0.0,1.0,1.0,0.0,0.7128423088365848,0.9245107229773585,0.21166841414077364,1.1980260084763414,1.1980531235334366,2.7115057095183914e-05
original_nnunet_decode,partial_modality_scar,fold3,fold2_step5000_fold3_step4000,fold2_step12000_fold3_step11000,28.0,28.0,0.2109924144424056,0.0,-0.2109924144424056,0.45016989221779874,0.450175949399314,6.057181515251031e-06,-0.23917747777539314,-0.450175949399314,-0.21099847162392085,2.0,0.0,-2.0,24.0,26.0,2.0,2.0,2.0,0.0,0.15487669428970255,0.0,-0.15487669428970255,0.4225400260011104,0.4225371834252516,-2.842575858807983e-06,0.7139310518096049,,,0.5668339517613101,0.5668331579285892,-7.938327208911744e-07,285736.82904568425,1000000.0,714263.1709543157,35738.94966963042,35738.94965955365,-1.0076772014144808e-05,8.0,28.0,20.0,1.0,1.0,0.0,0.2246884009336536,0.0,-0.2246884009336536,0.7438055965912435,0.7437269606133794,-7.863597786406107e-05
original_nnunet_decode,partial_modality_scar,combined,fold2_step5000_fold3_step4000,fold2_step12000_fold3_step11000,56.0,56.0,0.3203595370391111,0.24740932910789562,-0.07295020793121545,0.48985063134035495,0.4898599733749376,9.342034582637826e-06,-0.16949109430124387,-0.24245064426704196,-0.07295954996579809,7.0,8.0,1.0,44.0,43.0,-1.0,5.0,5.0,0.0,0.2617545833254748,0.22795203115501345,-0.03380255217046135,0.4939894552440446,0.49399860301071,9.147766665440482e-06,0.6731287038407715,0.5975481820187349,-0.07558052182203656,0.5534191151612924,0.5534209927906985,1.8776294060662835e-06,178594.07884904026,535724.04541718,357129.9665681398,53591.90363816708,53591.90347034354,-0.0001678235421422869,9.0,29.0,20.0,2.0,2.0,0.0,0.4549496782463569,0.43608996366856534,-0.018859714577791564,0.9580605078577994,0.958031754443595,-2.8753414204385486e-05
original_nnunet_decode,pure_edema_t2_present,fold2,fold2_step5000_fold3_step4000,fold2_step12000_fold3_step11000,16.0,16.0,0.5074194166598365,0.5128261279985638,0.005406711338727277,0.5065977328131828,0.5065775625150701,-2.0170298112631713e-05,0.0008216838466537091,0.006248565483493618,0.005426881636839909,6.0,11.0,5.0,10.0,5.0,-5.0,0.0,0.0,0.0,0.48205923839243303,0.508123546474069,0.026064308081635956,0.48977992667856934,0.48974958582306194,-3.034085550740473e-05,0.634696580806988,0.5846476411585633,-0.05004893964842472,0.6369764761639711,0.6369578886565302,-1.8587507440881446e-05,25.207658106419842,33.880727556575614,8.673069450155772,24.374485414567893,24.374850838831595,0.00036542426370189673,0.0,0.0,0.0,0.0,0.0,0.0,0.8157290362958104,0.8774468326360417,0.061717796340231335,0.8515079523603492,0.8516006779180726,9.272555772343871e-05
