model,comparison_scope,folds_checkpoints,scar_dice,pure_edema_dice,matched_nnunet_scar,matched_nnunet_pure_edema,scar_delta_vs_matched_nnunet,pure_edema_delta_vs_matched_nnunet,evidence_path
nnU-Net matched baseline,current formal outer,"fold2+fold3 matched to current checkpoints",0.5562721219785355,0.4751955805756,NA,NA,NA,NA,results/agent_flow_v3/care-ase-faithful-formal-training-20260812/outer_diagnostic_user_authorized/outer_diagnostic_latest_combined_summary.json
CARE-ASE faithful current,"user-authorized outer diagnostic, old ASE logic","fold2 step5000 + fold3 step4000",0.45087787184295247,0.4503308235062316,0.5562721219785355,0.4751955805756,-0.10539425013558301,-0.024864757069368415,results/agent_flow_v3/care-ase-faithful-formal-training-20260812/outer_diagnostic_user_authorized/outer_diagnostic_latest_combined_summary.json
CARE-ASE previous erroneous weak implementation,"user-authorized outer diagnostic, old ASE logic","fold1+fold4 step6000 final",0.44131273207901506,0.4001748475859852,0.5672958056096632,0.4037617976368098,-0.12598307353064814,-0.0035869500508246,results/20260804_care_ase_r2_deadline_recovery_training_docker/outer_diagnostic_step06000_combined_summary.json
