variant,step,loss,anatomy_loss,scar_loss,edema_loss,retrieval_loss,soft_containment_loss,component_compactness_loss,edema_supervised_batch_fraction,batch_cases,elapsed_seconds
edema_t2_center_balance,1,3.7305729389190674,1.4438508749008179,0.8454848527908325,0.8125510215759277,0.0005479794926941395,-0.0,-0.0,0.5,"Case2022,Case3009",0.5459212958812714
edema_t2_center_balance,1,3.7305729389190674,,,,,,,,,0.698478102684021
edema_t2_center_balance,500,1.3085235357284546,0.25076451897621155,0.4697470963001251,0.3143932819366455,0.012005925178527832,-0.0,-0.0,0.5,"Case2030,Case2027",13.298295801505446
edema_t2_center_balance,1000,1.3806954622268677,0.25140976905822754,0.36879390478134155,0.437588095664978,0.004388747736811638,-0.0,-0.0,1.0,"Case3009,Case3013",26.006887627765536
edema_t2_center_balance,1500,1.056517243385315,0.44070926308631897,0.5276263952255249,-0.0,0.008295961655676365,-0.0,-0.0,0.0,"Case3014,Case3020",38.60250457189977
edema_t2_center_balance,2000,1.1560941934585571,0.254607617855072,0.1972666084766388,0.4194585978984833,0.0028937405440956354,-0.0,-0.0,1.0,"Case3042,Case3033",51.45888585597277
edema_t2_center_balance,2500,0.845150351524353,0.16886675357818604,0.4280020594596863,0.11109843105077744,0.005776263307780027,-0.0,-0.0,0.5,"Case3042,Case3005",64.22703086026013
edema_t2_center_balance,3000,0.8477510213851929,0.15659715235233307,0.1380913108587265,0.3299626111984253,0.0038405556697398424,-0.0,-0.0,1.0,"Case3037,Case3022",76.89742404408753
edema_t2_center_balance,3500,0.7851951122283936,0.1843777745962143,0.15881147980690002,0.2591167092323303,0.0032256455160677433,-0.0,-0.0,1.0,"Case3014,Case3037",89.78384792804718
edema_t2_center_balance,4000,1.0932406187057495,0.1778131127357483,0.34623807668685913,0.32184797525405884,0.0018580220639705658,-0.0,-0.0,1.0,"Case2023,Case3003",102.72389890998602
edema_t2_center_balance,4500,1.4452061653137207,0.0414794459939003,0.5009145140647888,0.5153647661209106,0.0028262531850486994,-0.0,-0.0,0.5,"Case3041,Case3005",115.52121035195887
edema_t2_center_balance,5000,0.7751372456550598,0.14610245823860168,0.15062466263771057,0.2835049629211426,0.0018734607147052884,-0.0,-0.0,1.0,"Case3039,Case3024",128.29590667970479
edema_t2_center_balance,5000,0.7751372456550598,,,,,,,,,128.44907651282847
edema_t2_center_balance,5500,0.7490283250808716,0.1354902982711792,0.1393345594406128,0.2811954915523529,0.0029192997608333826,-0.0,-0.0,1.0,"Case3037,Case3024",141.14138181880116
edema_t2_center_balance,6000,1.0159940719604492,0.128598153591156,0.2737002372741699,0.35566622018814087,0.003048341954126954,-0.0,-0.0,1.0,"Case2023,Case3017",153.59783072769642
edema_t2_center_balance,6500,0.7817866802215576,0.05124075338244438,0.23594658076763153,0.2858065664768219,0.0015151440165936947,-0.0,-0.0,1.0,"Case2012,Case2026",166.34875817596912
edema_t2_center_balance,7000,1.021713376045227,0.2787182033061981,0.28381097316741943,0.25828835368156433,0.0027914149686694145,-0.0,-0.0,0.5,"Case2032,Case3015",179.12474661879241
edema_t2_center_balance,7500,1.1995927095413208,0.03548244386911392,0.42202064394950867,0.42256373167037964,0.0025963028892874718,-0.0,-0.0,1.0,"Case3002,Case3027",191.78601206839085
edema_t2_center_balance,8000,1.0184415578842163,0.09300237894058228,0.257345974445343,0.3920212984085083,0.0020031293388456106,-0.0,-0.0,1.0,"Case3018,Case2030",204.46438926644623
edema_t2_center_balance,8500,0.8483947515487671,0.2930915057659149,0.4663134217262268,-0.0,0.018466543406248093,-0.0,-0.0,0.0,"Case3013,Case3006",217.02443859539926
edema_t2_center_balance,9000,0.7453545331954956,0.1104029193520546,0.19028890132904053,0.2585517466068268,0.0021089643705636263,-0.0,-0.0,1.0,"Case3031,Case2024",229.85364073887467
edema_t2_center_balance,9500,1.1504781246185303,0.15126098692417145,0.2405758798122406,0.4490794539451599,0.003275230759754777,-0.0,-0.0,0.5,"Case3030,Case3021",242.61012555472553
edema_t2_center_balance,10000,0.6235505938529968,0.11354896426200867,0.18113349378108978,0.1869707703590393,0.0022693101782351732,-0.0,-0.0,1.0,"Case3007,Case3009",255.16291585937142
edema_t2_center_balance,10000,0.6235505938529968,,,,,,,,,255.31672034785151
edema_t2_center_balance,10500,1.004292607307434,0.17502060532569885,0.2601499557495117,0.32989561557769775,0.00185857352335006,-0.0,-0.0,1.0,"Case2024,Case3033",268.01194838806987
edema_t2_center_balance,11000,1.0792168378829956,0.09121120721101761,0.3553032875061035,0.36062514781951904,0.0020671433303505182,-0.0,-0.0,1.0,"Case3025,Case3014",280.71666614338756
edema_t2_center_balance,11500,0.8729487061500549,0.14371292293071747,0.2525617480278015,0.27261143922805786,0.00207735993899405,-0.0,-0.0,1.0,"Case3025,Case3042",293.47435022704303
edema_t2_center_balance,12000,0.8069469332695007,0.15488536655902863,0.22469240427017212,0.244707852602005,0.0017551641212776303,-0.0,-0.0,0.5,"Case3007,Case3020",306.0917145013809
edema_t2_center_balance,12500,0.8633935451507568,0.15225015580654144,0.3170202374458313,0.21525588631629944,0.0018115171696990728,-0.0,-0.0,1.0,"Case2035,Case2009",318.76392191648483
edema_t2_center_balance,13000,1.0093718767166138,0.04658634588122368,0.31417861580848694,0.3744434416294098,0.0023039993830025196,-0.0,-0.0,1.0,"Case3006,Case3006",331.3935962691903
edema_t2_center_balance,13500,1.0505644083023071,0.0758676677942276,0.3464745283126831,0.35900047421455383,0.0016838134033605456,-0.0,-0.0,1.0,"Case3028,Case2022",344.03011688031256
edema_t2_center_balance,14000,0.6789020895957947,0.15327559411525726,0.11597613990306854,0.24347877502441406,0.002353670774027705,-0.0,-0.0,1.0,"Case3003,Case3019",356.4741346947849
edema_t2_center_balance,14500,0.9862269163131714,0.04334329813718796,0.37087002396583557,0.3216876983642578,0.0015784564893692732,-0.0,-0.0,1.0,"Case3005,Case3002",369.1191813480109
edema_t2_center_balance,15000,1.067996621131897,0.24908627569675446,0.5408764481544495,0.1210717186331749,0.002771442523226142,-0.0,-0.0,0.5,"Case3008,Case1052",381.9448998030275
edema_t2_center_balance,15000,1.067996621131897,,,,,,,,,382.0982728898525
edema_t2_center_balance,15500,0.8647698163986206,0.06330682337284088,0.36380505561828613,0.23792751133441925,0.0022953448351472616,-0.0,-0.0,0.5,"Case2032,Case6004",394.70154284499586
edema_t2_center_balance,16000,0.5777143239974976,0.06115977093577385,0.18261033296585083,0.19022658467292786,0.0019952985458076,-0.0,-0.0,1.0,"Case3027,Case3002",407.340373583138
edema_t2_center_balance,16500,1.1197667121887207,0.16998149454593658,0.37622857093811035,0.32067468762397766,0.0035705631598830223,-0.0,-0.0,1.0,"Case3018,Case3008",419.7943389508873
edema_t2_center_balance,17000,0.5186144709587097,0.08075801283121109,0.23909276723861694,0.10015050321817398,0.002408222993835807,-0.0,-0.0,0.5,"Case3002,Case3039",432.354323675856
edema_t2_center_balance,17500,0.9498186707496643,0.23407872021198273,0.22527630627155304,0.2833732068538666,0.002869385527446866,-0.0,-0.0,1.0,"Case2021,Case2016",444.81679262407124
edema_t2_center_balance,18000,0.9864504337310791,0.2639075517654419,0.2304883897304535,0.28323355317115784,0.0037618177011609077,-0.0,-0.0,1.0,"Case3024,Case3033",457.34048483893275
edema_t2_center_balance,18500,0.9709927439689636,0.18079404532909393,0.19803020358085632,0.3484032154083252,0.004587176721543074,-0.0,-0.0,1.0,"Case2005,Case2010",470.328034600243
edema_t2_center_balance,19000,0.5484171509742737,0.07875224202871323,0.21088643372058868,0.14064151048660278,0.0018626407254487276,-0.0,-0.0,0.5,"Case3018,Case3028",482.92247749119997
edema_t2_center_balance,19500,0.48997923731803894,0.16337215900421143,0.1478923112154007,0.0963342934846878,0.0020241374149918556,-0.0,-0.0,0.5,"Case3022,Case3009",495.6231613717973
edema_t2_center_balance,20000,0.8486461639404297,0.13753511011600494,0.3770213723182678,0.17157436907291412,0.002512183506041765,-0.0,-0.0,0.5,"Case3008,Case3002",508.5835824906826
edema_t2_center_balance,20000,0.8486461639404297,,,,,,,,,508.7370450068265
edema_t2_center_balance,20500,0.6499117612838745,0.08881703019142151,0.17644983530044556,0.2223934531211853,0.0021195102017372847,-0.0,-0.0,1.0,"Case3027,Case2034",521.3084030840546
edema_t2_center_balance,21000,0.8535638451576233,0.11479581892490387,0.33312007784843445,0.22063618898391724,0.0020556114614009857,-0.0,-0.0,1.0,"Case3010,Case3019",533.982086095959
edema_t2_center_balance,21500,0.5878269076347351,0.08210090547800064,0.17338873445987701,0.18970274925231934,0.002151947468519211,-0.0,-0.0,1.0,"Case3019,Case3008",546.6505304947495
edema_t2_center_balance,22000,0.63860684633255,0.11437788605690002,0.159646138548851,0.2111140340566635,0.002670347224920988,-0.0,-0.0,1.0,"Case3006,Case2034",559.2555287275463
edema_t2_center_balance,22500,0.46466270089149475,0.06915726512670517,0.15723776817321777,0.1327734887599945,0.0014697796432301402,-0.0,-0.0,1.0,"Case3008,Case3027",571.7997527550906
edema_t2_center_balance,23000,0.6144483089447021,0.08331140130758286,0.11378803849220276,0.24813899397850037,0.0027816486544907093,-0.0,-0.0,1.0,"Case3042,Case3041",584.4660426191986
edema_t2_center_balance,23500,0.8011326193809509,0.15351924300193787,0.2152387797832489,0.24850836396217346,0.002139649586752057,-0.0,-0.0,0.5,"Case3007,Case2035",597.1378983873874
edema_t2_center_balance,24000,0.7988942265510559,0.22545401751995087,0.24375078082084656,0.1810268610715866,0.003136581741273403,-0.0,-0.0,1.0,"Case2004,Case2029",609.6813125368208
edema_t2_center_balance,24500,1.1793380975723267,0.2877052128314972,0.2739587724208832,0.3584558069705963,0.0026787479873746634,-0.0,-0.0,1.0,"Case3033,Case2018",622.4203725270927
edema_t2_center_balance,25000,0.5209558606147766,0.13749897480010986,0.2058384120464325,0.09040851891040802,0.0018183841602876782,-0.0,-0.0,0.5,"Case2004,Case3028",635.172448111698
edema_t2_center_balance,25000,0.5209558606147766,,,,,,,,,635.3265725355595
edema_t2_center_balance,25500,1.210652470588684,0.07300128787755966,0.34448233246803284,0.46230369806289673,0.0016210281755775213,-0.0,-0.0,0.5,"Case3019,Case3021",647.8371565844864
edema_t2_center_balance,26000,1.0013161897659302,0.05883824825286865,0.3287085294723511,0.35165107250213623,0.0017090246547013521,-0.0,-0.0,1.0,"Case3019,Case3022",660.4682221543044
edema_t2_center_balance,26500,0.9889170527458191,0.09454534947872162,0.21970991790294647,0.39637991786003113,0.007117077708244324,-0.0,-0.0,0.5,"Case2019,Case3019",673.2355846241117
