variant,checkpoint_name,case_id,center,modality_group,t2_present,class_id,metric_name,proposal_threshold,proposal_recall,proposal_precision,lesion_wise_recall,proposal_voxels,gt_voxels,proposal_component_count,proposal_small_fp_count,proposal_remote_fp_count,outside_myocardium_fp_ratio,proposal_gate_mean,proposal_gate_p95,pos_similarity_mean,neg_similarity_mean,memory_negative_similarity_mean
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1002,CenterA,LGE-only,False,4,myops_edema,0.7,,,,0,0,0,0,0,,2.0611552464799843e-09,2.061153470123145e-09,0.8211653232574463,0.8235686421394348,0.8235686421394348
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1002,CenterA,LGE-only,False,4,myops_edema,0.8,,,,0,0,0,0,0,,2.0611552464799843e-09,2.061153470123145e-09,0.8211653232574463,0.8235686421394348,0.8235686421394348
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1002,CenterA,LGE-only,False,4,myops_edema,0.9,,,,0,0,0,0,0,,2.0611552464799843e-09,2.061153470123145e-09,0.8211653232574463,0.8235686421394348,0.8235686421394348
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1007,CenterA,LGE-only,False,5,myops_scar,0.05,0.9051414906337186,0.19156474061577394,0.8888888888888888,11855,2509,234,221,130,0.2659637283846478,0.005746923852711916,0.019595204386860115,0.6771013140678406,0.7700696587562561,0.7676591277122498
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1007,CenterA,LGE-only,False,5,myops_scar,0.1,0.8776404942208051,0.3651135798375062,0.7777777777777778,6031,2509,9,7,0,0.15188194329298624,0.005746923852711916,0.019595204386860115,0.6771013140678406,0.7700696587562561,0.7676591277122498
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1007,CenterA,LGE-only,False,5,myops_scar,0.2,0.8457552809884417,0.41235911387485424,0.5555555555555556,5146,2509,14,12,0,0.12728332685581034,0.005746923852711916,0.019595204386860115,0.6771013140678406,0.7700696587562561,0.7676591277122498
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1007,CenterA,LGE-only,False,5,myops_scar,0.3,0.8274212833798326,0.4349465744814582,0.3333333333333333,4773,2509,10,8,0,0.1198407710035617,0.005746923852711916,0.019595204386860115,0.6771013140678406,0.7700696587562561,0.7676591277122498
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1007,CenterA,LGE-only,False,5,myops_scar,0.4,0.8134715025906736,0.45025369512464153,0.3333333333333333,4533,2509,8,6,0,0.11272887712331789,0.005746923852711916,0.019595204386860115,0.6771013140678406,0.7700696587562561,0.7676591277122498
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1007,CenterA,LGE-only,False,5,myops_scar,0.5,0.8031088082901554,0.45495597200270943,0.3333333333333333,4429,2509,8,6,0,0.10905396251975616,0.005746923852711916,0.019595204386860115,0.6771013140678406,0.7700696587562561,0.7676591277122498
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1007,CenterA,LGE-only,False,5,myops_scar,0.6,0.8015145476285372,0.4558023572076156,0.3333333333333333,4412,2509,8,6,0,0.10902085222121487,0.005746923852711916,0.019595204386860115,0.6771013140678406,0.7700696587562561,0.7676591277122498
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1007,CenterA,LGE-only,False,5,myops_scar,0.7,0.8011159824631328,0.45588568836470855,0.3333333333333333,4409,2509,8,6,0,0.10909503288727602,0.005746923852711916,0.019595204386860115,0.6771013140678406,0.7700696587562561,0.7676591277122498
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1007,CenterA,LGE-only,False,5,myops_scar,0.8,0.8011159824631328,0.45588568836470855,0.3333333333333333,4409,2509,8,6,0,0.10909503288727602,0.005746923852711916,0.019595204386860115,0.6771013140678406,0.7700696587562561,0.7676591277122498
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1007,CenterA,LGE-only,False,5,myops_scar,0.9,0.8011159824631328,0.45588568836470855,0.3333333333333333,4409,2509,8,6,0,0.10909503288727602,0.005746923852711916,0.019595204386860115,0.6771013140678406,0.7700696587562561,0.7676591277122498
