variant,base_variant,step,loss,anatomy_loss,scar_loss,edema_loss,retrieval_loss,soft_containment_loss,component_compactness_loss,proposal_bce_loss,proposal_margin_loss,proposal_uncertainty_loss,edema_supervised_batch_fraction,batch_cases,elapsed_seconds
srr_v2_capacity12_proposal,srr_v2_multiscale_private_proposal,1,4.057895183563232,1.4587664604187012,0.880642294883728,0.8431163430213928,3.3563828765181825e-05,0.0,0.0,0.8995639681816101,0.2526533603668213,0.0,1.0,Case2028,0.5112185012549162
srr_v2_capacity12_proposal,srr_v2_multiscale_private_proposal,1,4.057895183563232,,,,,,,,,,,,0.7580385114997625
srr_v2_capacity12_proposal,srr_v2_multiscale_private_proposal,250,2.6499571800231934,1.0979373455047607,0.47732484340667725,0.5474730134010315,6.530817336170003e-05,-0.0,-0.0,0.5319539308547974,0.18002527952194214,-0.0,1.0,Case3007,10.831388200633228
srr_v2_capacity12_proposal,srr_v2_multiscale_private_proposal,500,0.8314369916915894,0.10871805995702744,0.5114367604255676,-0.0,0.0011112751672044396,-0.0,-0.0,0.2523961365222931,0.003644401440396905,-0.0,0.0,Case2013,20.99959981814027
srr_v2_capacity12_proposal,srr_v2_multiscale_private_proposal,750,1.7234089374542236,0.6948127150535583,0.3338282108306885,0.3658715784549713,0.00015843391884118319,-0.0,-0.0,0.2893807291984558,0.13273772597312927,-0.0,1.0,Case2010,30.923813491128385
srr_v2_capacity12_proposal,srr_v2_multiscale_private_proposal,1000,1.8145980834960938,0.6032852530479431,0.4652324914932251,0.32338327169418335,0.0001418536703567952,-0.0,-0.0,0.3963227868080139,0.2940324544906616,-0.0,1.0,Case2004,41.01580879278481
srr_v2_capacity12_proposal,srr_v2_multiscale_private_proposal,1250,1.3276710510253906,0.6182590126991272,0.4634055495262146,-0.0,0.0010858384193852544,-0.0,-0.0,0.23410576581954956,0.2410336583852768,-0.0,0.0,Case3014,51.04311849735677
srr_v2_capacity12_proposal,srr_v2_multiscale_private_proposal,1500,1.3752869367599487,0.336556077003479,0.32970619201660156,0.35692065954208374,0.00016227112791966647,-0.0,-0.0,0.3593403100967407,0.1184108555316925,-0.0,1.0,Case2011,60.97811847180128
srr_v2_capacity12_proposal,srr_v2_multiscale_private_proposal,1750,1.6169852018356323,0.0886288583278656,0.5123584270477295,0.5246584415435791,0.00016994831094052643,-0.0,-0.0,0.5359202027320862,0.02398960292339325,-0.0,1.0,Case3009,70.95719403587282
srr_v2_capacity12_proposal,srr_v2_multiscale_private_proposal,2000,1.510805368423462,0.037560541182756424,0.5030449628829956,0.5041713118553162,0.00014955982624087483,-0.0,-0.0,0.5050948858261108,0.006749947555363178,-0.0,1.0,Case3039,80.9830397926271
srr_v2_capacity12_proposal,srr_v2_multiscale_private_proposal,2250,1.6727087497711182,0.18882587552070618,0.5022295713424683,0.511551022529602,0.001125090871937573,-0.0,-0.0,0.5075346231460571,0.006834994535893202,-0.0,1.0,Case2022,91.05400740075856
srr_v2_capacity12_proposal,srr_v2_multiscale_private_proposal,2500,1.9152101278305054,0.26836293935775757,0.5952237844467163,0.4799882769584656,0.00016013096319511533,-0.0,-0.0,0.5647319555282593,0.31906118988990784,-0.0,1.0,Case3002,100.97300701960921
srr_v2_capacity12_proposal,srr_v2_multiscale_private_proposal,2500,1.9152101278305054,,,,,,,,,,,,101.19750197976828
srr_v2_capacity12_proposal,srr_v2_multiscale_private_proposal,2750,1.8240435123443604,0.2927766442298889,0.5020431280136108,0.5369158983230591,0.00016402872279286385,-0.0,-0.0,0.532706618309021,0.026667319238185883,-0.0,1.0,Case2032,111.15249812416732
srr_v2_capacity12_proposal,srr_v2_multiscale_private_proposal,3000,1.7157186269760132,0.5063788890838623,0.2925522029399872,0.4978010058403015,0.00019218814850319177,-0.0,-0.0,0.4158414304256439,0.15486490726470947,-0.0,1.0,Case3043,120.94218434114009
srr_v2_capacity12_proposal,srr_v2_multiscale_private_proposal,3250,1.4630591869354248,0.5799175500869751,0.31296247243881226,0.2777223587036133,0.0011461720569059253,-0.0,-0.0,0.3036937713623047,0.07612290978431702,-0.0,1.0,Case2024,130.8611603109166
srr_v2_capacity12_proposal,srr_v2_multiscale_private_proposal,3500,1.9267981052398682,0.3968204855918884,0.523679792881012,0.5132009387016296,0.00017034773190971464,-0.0,-0.0,0.5352811217308044,0.03949226438999176,-0.0,1.0,Case2034,140.84610570035875
srr_v2_capacity12_proposal,srr_v2_multiscale_private_proposal,3750,0.7635202407836914,0.0489625483751297,0.5027906894683838,-0.0,0.003154964419081807,-0.0,-0.0,0.25253331661224365,0.007282727397978306,-0.0,0.0,Case1039,150.7164531359449
srr_v2_capacity12_proposal,srr_v2_multiscale_private_proposal,4000,0.8963760137557983,0.22908559441566467,0.45644044876098633,-0.0,0.0031846442725509405,-0.0,-0.0,0.2259313017129898,0.0937267541885376,-0.0,0.0,Case1049,160.80940729007125
srr_v2_capacity12_proposal,srr_v2_multiscale_private_proposal,4250,1.4825315475463867,0.016654593870043755,0.5005059838294983,0.5020574331283569,0.00018015365640167147,-0.0,-0.0,0.5009963512420654,0.008197872899472713,-0.0,1.0,Case3019,170.76962624210864
srr_v2_capacity12_proposal,srr_v2_multiscale_private_proposal,4500,0.7474060654640198,0.029523905366659164,0.5051453113555908,-0.0,0.0031762791331857443,-0.0,-0.0,0.25433585047721863,0.00603103544563055,-0.0,0.0,Case1005,180.7392453290522
