checkpoint,checkpoint_sha256,case_id,split,metric_name,t2_present,dice,hd95,exact_hd,infinite_hd,lesion_recall,gt_component_count,pred_component_count,remote_fp_count,volume_ratio,empty_gt,empty_pred,nnunet_dice,dice_delta_vs_nnunet,nnunet_hd95,hd95_delta_vs_nnunet,help_vs_nnunet,harm_vs_nnunet
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1039,inner_select,scar,0.0,0.3546833738932325,13.92838827718412,22.40535650240808,False,0.5,4,2,0,3.82825,False,False,0.8657453109575518,-0.5110619370643192,1.0,12.92838827718412,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1039,inner_select,edema_zone,0.0,0.0,inf,inf,True,0.0,4,0,0,0.0,False,True,0.8657453109575518,-0.8657453109575518,1.0,inf,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1043,inner_select,scar,0.0,0.3403298350824588,74.02702209328699,125.93252161375949,False,0.375,8,9,0,3.0172656093153987,False,False,0.7730662689111443,-0.4327364338286855,1.4142135623730951,72.6128085309139,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1043,inner_select,edema_zone,0.0,0.0,inf,inf,True,0.0,8,0,0,0.0,False,True,0.7730662689111443,-0.7730662689111443,1.4142135623730951,inf,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1056,inner_select,scar,0.0,0.2977423187913767,30.41298154278812,39.736632972611055,False,0.3333333333333333,6,4,0,4.8096646942800785,False,False,0.8541095073362758,-0.5563671885448991,1.0,29.41298154278812,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1056,inner_select,edema_zone,0.0,0.0,inf,inf,True,0.0,6,0,0,0.0,False,True,0.8541095073362758,-0.8541095073362758,1.0,inf,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1058,inner_select,scar,0.0,0.40037455029323343,6.4031242374328485,15.033296378372908,False,1.0,1,4,0,3.2106246109151275,False,False,0.9069118710610601,-0.5065373207678266,1.0,5.4031242374328485,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1058,inner_select,edema_zone,0.0,0.0,inf,inf,True,0.0,1,0,0,0.0,False,True,0.9069118710610601,-0.9069118710610601,1.0,inf,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1071,inner_select,scar,0.0,0.2650544714473842,7.483314773547883,11.357816691600547,False,0.5,4,1,0,5.40813195243575,False,False,0.8406728406728406,-0.5756183692254564,1.0,6.483314773547883,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1071,inner_select,edema_zone,0.0,0.0,inf,inf,True,0.0,4,0,0,0.0,False,True,0.8406728406728406,-0.8406728406728406,1.0,inf,False,True
