mode,pathology,population,case_count,mean_dice_delta_vs_anchor,mean_hd95_delta_vs_anchor,mean_remote_fp_delta_mm3,mean_changed_voxels_vs_anchor,checkpoint_global_step,checkpoint_sha256,slurm_job_id,slurm_state,slurm_exit_code,slurm_elapsed,slurm_node
anchor_identity_control,myops_edema,positive_gt_cases,16,0.0,0.0,0.0,0.0,300,729c81e49bf846339ed2f39ef0f2656319befd2b9cfe73268d7cf501e6b40fbd,59744941,COMPLETED,0:0,00:10:48,g1807htzh01
anchor_identity_control,myops_edema,all_case_empty_safe,44,0.0,0.0,0.0,0.0,300,729c81e49bf846339ed2f39ef0f2656319befd2b9cfe73268d7cf501e6b40fbd,59744941,COMPLETED,0:0,00:10:48,g1807htzh01
anchor_identity_control,myops_scar,positive_gt_cases,43,0.0,0.0,0.0,0.0,300,729c81e49bf846339ed2f39ef0f2656319befd2b9cfe73268d7cf501e6b40fbd,59744941,COMPLETED,0:0,00:10:48,g1807htzh01
anchor_identity_control,myops_scar,all_case_empty_safe,44,0.0,0.0,0.0,0.0,300,729c81e49bf846339ed2f39ef0f2656319befd2b9cfe73268d7cf501e6b40fbd,59744941,COMPLETED,0:0,00:10:48,g1807htzh01
full_learned_gate,myops_edema,positive_gt_cases,16,0.0027247486728372468,0.005250402498315462,2.8062300248579546,13.295454545454545,300,729c81e49bf846339ed2f39ef0f2656319befd2b9cfe73268d7cf501e6b40fbd,59744941,COMPLETED,0:0,00:10:48,g1807htzh01
full_learned_gate,myops_edema,all_case_empty_safe,44,0.0009908176992135442,0.005250402498315462,2.8062300248579546,13.295454545454545,300,729c81e49bf846339ed2f39ef0f2656319befd2b9cfe73268d7cf501e6b40fbd,59744941,COMPLETED,0:0,00:10:48,g1807htzh01
full_learned_gate,myops_scar,positive_gt_cases,43,0.0006739681677682672,-0.09508775894932774,-17.554607902733434,54.27272727272727,300,729c81e49bf846339ed2f39ef0f2656319befd2b9cfe73268d7cf501e6b40fbd,59744941,COMPLETED,0:0,00:10:48,g1807htzh01
full_learned_gate,myops_scar,all_case_empty_safe,44,0.0006586507094098975,-0.09508775894932774,-17.554607902733434,54.27272727272727,300,729c81e49bf846339ed2f39ef0f2656319befd2b9cfe73268d7cf501e6b40fbd,59744941,COMPLETED,0:0,00:10:48,g1807htzh01
full_gate_one,myops_edema,positive_gt_cases,16,0.0077210937630865055,0.1670533918194201,8.017800071022727,84.81818181818181,300,729c81e49bf846339ed2f39ef0f2656319befd2b9cfe73268d7cf501e6b40fbd,59744941,COMPLETED,0:0,00:10:48,g1807htzh01
full_gate_one,myops_edema,all_case_empty_safe,44,0.0028076704593041836,0.1670533918194201,8.017800071022727,84.81818181818181,300,729c81e49bf846339ed2f39ef0f2656319befd2b9cfe73268d7cf501e6b40fbd,59744941,COMPLETED,0:0,00:10:48,g1807htzh01
full_gate_one,myops_scar,positive_gt_cases,43,0.00028663379345612893,-0.07481714427972405,-15.951047888528889,68.0909090909091,300,729c81e49bf846339ed2f39ef0f2656319befd2b9cfe73268d7cf501e6b40fbd,59744941,COMPLETED,0:0,00:10:48,g1807htzh01
full_gate_one,myops_scar,all_case_empty_safe,44,0.00028011938905939874,-0.07481714427972405,-15.951047888528889,68.0909090909091,300,729c81e49bf846339ed2f39ef0f2656319befd2b9cfe73268d7cf501e6b40fbd,59744941,COMPLETED,0:0,00:10:48,g1807htzh01
full_gate_zero,myops_edema,positive_gt_cases,16,0.0,0.0,0.0,0.0,300,729c81e49bf846339ed2f39ef0f2656319befd2b9cfe73268d7cf501e6b40fbd,59744941,COMPLETED,0:0,00:10:48,g1807htzh01
full_gate_zero,myops_edema,all_case_empty_safe,44,0.0,0.0,0.0,0.0,300,729c81e49bf846339ed2f39ef0f2656319befd2b9cfe73268d7cf501e6b40fbd,59744941,COMPLETED,0:0,00:10:48,g1807htzh01
full_gate_zero,myops_scar,positive_gt_cases,43,0.0,0.0,0.0,0.0,300,729c81e49bf846339ed2f39ef0f2656319befd2b9cfe73268d7cf501e6b40fbd,59744941,COMPLETED,0:0,00:10:48,g1807htzh01
full_gate_zero,myops_scar,all_case_empty_safe,44,0.0,0.0,0.0,0.0,300,729c81e49bf846339ed2f39ef0f2656319befd2b9cfe73268d7cf501e6b40fbd,59744941,COMPLETED,0:0,00:10:48,g1807htzh01
proposal_only_gate_one,myops_edema,positive_gt_cases,16,0.004345054502731016,0.03414088981282552,3.207120028409091,36.06818181818182,300,729c81e49bf846339ed2f39ef0f2656319befd2b9cfe73268d7cf501e6b40fbd,59744941,COMPLETED,0:0,00:10:48,g1807htzh01
proposal_only_gate_one,myops_edema,all_case_empty_safe,44,0.0015800198191749147,0.03414088981282552,3.207120028409091,36.06818181818182,300,729c81e49bf846339ed2f39ef0f2656319befd2b9cfe73268d7cf501e6b40fbd,59744941,COMPLETED,0:0,00:10:48,g1807htzh01
proposal_only_gate_one,myops_scar,positive_gt_cases,43,0.002616275732070718,0.29850340664511094,16.706102884129848,69.47727272727273,300,729c81e49bf846339ed2f39ef0f2656319befd2b9cfe73268d7cf501e6b40fbd,59744941,COMPLETED,0:0,00:10:48,g1807htzh01
proposal_only_gate_one,myops_scar,all_case_empty_safe,44,0.0025568149199782014,0.29850340664511094,16.706102884129848,69.47727272727273,300,729c81e49bf846339ed2f39ef0f2656319befd2b9cfe73268d7cf501e6b40fbd,59744941,COMPLETED,0:0,00:10:48,g1807htzh01
