stage,local_step,total_step,case_id,center,modality_group,t2_present,pathology,class_id,gt_positive,anchor_dice,srr_dice,dice_delta_vs_anchor,anchor_hd95,srr_hd95,hd95_delta_vs_anchor,anchor_component_count,srr_component_count,component_delta,anchor_remote_fp_volume_mm3,srr_remote_fp_volume_mm3,remote_fp_delta_mm3,changed_voxels_vs_anchor,prediction_path
formal_100,100,100,Case1033,CenterA,LGE-only,False,myops_scar,5,True,0.671361030077457,0.6714990435920668,0.00013801351460984712,7.152037197524651,7.152037197524651,0.0,6,6,0.0,0.0,0.0,0.0,8,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case1033.nii.gz
formal_100,100,100,Case1040,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case1040.nii.gz
formal_100,100,100,Case1040,CenterA,LGE-only,False,myops_scar,5,True,0.4280078895463511,0.4282612985987764,0.00025340905242526857,8.5,8.5,0.0,6,7,1.0,0.0,0.0,0.0,3,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case1040.nii.gz
formal_100,100,100,Case1042,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case1042.nii.gz
formal_100,100,100,Case1042,CenterA,LGE-only,False,myops_scar,5,True,0.7573770491803279,0.7573770491803279,0.0,3.057152176795867,3.057152176795867,0.0,4,4,0.0,863.5869795249043,863.5869795249043,0.0,0,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case1042.nii.gz
formal_100,100,100,Case1045,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case1045.nii.gz
formal_100,100,100,Case1045,CenterA,LGE-only,False,myops_scar,5,True,0.09968847352024922,0.09968847352024922,0.0,58.23937490442107,58.23937490442107,0.0,7,7,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case1045.nii.gz
formal_100,100,100,Case1047,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case1047.nii.gz
formal_100,100,100,Case1047,CenterA,LGE-only,False,myops_scar,5,True,0.6283120251991847,0.6283120251991847,0.0,5.781199932098389,5.781199932098389,0.0,13,13,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case1047.nii.gz
formal_100,100,100,Case1053,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case1053.nii.gz
formal_100,100,100,Case1053,CenterA,LGE-only,False,myops_scar,5,True,0.5196241017136539,0.5196241017136539,0.0,27.536782421660927,27.536782421660927,0.0,15,15,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case1053.nii.gz
formal_100,100,100,Case1062,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case1062.nii.gz
formal_100,100,100,Case1062,CenterA,LGE-only,False,myops_scar,5,True,0.5070823546159869,0.5071545525735033,7.219795751634006e-05,15.291149322372709,15.247810806262482,-0.04333851611022688,3,3,0.0,0.0,0.0,0.0,2,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case1062.nii.gz
formal_100,100,100,Case1070,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case1070.nii.gz
formal_100,100,100,Case1070,CenterA,LGE-only,False,myops_scar,5,True,0.5004500450045004,0.5007075775119002,0.0002575325073997936,34.297412438841505,34.29754910551368,0.00013666667217648865,24,24,0.0,0.0,0.0,0.0,4,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case1070.nii.gz
formal_100,100,100,Case1073,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case1073.nii.gz
formal_100,100,100,Case1073,CenterA,LGE-only,False,myops_scar,5,True,0.4282765737874097,0.4282765737874097,0.0,10.678173489481713,10.678173489481713,0.0,9,9,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case1073.nii.gz
formal_100,100,100,Case1080,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case1080.nii.gz
formal_100,100,100,Case1080,CenterA,LGE-only,False,myops_scar,5,True,0.6369426751592356,0.6282642089093702,-0.008678466249865457,11.0,10.621013842852745,-0.3789861571472546,5,9,4.0,1478.5105621922057,727.1363420617405,-751.3742201304652,222,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case1080.nii.gz
formal_100,100,100,Case2002,CenterB,C0+LGE+T2,True,myops_edema,4,True,0.5376005596362364,0.5431243505368895,0.005523790900653025,17.453201935819685,17.4949355416927,0.041733605873016444,5,5,0.0,3792.41943359375,3898.25439453125,105.8349609375,56,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case2002.nii.gz
formal_100,100,100,Case2002,CenterB,C0+LGE+T2,True,myops_scar,5,True,0.5602700096432015,0.5701492537313433,0.009879244088141781,21.415372143918024,20.24406337929742,-1.1713087646206048,5,5,0.0,17.63916015625,17.63916015625,0.0,66,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case2002.nii.gz
formal_100,100,100,Case2007,CenterB,C0+LGE+T2,True,myops_edema,4,True,0.5701357466063348,0.5794183445190156,0.009282597912680823,7.5130097186944615,7.5130097186944615,0.0,14,14,0.0,0.0,0.0,0.0,30,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case2007.nii.gz
formal_100,100,100,Case2007,CenterB,C0+LGE+T2,True,myops_scar,5,True,0.4898728214790391,0.47834456207892206,-0.011528259400117036,11.682996338833703,11.338866091557966,-0.3441302472757375,3,3,0.0,0.0,0.0,0.0,55,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case2007.nii.gz
formal_100,100,100,Case2008,CenterB,C0+LGE+T2,True,myops_edema,4,True,0.3485546711353163,0.35213032581453635,0.0035756546792200528,33.237885822186755,33.22790819402392,-0.009977628162836538,5,5,0.0,0.0,0.0,0.0,14,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case2008.nii.gz
formal_100,100,100,Case2008,CenterB,C0+LGE+T2,True,myops_scar,5,True,0.7531584062196307,0.7467853610286844,-0.00637304519094628,6.640625,6.772135291490417,0.13151029149041715,1,1,0.0,0.0,0.0,0.0,36,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case2008.nii.gz
formal_100,100,100,Case2017,CenterB,C0+LGE+T2,True,myops_edema,4,True,0.6796246648793566,0.6842684268426843,0.004643761963327719,10.0,10.0,0.0,6,6,0.0,0.0,0.0,0.0,69,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case2017.nii.gz
formal_100,100,100,Case2017,CenterB,C0+LGE+T2,True,myops_scar,5,True,0.5470588235294118,0.5514066496163683,0.004347826086956497,11.338866091557966,10.62332572182127,-0.7155403697366953,2,2,0.0,0.0,0.0,0.0,85,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case2017.nii.gz
formal_100,100,100,Case2020,CenterB,C0+LGE+T2,True,myops_edema,4,True,0.5630676084762866,0.5664160401002506,0.003348431623964032,7.5130097186944615,7.470674383462647,-0.04233533523181432,4,4,0.0,0.0,0.0,0.0,13,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case2020.nii.gz
formal_100,100,100,Case2020,CenterB,C0+LGE+T2,True,myops_scar,5,True,0.4196185286103542,0.41426611796982166,-0.0053524106405325456,20.994429281533453,20.994429281533453,0.0,1,1,0.0,0.0,0.0,0.0,5,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case2020.nii.gz
formal_100,100,100,Case2031,CenterB,C0+LGE+T2,True,myops_edema,4,True,0.29880478087649404,0.2952755905511811,-0.0035291903253129586,25.052956799932126,25.078219852452992,0.02526305252086658,16,16,0.0,0.0,0.0,0.0,6,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case2031.nii.gz
formal_100,100,100,Case2031,CenterB,C0+LGE+T2,True,myops_scar,5,True,0.8013937282229965,0.8030751034890597,0.0016813752660632675,5.008673145796307,3.959703799009236,-1.0489693467870715,2,2,0.0,0.0,0.0,0.0,31,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case2031.nii.gz
formal_100,100,100,Case2033,CenterB,C0+LGE+T2,True,myops_edema,4,True,0.523033309709426,0.5247977488568414,0.0017644391474154197,10.76453641085509,10.76453641085509,0.0,4,3,-1.0,0.0,0.0,0.0,21,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case2033.nii.gz
formal_100,100,100,Case2033,CenterB,C0+LGE+T2,True,myops_scar,5,True,0.7208988764044943,0.7218181818181818,0.0009193054136874546,10.0,9.419159483306416,-0.5808405166935842,2,2,0.0,0.0,0.0,0.0,25,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case2033.nii.gz
formal_100,100,100,Case3004,CenterC,C0+LGE+T2,True,myops_edema,4,True,0.4530451866404715,0.4545989409688174,0.0015537543283459243,9.222044972510458,9.20901510524829,-0.013029867262169148,4,4,0.0,0.0,0.0,0.0,11,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case3004.nii.gz
formal_100,100,100,Case3004,CenterC,C0+LGE+T2,True,myops_scar,5,True,0.6247040252565115,0.6136953483729287,-0.011008676883582758,24.000003814697266,24.000003814697266,0.0,1,1,0.0,0.0,0.0,0.0,59,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case3004.nii.gz
formal_100,100,100,Case3011,CenterC,C0+LGE+T2,True,myops_edema,4,True,0.26666666666666666,0.2697338746053225,0.003067207938655836,34.26613348722458,34.17934831320107,-0.08678517402351105,7,8,1.0,0.0,0.0,0.0,14,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case3011.nii.gz
formal_100,100,100,Case3011,CenterC,C0+LGE+T2,True,myops_scar,5,True,0.6389535925461387,0.6350072780203785,-0.0039463145257602195,10.960275328815657,10.978401670895797,0.018126342080140745,3,3,0.0,0.0,0.0,0.0,91,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053/variants/batch6_formal300_htzhulab_59744053/predictions/fold_0/step_100/argmax/Case3011.nii.gz
