candidate_id,semantic_task,slot_group,slot_kind,slot_modality,expert_index,row_count,step_count,case_count,mean_weight,p95_weight,min_weight,max_weight,mean_valid_fraction,weight_range,stability_status
m9_srr_main_lesion_proposal_memory,anatomy,c0_private,private,C0,17,2852,592,171,0.04595354967660807,0.16996596902608868,0.0,0.22960063815116882,0.6500701262272089,0.22960063815116882,STABLE_NONZERO
m9_srr_main_lesion_proposal_memory,anatomy,c0_private,private,C0,18,2852,592,171,0.028552000760794703,0.19044172689318656,0.0,0.4938342571258545,0.6500701262272089,0.4938342571258545,STABLE_NONZERO
m9_srr_main_lesion_proposal_memory,anatomy,interaction_lge_c0,interaction,,22,2852,592,171,0.01286032177612945,0.07809250280261039,0.0,0.11889518797397614,0.6500701262272089,0.11889518797397614,STABLE_NONZERO
m9_srr_main_lesion_proposal_memory,anatomy,interaction_lge_c0,interaction,,23,2852,592,171,0.004958338021489479,0.044372791424393654,0.0,0.1106620579957962,0.6500701262272089,0.1106620579957962,STABLE_NONZERO
m9_srr_main_lesion_proposal_memory,anatomy,interaction_lge_c0,interaction,,24,2852,592,171,0.025470968919086463,0.14532443061470982,0.0,0.3494168817996979,0.6500701262272089,0.3494168817996979,STABLE_NONZERO
m9_srr_main_lesion_proposal_memory,anatomy,interaction_lge_t2,interaction,,19,2852,592,171,0.009047973690142883,0.05320088248699897,0.0,0.3052811622619629,0.6402524544179523,0.3052811622619629,STABLE_NONZERO
m9_srr_main_lesion_proposal_memory,anatomy,interaction_lge_t2,interaction,,20,2852,592,171,0.0034329515163955535,0.021749259624630195,0.0,0.13636404275894165,0.6402524544179523,0.13636404275894165,STABLE_NONZERO
m9_srr_main_lesion_proposal_memory,anatomy,interaction_lge_t2,interaction,,21,2852,592,171,0.0008092147329301988,0.0013055555755272508,0.0,0.05131031200289726,0.6402524544179523,0.05131031200289726,STABLE_NONZERO
m9_srr_main_lesion_proposal_memory,anatomy,interaction_t2_c0,interaction,,25,2852,592,171,0.015346637556748498,0.10059277564287183,0.0,0.1664370894432068,0.5308555399719496,0.1664370894432068,STABLE_NONZERO
m9_srr_main_lesion_proposal_memory,anatomy,interaction_t2_c0,interaction,,26,2852,592,171,0.04690300940221984,0.1555782347917557,0.0,0.24757258594036102,0.5308555399719496,0.24757258594036102,STABLE_NONZERO
m9_srr_main_lesion_proposal_memory,anatomy,lge_private,private,LGE,10,2852,592,171,0.011908928926116205,0.06428815051913261,0.0011111109051853418,0.25175055861473083,1.0,0.2506394477095455,STABLE_NONZERO
m9_srr_main_lesion_proposal_memory,anatomy,lge_private,private,LGE,11,2852,592,171,0.010122611233931907,0.0464405922219157,0.0011111109051853418,0.1652096062898636,1.0,0.16409849538467824,STABLE_NONZERO
m9_srr_main_lesion_proposal_memory,anatomy,lge_private,private,LGE,6,2852,592,171,0.004875947209842487,0.029354929924011217,0.0011111109051853418,0.1534261852502823,1.0,0.15231507434509695,STABLE_NONZERO
m9_srr_main_lesion_proposal_memory,anatomy,lge_private,private,LGE,7,2852,592,171,0.0033177606545360615,0.0024999999441206455,0.0011111109051853418,0.16187597811222076,1.0,0.16076486720703542,STABLE_NONZERO
m9_srr_main_lesion_proposal_memory,anatomy,lge_private,private,LGE,8,2852,592,171,0.021876397589760406,0.10194972157478333,0.0011111109051853418,0.1681501269340515,1.0,0.16703901602886617,STABLE_NONZERO
m9_srr_main_lesion_proposal_memory,anatomy,lge_private,private,LGE,9,2852,592,171,0.012249825674517023,0.0701925855129957,0.0011111109051853418,0.2883129119873047,1.0,0.28720180108211935,STABLE_NONZERO
m9_srr_main_lesion_proposal_memory,anatomy,shared,shared,,0,2852,592,171,0.10522360273089579,0.23560390695929528,0.0011111110216006637,0.5133703351020813,1.0,0.5122592240804806,REQUIRES_REVIEW
m9_srr_main_lesion_proposal_memory,anatomy,shared,shared,,1,2852,592,171,0.07584426421090029,0.2672917887568472,0.0011111109051853418,0.488975465297699,1.0,0.48786435439251363,STABLE_NONZERO
m9_srr_main_lesion_proposal_memory,anatomy,shared,shared,,2,2852,592,171,0.13830088540253022,0.295628297328949,0.0011111109051853418,0.3653150200843811,1.0,0.36420390917919576,STABLE_NONZERO
m9_srr_main_lesion_proposal_memory,anatomy,shared,shared,,3,2852,592,171,0.13384904390035085,0.3200407028198242,0.0011111110216006637,0.38255420327186584,1.0,0.3814430922502652,STABLE_NONZERO
