case_id,method,transform_family,fixed_frame,moving_frame,available_nonreference_prediction_frames,before_class1_dice,after_class1_dice,before_class2_myocardium_proxy_dice,after_class2_myocardium_proxy_dice,before_class3_sanity_dice,after_class3_sanity_dice,image_ncc_before,iterations,registration_metric,usable_for_temporal_dictionary
Case1001,ANTsPy_SyNOnly,SyNOnly_dense_displacement,0,9,2,0.5397015575645354,0.5597134609216294,0.6624609618988132,0.690532618186354,0.767775651405859,0.790013729315702,0.9459638321575794,25,,True
Case1002,ANTsPy_SyNOnly,SyNOnly_dense_displacement,0,8,2,0.6112146162629966,0.6112146162629966,0.6104122461351925,0.6104122461351925,0.7641048787493332,0.7641048787493332,0.9208520557574723,25,,True
Case1003,ANTsPy_SyNOnly,SyNOnly_dense_displacement,0,6,2,0.5025248661055853,0.5025248661055853,0.608413948256468,0.608413948256468,0.49448785186770844,0.49448785186770844,0.9093693636810773,25,,True
Case1004,ANTsPy_SyNOnly,SyNOnly_dense_displacement,0,10,2,0.599023028611305,0.599023028611305,0.7213228035538006,0.7213228035538006,0.8151867998454831,0.8151867998454831,0.9567537249628013,25,,True
Case1005,ANTsPy_SyNOnly,SyNOnly_dense_displacement,0,8,2,0.5385321748958113,0.5385321748958113,0.5731372475269869,0.5731372475269869,0.6689586447433981,0.6689586447433981,0.9126147105972018,25,,True
Case1006,ANTsPy_SyNOnly,SyNOnly_dense_displacement,0,9,2,0.5308547754034016,0.5461058344640434,0.5357664233576642,0.5809276061163632,0.7230637128627855,0.7554901895243507,0.8974645642461722,25,,True
Case1007,ANTsPy_SyNOnly,SyNOnly_dense_displacement,0,10,2,0.3468810743947694,0.37637086555686633,0.5146070741453308,0.524628059984589,0.6006069402295817,0.6165348170042597,0.9265309016345928,25,,True
Case1008,ANTsPy_SyNOnly,SyNOnly_dense_displacement,0,15,2,0.32172701949860727,0.32172701949860727,0.655098645115284,0.655098645115284,0.6212055819306574,0.6212055819306574,0.9399658674406827,25,,True
Case1010,ANTsPy_SyNOnly,SyNOnly_dense_displacement,0,6,2,0.7396291243494517,0.762883526958594,0.5331640471082703,0.6016696223885116,0.7372392365734576,0.7822037844473606,0.9246686778157518,25,,True
Case1011,ANTsPy_SyNOnly,SyNOnly_dense_displacement,0,8,2,0.6080316303589426,0.6080316303589426,0.5370194667102896,0.5370194667102896,0.6162604518768903,0.6162604518768903,0.9047504043728013,25,,True
Case1012,ANTsPy_SyNOnly,SyNOnly_dense_displacement,0,6,2,0.5330630858880162,0.5330630858880162,0.4751124041258926,0.4751124041258926,0.5537350735906693,0.5537350735906693,0.885011432011742,25,,True
Case1013,ANTsPy_SyNOnly,SyNOnly_dense_displacement,0,9,2,0.463542609010313,0.46479255174907347,0.661160525201186,0.6887113790504898,0.7003532911863146,0.7286012526096033,0.9075037254294777,25,,True
