candidate_id,runtime_root,summary_path,actual_optimizer_steps,train_loop_seconds,checkpoint_selection_mode,checkpoint_selection_status,checkpoint_best
m9_srr_main_lesion_proposal_memory,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/runtime_htzhulab_mirror,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/runtime_htzhulab_mirror/variants/m9_srr_main_lesion_proposal_memory/summary.json,6000,1499.561819610186,m9_runtime_proxy_requires_post_job_metric_aggregation,M9_POST_JOB_METRIC_ALIGNED_SELECTION_REQUIRED,/users/a/e/aereinh/CARE/results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/runtime_htzhulab_mirror/variants/m9_srr_main_lesion_proposal_memory/checkpoints/fold_0/propref_config/checkpoint_best.pt
m9_srr_main_t2_edema_recall_focus,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/runtime_htzhulab_mirror,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/runtime_htzhulab_mirror/variants/m9_srr_main_t2_edema_recall_focus/summary.json,6000,1655.3431665934622,m9_runtime_proxy_requires_post_job_metric_aggregation,M9_POST_JOB_METRIC_ALIGNED_SELECTION_REQUIRED,/users/a/e/aereinh/CARE/results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/runtime_htzhulab_mirror/variants/m9_srr_main_t2_edema_recall_focus/checkpoints/fold_0/propref_config/checkpoint_best.pt
m9_srr_main_true_br2_pattern_sip,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/runtime_htzhulab_mirror,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/runtime_htzhulab_mirror/variants/m9_srr_main_true_br2_pattern_sip/summary.json,6000,1660.0970819266513,m9_runtime_proxy_requires_post_job_metric_aggregation,M9_POST_JOB_METRIC_ALIGNED_SELECTION_REQUIRED,/users/a/e/aereinh/CARE/results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/runtime_htzhulab_mirror/variants/m9_srr_main_true_br2_pattern_sip/checkpoints/fold_0/propref_config/checkpoint_best.pt
