bytes,checkpoint_name,edema_dice,epoch,exists,family,max_epochs,metadata_status,path,relative_path,scar_dice,sha256
13035237,coarse_best,,40,True,clean_fold0,40,PASS_SAFE_OPCODE_SCAN,/users/a/e/aereinh/CARE/results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/coarse/best.pt,results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/coarse/best.pt,,3274fdd238e86046dcd3d7d755e8a340785be4dcd9961d6d67a01bd55a939e39
13035237,coarse_last,,40,True,clean_fold0,40,PASS_SAFE_OPCODE_SCAN,/users/a/e/aereinh/CARE/results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/coarse/last.pt,results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/coarse/last.pt,,e6825d38ad4b0246f749d5a669bcf9fef3627c87733547af55c8caa2798236f9
70473501,fine_scar_best,0.11625883762659588,75,True,clean_fold0,300,PASS_SAFE_OPCODE_SCAN,/users/a/e/aereinh/CARE/results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/fine_scar/best.pt,results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/fine_scar/best.pt,0.49139995489313043,0060839ea19cbbc7dd51328275cce04a868d578bf22f36337f330d3e09e5f4f2
70486219,fine_scar_best_scar,0.11531605310469495,190,True,clean_fold0,300,PASS_SAFE_OPCODE_SCAN,/users/a/e/aereinh/CARE/results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/fine_scar/best_scar.pt,results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/fine_scar/best_scar.pt,0.5164185062885442,457d8ff93b9113656995e76eb3efb75f881a445f369ed1885e12b0a46cf1d5c5
70487609,fine_scar_best_pathology,0.11531605310469495,190,True,clean_fold0,300,PASS_SAFE_OPCODE_SCAN,/users/a/e/aereinh/CARE/results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/fine_scar/best_pathology.pt,results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/fine_scar/best_pathology.pt,0.5164185062885442,1cf75d69a46a4e8e7c53583dcf2c8134f60be0e374925e04e1187ca3686be0ec
70473501,fine_scar_last,0.11321096965895625,300,True,clean_fold0,300,PASS_SAFE_OPCODE_SCAN,/users/a/e/aereinh/CARE/results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/fine_scar/last.pt,results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/fine_scar/last.pt,0.5104838406168852,7c8a5e45697b4849779776df5f04c02f0f3ea042b698ef0ad807640ecc110aef
320530257,edema_best,0.6438703839913584,130,True,clean_fold0,,PASS_SAFE_OPCODE_SCAN,/users/a/e/aereinh/CARE/results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/edema/best.pt,results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/edema/best.pt,,38c93c34f0c5d41cfcac82792da5ecf6358f78b35c8e535d028b40cd0900f0d1
320530257,edema_last,0.5903712990701147,200,True,clean_fold0,,PASS_SAFE_OPCODE_SCAN,/users/a/e/aereinh/CARE/results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/edema/last.pt,results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/edema/last.pt,,90ecb54b63ea4f9a9d7cb0d38f7a7ceddbdee417121df9e2ddfdd7b82708ddaf
4343733,coarse,,40,True,full_data_downloaded,,PASS_SAFE_OPCODE_SCAN,/users/a/e/aereinh/MoSAIC/code/weights/myops/coarse.pt,/users/a/e/aereinh/MoSAIC/code/weights/myops/coarse.pt,,aae815c3dd50d6776e2af769551e8d6918a5dee4f83f29309a254051e067080c
4345269,coarse_edema,,20,True,full_data_downloaded,,PASS_SAFE_OPCODE_SCAN,/users/a/e/aereinh/MoSAIC/code/weights/myops/coarse_edema.pt,/users/a/e/aereinh/MoSAIC/code/weights/myops/coarse_edema.pt,,b9b596f1f5475ac852bf2c0be38a72c59e538dd3199f1f4989983433506ed9d4
29381835,fine_scar,,300,True,full_data_downloaded,,PASS_SAFE_OPCODE_SCAN,/users/a/e/aereinh/MoSAIC/code/weights/myops/fine_scar.pt,/users/a/e/aereinh/MoSAIC/code/weights/myops/fine_scar.pt,,94c54de3321000eabbc3c3a42a5d838410fb859a1c5b2460e6c2f6d773622ded
320526339,edema,,200,True,full_data_downloaded,,PASS_SAFE_OPCODE_SCAN,/users/a/e/aereinh/MoSAIC/code/weights/myops/edema.pt,/users/a/e/aereinh/MoSAIC/code/weights/myops/edema.pt,,14a6a53f643bdbbac4c8234af2aa86e8a43423b761013f7b7f580965e1ed503c
