checkpoint_path,checkpoint_role,comparison_tier,edema_dice,epoch,max_epochs,model_id,role,scar_dice,selection_policy,sha256
results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/coarse/best.pt,coarse_scar,CLEAN_FOLD0_RANDOM_INIT_CHECKPOINT_BUG_CONTROL,,40,40,clean_current_bug,old_checkpoint_bug_control,,old_runner_best_pt_priority,3274fdd238e86046dcd3d7d755e8a340785be4dcd9961d6d67a01bd55a939e39
results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/coarse/best.pt,coarse_edema,CLEAN_FOLD0_RANDOM_INIT_CHECKPOINT_BUG_CONTROL,,40,40,clean_current_bug,old_checkpoint_bug_control,,old_runner_best_pt_priority,3274fdd238e86046dcd3d7d755e8a340785be4dcd9961d6d67a01bd55a939e39
results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/fine_scar/best.pt,scar,CLEAN_FOLD0_RANDOM_INIT_CHECKPOINT_BUG_CONTROL,0.11625883762659588,75,300,clean_current_bug,old_checkpoint_bug_control,0.49139995489313043,old_runner_best_pt_priority,0060839ea19cbbc7dd51328275cce04a868d578bf22f36337f330d3e09e5f4f2
results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/edema/best.pt,edema,CLEAN_FOLD0_RANDOM_INIT_CHECKPOINT_BUG_CONTROL,0.6438703839913584,130,,clean_current_bug,old_checkpoint_bug_control,,old_runner_best_pt_priority,38c93c34f0c5d41cfcac82792da5ecf6358f78b35c8e535d028b40cd0900f0d1
results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/coarse/best.pt,coarse_scar,FAIR_CLEAN_FOLD0_RANDOM_INIT,,40,40,clean_pathology_checkpoint,clean_fold0_corrected_scar_primary,,upstream_prefers_best_scar_when_present,3274fdd238e86046dcd3d7d755e8a340785be4dcd9961d6d67a01bd55a939e39
results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/coarse/best.pt,coarse_edema,FAIR_CLEAN_FOLD0_RANDOM_INIT,,40,40,clean_pathology_checkpoint,clean_fold0_corrected_scar_primary,,upstream_prefers_best_scar_when_present,3274fdd238e86046dcd3d7d755e8a340785be4dcd9961d6d67a01bd55a939e39
results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/fine_scar/best_scar.pt,scar,FAIR_CLEAN_FOLD0_RANDOM_INIT,0.11531605310469495,190,300,clean_pathology_checkpoint,clean_fold0_corrected_scar_primary,0.5164185062885442,upstream_prefers_best_scar_when_present,457d8ff93b9113656995e76eb3efb75f881a445f369ed1885e12b0a46cf1d5c5
results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/edema/best.pt,edema,FAIR_CLEAN_FOLD0_RANDOM_INIT,0.6438703839913584,130,,clean_pathology_checkpoint,clean_fold0_corrected_scar_primary,,upstream_prefers_best_scar_when_present,38c93c34f0c5d41cfcac82792da5ecf6358f78b35c8e535d028b40cd0900f0d1
results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/coarse/best.pt,coarse_scar,FAIR_CLEAN_FOLD0_RANDOM_INIT,,40,40,clean_pathology_scar_terminal_edema,clean_fold0_fixed_primary_merged,,pathology_specific_scar_plus_terminal_edema_predeclared,3274fdd238e86046dcd3d7d755e8a340785be4dcd9961d6d67a01bd55a939e39
results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/coarse/best.pt,coarse_edema,FAIR_CLEAN_FOLD0_RANDOM_INIT,,40,40,clean_pathology_scar_terminal_edema,clean_fold0_fixed_primary_merged,,pathology_specific_scar_plus_terminal_edema_predeclared,3274fdd238e86046dcd3d7d755e8a340785be4dcd9961d6d67a01bd55a939e39
