fold,event,timestamp,epochs,steps_per_epoch,last_loss,device
2,start,2026-08-01T04:38:44.435304+00:00,1,1,,cuda
2,epoch,2026-08-01T04:38:44.978628+00:00,1,1,2.762484073638916,cuda
2,complete,2026-08-01T04:38:47.198830+00:00,1,1,2.762484073638916,cuda
2,start,2026-08-01T05:06:23.721519+00:00,60,100,,cuda
2,epoch,2026-08-01T05:06:28.585489+00:00,1,100,1.0675179958343506,cuda
2,epoch,2026-08-01T05:06:33.018674+00:00,2,200,0.730398416519165,cuda
2,epoch,2026-08-01T05:06:37.906032+00:00,3,300,0.6239533424377441,cuda
2,epoch,2026-08-01T05:06:42.318933+00:00,4,400,0.4773558974266052,cuda
2,epoch,2026-08-01T05:06:46.720987+00:00,5,500,0.5359498858451843,cuda
2,epoch,2026-08-01T05:06:53.351965+00:00,6,600,0.31473854184150696,cuda
2,epoch,2026-08-01T05:06:57.754539+00:00,7,700,0.30728864669799805,cuda
2,epoch,2026-08-01T05:07:02.147403+00:00,8,800,0.3064459264278412,cuda
2,epoch,2026-08-01T05:07:06.575070+00:00,9,900,0.2648971676826477,cuda
2,epoch,2026-08-01T05:07:11.014037+00:00,10,1000,0.21685367822647095,cuda
2,epoch,2026-08-01T05:07:17.563053+00:00,11,1100,0.22377276420593262,cuda
2,epoch,2026-08-01T05:07:21.986332+00:00,12,1200,0.3322250247001648,cuda
2,epoch,2026-08-01T05:07:26.439893+00:00,13,1300,0.18809281289577484,cuda
2,epoch,2026-08-01T05:07:30.936504+00:00,14,1400,0.21078896522521973,cuda
2,epoch,2026-08-01T05:07:35.404065+00:00,15,1500,0.20526623725891113,cuda
2,epoch,2026-08-01T05:07:42.105445+00:00,16,1600,0.26100394129753113,cuda
2,epoch,2026-08-01T05:07:46.581110+00:00,17,1700,0.13670024275779724,cuda
2,epoch,2026-08-01T05:07:51.064288+00:00,18,1800,0.1877054125070572,cuda
2,epoch,2026-08-01T05:07:55.523315+00:00,19,1900,0.20770159363746643,cuda
2,epoch,2026-08-01T05:08:00.005894+00:00,20,2000,0.20803502202033997,cuda
2,epoch,2026-08-01T05:08:06.570026+00:00,21,2100,0.5293312668800354,cuda
2,epoch,2026-08-01T05:08:10.948426+00:00,22,2200,0.2638276219367981,cuda
2,epoch,2026-08-01T05:08:15.582063+00:00,23,2300,0.17682674527168274,cuda
2,epoch,2026-08-01T05:08:19.943025+00:00,24,2400,0.2289920151233673,cuda
2,epoch,2026-08-01T05:08:24.387100+00:00,25,2500,0.23949536681175232,cuda
2,epoch,2026-08-01T05:08:30.907839+00:00,26,2600,0.12447525560855865,cuda
2,epoch,2026-08-01T05:08:35.265053+00:00,27,2700,0.16915039718151093,cuda
2,epoch,2026-08-01T05:08:39.620845+00:00,28,2800,0.10093004256486893,cuda
