variant,case_id,intervention,pathology,final_logit_delta,changed_argmax_voxels,changed_scar_voxels,changed_edema_voxels,dice_delta,hd95_delta,lesion_recall_delta,remote_fp_delta,volume_ratio_delta,direction_correct
A3,Case1014,disable_scar_head,scar,75.3821029663086,882,882,0,-0.14372650603707335,1.1898738921844298,-0.20000000000000007,773.8636569768616,-1.7584541020327198,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1014,disable_scar_proposal,scar,26.51457977294922,252,252,0,-0.008201669336480921,-0.18605946728438028,-0.10000000000000009,-236.45833963181917,-0.4492753612336342,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1014,disable_edema_head,scar,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1014,disable_edema_proposal,scar,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1017,disable_scar_head,scar,73.17460632324219,777,777,0,-0.3215160838284914,1.1916673145439702,-0.2,-58.880930422152574,-0.5796979860908574,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1017,disable_scar_proposal,scar,21.842395782470703,129,129,0,-0.014860539551897589,0.08179024063197282,0.0,569.1823274141416,-0.0679530200772207,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1017,disable_edema_head,scar,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1017,disable_edema_proposal,scar,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1018,disable_scar_head,scar,78.75585174560547,1042,1042,0,-0.16170795056105297,-14.143593072508391,0.0,-1275.7534924799727,-0.5204711158045592,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1018,disable_scar_proposal,scar,20.782154083251953,235,235,0,-0.01902433359997935,0.9584632563441673,0.0,392.539536147684,-0.05103757708859358,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1018,disable_edema_head,scar,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1018,disable_edema_proposal,scar,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1025,disable_scar_head,scar,80.81277465820312,1562,1562,0,-0.18640436328399113,-38.492514171112,0.0,-1788.811149078438,-0.42361317104016216,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1025,disable_scar_proposal,scar,30.059417724609375,298,298,0,-0.01728903943614657,55.856041997767626,0.0,240.28806480157937,-0.03856422425435646,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1025,disable_edema_head,scar,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1025,disable_edema_proposal,scar,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1027,disable_scar_head,scar,81.13595581054688,2237,2237,0,-0.17568725433604726,-79.45576560754199,0.0,-2866.255469707293,-0.37942634554188637,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1027,disable_scar_proposal,scar,29.205429077148438,407,407,0,-0.011756932973320255,11.946661960508465,0.0,317.4929135675761,-0.03346317279860789,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1027,disable_edema_head,scar,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1027,disable_edema_proposal,scar,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1031,disable_scar_head,scar,67.9425048828125,1824,1824,0,-0.08112243418602105,-22.953880554648748,0.0,-5229.813826265907,-0.34882317434141563,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1031,disable_scar_proposal,scar,26.7081298828125,425,425,0,-0.006177951354736089,0.8316453285332983,0.0,97.0117235900907,-0.029169181245389364,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1031,disable_edema_head,scar,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1031,disable_edema_proposal,scar,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1034,disable_scar_head,scar,84.62277221679688,2033,2033,0,-0.05834835591512044,-112.28231848073881,0.0,-5982.480625718383,-0.38833972152746843,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1034,disable_scar_proposal,scar,30.1024169921875,963,963,0,-0.03461041429822043,11.041717955256075,0.0,5418.841955196165,0.07605406494330147,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1034,disable_edema_head,scar,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1034,disable_edema_proposal,scar,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1039,disable_scar_head,scar,76.90582275390625,2709,2709,0,-0.4295668940261959,9.55971538762593,0.0,-687.9013127297496,-0.6310353109221629,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1039,disable_scar_proposal,scar,26.139625549316406,418,418,0,-0.032238532699895184,0.0,0.0,79.37322839189437,-0.07110257024475075,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1039,disable_edema_head,scar,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1039,disable_edema_proposal,scar,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1044,disable_scar_head,scar,76.82210540771484,1958,1958,0,-0.03503625206448091,-87.26241629397781,0.0,-6649.712689720917,-0.3862573693054977,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1044,disable_scar_proposal,scar,28.53282928466797,565,565,0,-0.03192767597553381,2.8297493145170733,0.0,2495.8470705451236,0.019719455169807,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1044,disable_edema_head,scar,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1044,disable_edema_proposal,scar,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1046,disable_scar_head,scar,78.063720703125,667,667,0,-0.34368797074258367,0.5346164207019015,0.0,-1133.6716605780766,-0.5878378372704269,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1046,disable_scar_proposal,scar,24.462753295898438,201,201,0,-0.05276037828543356,-0.29844643669105153,0.0,8768.603252226356,-0.1380308878976536,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1046,disable_edema_head,scar,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1046,disable_edema_proposal,scar,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1052,disable_scar_head,scar,94.68513488769531,676,676,0,-0.3582885193982581,8.108166369461992,0.0,-451.4204665698363,-0.5935984475328822,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1052,disable_scar_proposal,scar,24.382600784301758,196,196,0,-0.03417891737891737,0.517058348403717,0.0,-39.25395361476842,-0.11639185245742789,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1052,disable_edema_head,scar,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1052,disable_edema_proposal,scar,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,yes_if_delta_negative_on_disable_for_helpful_module
A3,Case1064,disable_scar_head,scar,85.29751586914062,2569,2569,0,-0.28071259205496424,-47.03681204833606,0.0,-3833.1168951082027,-0.4593488371238421,yes_if_delta_negative_on_disable_for_helpful_module
