variant,pathology,population,group,n,dice_mean,hd95_mm_mean,exact_hd_mm_mean,precision_mean,recall_mean,lesion_recall_mean,small_lesion_recall_mean,remote_fp_volume_mm3_mean,remote_fp_count_mean,blood_pool_adjacent_fp_volume_mm3_mean,volume_ratio_mean
A0,scar,all_cases,all,35,0.608383209164923,19.35739387220052,33.908470940863964,0.5935295954266729,0.6398231254776843,0.6493104514533086,0.1431216931216931,247.2704417795749,1.0857142857142856,6907.790423273351,1.09786035733254
A0,scar,gt_positive,all,35,0.608383209164923,19.35739387220052,33.908470940863964,0.5935295954266729,0.6398231254776843,0.6493104514533086,0.1431216931216931,247.2704417795749,1.0857142857142856,6907.790423273351,1.09786035733254
A0,pure_edema,t2_present,all,7,0.42203435417139035,49.213573323266914,55.9348248497101,0.4327187347443639,0.41306543014124175,0.45153061224489793,0.38095238095238093,178.14123151119298,0.42857142857142855,8520.354309082031,0.7075415287866277
A0,pure_edema,gt_positive,all,7,0.42203435417139035,49.213573323266914,55.9348248497101,0.4327187347443639,0.41306543014124175,0.45153061224489793,0.38095238095238093,178.14123151119298,0.42857142857142855,8520.354309082031,0.7075415287866277
A1,scar,all_cases,all,35,0.41002158901834995,94.59523035985384,151.77564042647052,0.4572732068440998,0.45740818384047577,0.6445361781076068,0.11728395061728396,9507.68452408898,44.77142857142857,8285.306071744548,1.2557196110658
A1,scar,gt_positive,all,35,0.41002158901834995,94.59523035985384,151.77564042647052,0.4572732068440998,0.45740818384047577,0.6445361781076068,0.11728395061728396,9507.68452408898,44.77142857142857,8285.306071744548,1.2557196110658
A1,pure_edema,t2_present,all,7,0.3548150405000469,100.8832364642351,187.90205692968763,0.2952118686814082,0.457210486519482,0.5025510204081632,0.42857142857142855,14876.211691921719,26.142857142857142,12072.387173586321,1.1792551940247242
A1,pure_edema,gt_positive,all,7,0.3548150405000469,100.8832364642351,187.90205692968763,0.2952118686814082,0.457210486519482,0.5025510204081632,0.42857142857142855,14876.211691921719,26.142857142857142,12072.387173586321,1.1792551940247242
A2,scar,all_cases,all,35,0.41886197975365536,55.01375606659527,117.67683261558999,0.49367090672396674,0.405830790228523,0.6505132962275819,0.13765432098765432,4386.356731589882,11.82857142857143,6979.399813783076,0.8932785729143885
A2,scar,gt_positive,all,35,0.41886197975365536,55.01375606659527,117.67683261558999,0.49367090672396674,0.405830790228523,0.6505132962275819,0.13765432098765432,4386.356731589882,11.82857142857143,6979.399813783076,0.8932785729143885
A2,pure_edema,t2_present,all,7,0.330768905941273,95.179881341885,148.4958285730674,0.3397223251572067,0.33288117492615754,0.3443877551020408,0.24217687074829933,9224.923242750407,5.285714285714286,5855.826912043006,0.7597022741468262
A2,pure_edema,gt_positive,all,7,0.330768905941273,95.179881341885,148.4958285730674,0.3397223251572067,0.33288117492615754,0.3443877551020408,0.24217687074829933,9224.923242750407,5.285714285714286,5855.826912043006,0.7597022741468262
A3,scar,all_cases,all,35,0.41511964861772893,48.47922582545618,117.12264124861194,0.5129731665500392,0.3968622801276635,0.6776561533704392,0.17336860670194004,2870.6018155473116,12.857142857142858,7342.933858489012,0.8382672365196445
A3,scar,gt_positive,all,35,0.41511964861772893,48.47922582545618,117.12264124861194,0.5129731665500392,0.3968622801276635,0.6776561533704392,0.17336860670194004,2870.6018155473116,12.857142857142858,7342.933858489012,0.8382672365196445
A3,pure_edema,t2_present,all,7,0.35672446578816736,107.46956664612503,144.64302020107735,0.4115722276971131,0.3201447550363313,0.3954081632653061,0.29931972789115646,2996.4046974968974,4.428571428571429,5555.324036005413,0.5951706660883891
A3,pure_edema,gt_positive,all,7,0.35672446578816736,107.46956664612503,144.64302020107735,0.4115722276971131,0.3201447550363313,0.3954081632653061,0.29931972789115646,2996.4046974968974,4.428571428571429,5555.324036005413,0.5951706660883891
