variant,case_id,runtime_prediction_path,device,patch_size_zyx,sliding_window_count,elapsed_seconds,status
A0,Case8016,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A0/Case8016.nii.gz,cuda,20x256x256,1,0.035,COMPLETED
A0,Case8030,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A0/Case8030.nii.gz,cuda,20x256x256,1,0.035,COMPLETED
A0,Case8035,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A0/Case8035.nii.gz,cuda,20x256x256,1,0.036,COMPLETED
A1,Case1014,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case1014.nii.gz,cuda,20x256x256,1,0.04,COMPLETED
A1,Case1017,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case1017.nii.gz,cuda,20x256x256,1,0.041,COMPLETED
A1,Case1018,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case1018.nii.gz,cuda,20x256x256,1,0.045,COMPLETED
A1,Case1025,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case1025.nii.gz,cuda,20x256x256,2,0.125,COMPLETED
A1,Case1027,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case1027.nii.gz,cuda,20x256x256,1,0.069,COMPLETED
A1,Case1031,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case1031.nii.gz,cuda,20x256x256,1,0.061,COMPLETED
A1,Case1034,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case1034.nii.gz,cuda,20x256x256,1,0.071,COMPLETED
A1,Case1039,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case1039.nii.gz,cuda,20x256x256,1,0.055,COMPLETED
A1,Case1044,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case1044.nii.gz,cuda,20x256x256,1,0.056,COMPLETED
A1,Case1046,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case1046.nii.gz,cuda,20x256x256,1,0.043,COMPLETED
A1,Case1052,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case1052.nii.gz,cuda,20x256x256,1,0.041,COMPLETED
A1,Case1064,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case1064.nii.gz,cuda,20x256x256,2,0.118,COMPLETED
A1,Case1066,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case1066.nii.gz,cuda,20x256x256,1,0.06,COMPLETED
