variant,pathology,population,group,n,dice_mean,hd95_mm_mean,exact_hd_mm_mean,precision_mean,recall_mean,lesion_recall_mean,small_lesion_recall_mean,remote_fp_volume_mm3_mean,remote_fp_count_mean,blood_pool_adjacent_fp_volume_mm3_mean,volume_ratio_mean
A0,scar,all_cases,all,35,0.608383209164923,19.35739387220052,33.908470940863964,0.5935295954266729,0.6398231254776843,0.6493104514533086,0.1431216931216931,247.2704417795749,1.0857142857142856,6907.790423273351,1.09786035733254
A0,scar,all_cases,gt_positive,35,0.608383209164923,19.35739387220052,33.908470940863964,0.5935295954266729,0.6398231254776843,0.6493104514533086,0.1431216931216931,247.2704417795749,1.0857142857142856,6907.790423273351,1.09786035733254
A0,scar,all_cases,CenterB,5,0.6913176957717496,7.695313877545187,18.795268606825665,0.6724880173519183,0.7300015890180191,1.0,,83.060546875,0.6,8880.28335571289,1.1406587764131406
A0,scar,all_cases,CenterC,2,0.0,167.58752567173622,172.79332771696994,0.0,0.0,0.0,,260.7194718521543,3.0,0.0,0.007967012518384595
A0,scar,all_cases,t2_present,7,0.4937983541226783,53.37880296159977,62.79471406686689,0.4803485838227988,0.5214297064414423,0.7142857142857143,,133.82023972561552,1.2857142857142858,6343.059539794922,0.8170325581574959
A0,scar,gt_positive,all,35,0.608383209164923,19.35739387220052,33.908470940863964,0.5935295954266729,0.6398231254776843,0.6493104514533086,0.1431216931216931,247.2704417795749,1.0857142857142856,6907.790423273351,1.09786035733254
A0,scar,gt_positive,gt_positive,35,0.608383209164923,19.35739387220052,33.908470940863964,0.5935295954266729,0.6398231254776843,0.6493104514533086,0.1431216931216931,247.2704417795749,1.0857142857142856,6907.790423273351,1.09786035733254
A0,scar,gt_positive,CenterB,5,0.6913176957717496,7.695313877545187,18.795268606825665,0.6724880173519183,0.7300015890180191,1.0,,83.060546875,0.6,8880.28335571289,1.1406587764131406
A0,scar,gt_positive,CenterC,2,0.0,167.58752567173622,172.79332771696994,0.0,0.0,0.0,,260.7194718521543,3.0,0.0,0.007967012518384595
A0,scar,gt_positive,t2_present,7,0.4937983541226783,53.37880296159977,62.79471406686689,0.4803485838227988,0.5214297064414423,0.7142857142857143,,133.82023972561552,1.2857142857142858,6343.059539794922,0.8170325581574959
A0,pure_edema,t2_present,all,7,0.42203435417139035,49.213573323266914,55.9348248497101,0.4327187347443639,0.41306543014124175,0.45153061224489793,0.38095238095238093,178.14123151119298,0.42857142857142855,8520.354309082031,0.7075415287866277
A0,pure_edema,t2_present,gt_positive,7,0.42203435417139035,49.213573323266914,55.9348248497101,0.4327187347443639,0.41306543014124175,0.45153061224489793,0.38095238095238093,178.14123151119298,0.42857142857142855,8520.354309082031,0.7075415287866277
A0,pure_edema,t2_present,CenterB,5,0.5908480958399465,9.01206084215784,16.962811880157126,0.6058062286421094,0.5782916021977385,0.6321428571428571,0.5333333333333333,0.0,0.0,11928.496032714844,0.9594409435829492
A0,pure_edema,t2_present,CenterC,2,0.0,149.7173545260396,153.36485727359252,0.0,0.0,0.0,0.0,623.4943102891755,1.5,0.0,0.07779299179582401
A0,pure_edema,t2_present,t2_present,7,0.42203435417139035,49.213573323266914,55.9348248497101,0.4327187347443639,0.41306543014124175,0.45153061224489793,0.38095238095238093,178.14123151119298,0.42857142857142855,8520.354309082031,0.7075415287866277
A0,pure_edema,gt_positive,all,7,0.42203435417139035,49.213573323266914,55.9348248497101,0.4327187347443639,0.41306543014124175,0.45153061224489793,0.38095238095238093,178.14123151119298,0.42857142857142855,8520.354309082031,0.7075415287866277
A0,pure_edema,gt_positive,gt_positive,7,0.42203435417139035,49.213573323266914,55.9348248497101,0.4327187347443639,0.41306543014124175,0.45153061224489793,0.38095238095238093,178.14123151119298,0.42857142857142855,8520.354309082031,0.7075415287866277
A0,pure_edema,gt_positive,CenterB,5,0.5908480958399465,9.01206084215784,16.962811880157126,0.6058062286421094,0.5782916021977385,0.6321428571428571,0.5333333333333333,0.0,0.0,11928.496032714844,0.9594409435829492
A0,pure_edema,gt_positive,CenterC,2,0.0,149.7173545260396,153.36485727359252,0.0,0.0,0.0,0.0,623.4943102891755,1.5,0.0,0.07779299179582401
A0,pure_edema,gt_positive,t2_present,7,0.42203435417139035,49.213573323266914,55.9348248497101,0.4327187347443639,0.41306543014124175,0.45153061224489793,0.38095238095238093,178.14123151119298,0.42857142857142855,8520.354309082031,0.7075415287866277
A1,scar,all_cases,all,35,0.41002158901834995,94.59523035985384,151.77564042647052,0.4572732068440998,0.45740818384047577,0.6445361781076068,0.11728395061728396,9507.68452408898,44.77142857142857,8285.306071744548,1.2557196110658
A1,scar,all_cases,gt_positive,35,0.41002158901834995,94.59523035985384,151.77564042647052,0.4572732068440998,0.45740818384047577,0.6445361781076068,0.11728395061728396,9507.68452408898,44.77142857142857,8285.306071744548,1.2557196110658
A1,scar,all_cases,CenterB,5,0.5368186092148112,149.5014889281612,215.593615076792,0.48686288455705384,0.6170618536301592,1.0,,9150.47885131836,47.8,7999.113464355469,1.3346982106160792
A1,scar,all_cases,CenterC,2,0.04471374843292938,127.22251464559552,154.6034105950896,0.12799043062200957,0.027088607594936708,0.5,,9494.866751458423,22.5,2648.3890873863584,0.9366308653838495
A1,scar,all_cases,t2_present,7,0.3962172204199878,143.136067704571,198.16784236773418,0.38432789771846976,0.44849806904866707,0.8571428571428571,,9248.87539421552,40.57142857142857,6470.335070935723,1.2209646834068708
A1,scar,gt_positive,all,35,0.41002158901834995,94.59523035985384,151.77564042647052,0.4572732068440998,0.45740818384047577,0.6445361781076068,0.11728395061728396,9507.68452408898,44.77142857142857,8285.306071744548,1.2557196110658
A1,scar,gt_positive,gt_positive,35,0.41002158901834995,94.59523035985384,151.77564042647052,0.4572732068440998,0.45740818384047577,0.6445361781076068,0.11728395061728396,9507.68452408898,44.77142857142857,8285.306071744548,1.2557196110658
A1,scar,gt_positive,CenterB,5,0.5368186092148112,149.5014889281612,215.593615076792,0.48686288455705384,0.6170618536301592,1.0,,9150.47885131836,47.8,7999.113464355469,1.3346982106160792
A1,scar,gt_positive,CenterC,2,0.04471374843292938,127.22251464559552,154.6034105950896,0.12799043062200957,0.027088607594936708,0.5,,9494.866751458423,22.5,2648.3890873863584,0.9366308653838495
A1,scar,gt_positive,t2_present,7,0.3962172204199878,143.136067704571,198.16784236773418,0.38432789771846976,0.44849806904866707,0.8571428571428571,,9248.87539421552,40.57142857142857,6470.335070935723,1.2209646834068708
A1,pure_edema,t2_present,all,7,0.3548150405000469,100.8832364642351,187.90205692968763,0.2952118686814082,0.457210486519482,0.5025510204081632,0.42857142857142855,14876.211691921719,26.142857142857142,12072.387173586321,1.1792551940247242
A1,pure_edema,t2_present,gt_positive,7,0.3548150405000469,100.8832364642351,187.90205692968763,0.2952118686814082,0.457210486519482,0.5025510204081632,0.42857142857142855,14876.211691921719,26.142857142857142,12072.387173586321,1.1792551940247242
A1,pure_edema,t2_present,CenterB,5,0.49674105670006574,106.43203600429929,195.12215975476244,0.41329661615397145,0.6400946811272747,0.7035714285714285,0.6,20187.043334960938,31.2,16651.9443359375,1.6312755191507602
A1,pure_edema,t2_present,CenterC,2,0.0,87.01123761407464,169.85179986700064,0.0,0.0,0.0,0.0,1599.1325843236705,13.5,623.494267708371,0.04920438120963398
A1,pure_edema,t2_present,t2_present,7,0.3548150405000469,100.8832364642351,187.90205692968763,0.2952118686814082,0.457210486519482,0.5025510204081632,0.42857142857142855,14876.211691921719,26.142857142857142,12072.387173586321,1.1792551940247242
A1,pure_edema,gt_positive,all,7,0.3548150405000469,100.8832364642351,187.90205692968763,0.2952118686814082,0.457210486519482,0.5025510204081632,0.42857142857142855,14876.211691921719,26.142857142857142,12072.387173586321,1.1792551940247242
A1,pure_edema,gt_positive,gt_positive,7,0.3548150405000469,100.8832364642351,187.90205692968763,0.2952118686814082,0.457210486519482,0.5025510204081632,0.42857142857142855,14876.211691921719,26.142857142857142,12072.387173586321,1.1792551940247242
A1,pure_edema,gt_positive,CenterB,5,0.49674105670006574,106.43203600429929,195.12215975476244,0.41329661615397145,0.6400946811272747,0.7035714285714285,0.6,20187.043334960938,31.2,16651.9443359375,1.6312755191507602
A1,pure_edema,gt_positive,CenterC,2,0.0,87.01123761407464,169.85179986700064,0.0,0.0,0.0,0.0,1599.1325843236705,13.5,623.494267708371,0.04920438120963398
A1,pure_edema,gt_positive,t2_present,7,0.3548150405000469,100.8832364642351,187.90205692968763,0.2952118686814082,0.457210486519482,0.5025510204081632,0.42857142857142855,14876.211691921719,26.142857142857142,12072.387173586321,1.1792551940247242
A2,scar,all_cases,all,35,0.41886197975365536,55.01375606659527,117.67683261558999,0.49367090672396674,0.405830790228523,0.6505132962275819,0.13765432098765432,4386.356731589882,11.82857142857143,6979.399813783076,0.8932785729143885
A2,scar,all_cases,gt_positive,35,0.41886197975365536,55.01375606659527,117.67683261558999,0.49367090672396674,0.405830790228523,0.6505132962275819,0.13765432098765432,4386.356731589882,11.82857142857143,6979.399813783076,0.8932785729143885
A2,scar,all_cases,CenterB,5,0.42870207486148004,126.84085604787967,175.24714981285143,0.42275245140116224,0.45746737195575127,1.0,,8539.888641357422,8.2,6470.337432861328,1.108282340149411
A2,scar,all_cases,CenterC,2,0.055568207697563196,89.93231156618921,141.86788535145993,0.2766439909297052,0.030886075949367087,0.5,,4238.485669158468,10.5,3248.2298971807786,0.6128934919356365
A2,scar,all_cases,t2_present,7,0.3220923985289324,116.29555762453955,165.7102171095967,0.38100717698074593,0.3355870016682129,0.8571428571428571,,7310.916363586292,8.857142857142858,5549.735279809743,0.9667426692311897
A2,scar,gt_positive,all,35,0.41886197975365536,55.01375606659527,117.67683261558999,0.49367090672396674,0.405830790228523,0.6505132962275819,0.13765432098765432,4386.356731589882,11.82857142857143,6979.399813783076,0.8932785729143885
A2,scar,gt_positive,gt_positive,35,0.41886197975365536,55.01375606659527,117.67683261558999,0.49367090672396674,0.405830790228523,0.6505132962275819,0.13765432098765432,4386.356731589882,11.82857142857143,6979.399813783076,0.8932785729143885
A2,scar,gt_positive,CenterB,5,0.42870207486148004,126.84085604787967,175.24714981285143,0.42275245140116224,0.45746737195575127,1.0,,8539.888641357422,8.2,6470.337432861328,1.108282340149411
A2,scar,gt_positive,CenterC,2,0.055568207697563196,89.93231156618921,141.86788535145993,0.2766439909297052,0.030886075949367087,0.5,,4238.485669158468,10.5,3248.2298971807786,0.6128934919356365
A2,scar,gt_positive,t2_present,7,0.3220923985289324,116.29555762453955,165.7102171095967,0.38100717698074593,0.3355870016682129,0.8571428571428571,,7310.916363586292,8.857142857142858,5549.735279809743,0.9667426692311897
A2,pure_edema,t2_present,all,7,0.330768905941273,95.179881341885,148.4958285730674,0.3397223251572067,0.33288117492615754,0.3443877551020408,0.24217687074829933,9224.923242750407,5.285714285714286,5855.826912043006,0.7597022741468262
A2,pure_edema,t2_present,gt_positive,7,0.330768905941273,95.179881341885,148.4958285730674,0.3397223251572067,0.33288117492615754,0.3443877551020408,0.24217687074829933,9224.923242750407,5.285714285714286,5855.826912043006,0.7597022741468262
A2,pure_edema,t2_present,CenterB,5,0.4630764683177822,105.39268211612792,170.95757827407056,0.4756112552200894,0.4660336448966206,0.4821428571428571,0.33904761904761904,12711.100799560547,6.6,8110.347564697266,1.0479047297767152
A2,pure_edema,t2_present,CenterC,2,0.0,69.64787940627767,92.34145432055942,0.0,0.0,0.0,0.0,509.4793507250592,2.0,219.52528040735777,0.03919613507210409
A2,pure_edema,t2_present,t2_present,7,0.330768905941273,95.179881341885,148.4958285730674,0.3397223251572067,0.33288117492615754,0.3443877551020408,0.24217687074829933,9224.923242750407,5.285714285714286,5855.826912043006,0.7597022741468262
A2,pure_edema,gt_positive,all,7,0.330768905941273,95.179881341885,148.4958285730674,0.3397223251572067,0.33288117492615754,0.3443877551020408,0.24217687074829933,9224.923242750407,5.285714285714286,5855.826912043006,0.7597022741468262
A2,pure_edema,gt_positive,gt_positive,7,0.330768905941273,95.179881341885,148.4958285730674,0.3397223251572067,0.33288117492615754,0.3443877551020408,0.24217687074829933,9224.923242750407,5.285714285714286,5855.826912043006,0.7597022741468262
A2,pure_edema,gt_positive,CenterB,5,0.4630764683177822,105.39268211612792,170.95757827407056,0.4756112552200894,0.4660336448966206,0.4821428571428571,0.33904761904761904,12711.100799560547,6.6,8110.347564697266,1.0479047297767152
A2,pure_edema,gt_positive,CenterC,2,0.0,69.64787940627767,92.34145432055942,0.0,0.0,0.0,0.0,509.4793507250592,2.0,219.52528040735777,0.03919613507210409
A2,pure_edema,gt_positive,t2_present,7,0.330768905941273,95.179881341885,148.4958285730674,0.3397223251572067,0.33288117492615754,0.3443877551020408,0.24217687074829933,9224.923242750407,5.285714285714286,5855.826912043006,0.7597022741468262
A3,scar,all_cases,all,35,0.41511964861772893,48.47922582545618,117.12264124861194,0.5129731665500392,0.3968622801276635,0.6776561533704392,0.17336860670194004,2870.6018155473116,12.857142857142858,7342.933858489012,0.8382672365196445
A3,scar,all_cases,gt_positive,35,0.41511964861772893,48.47922582545618,117.12264124861194,0.5129731665500392,0.3968622801276635,0.6776561533704392,0.17336860670194004,2870.6018155473116,12.857142857142858,7342.933858489012,0.8382672365196445
A3,scar,all_cases,CenterB,5,0.403453186615114,109.67854581269498,144.15390717176365,0.46595785998356887,0.366277889127825,1.0,,4627.930389404297,5.6,6033.749969482422,0.8305769806621834
A3,scar,all_cases,CenterC,2,0.038058991436726926,50.548508413880405,131.20289419364622,0.31496062992125984,0.020253164556962026,0.5,,1558.204234472234,7.0,1340.5393413455422,0.20134381837868853
A3,scar,all_cases,t2_present,7,0.2990548451355748,92.78424941303368,140.4536177494444,0.4228157942514805,0.26741368210757843,0.8571428571428571,,3750.865773709422,6.0,4692.832647157599,0.6507960771526135
A3,scar,gt_positive,all,35,0.41511964861772893,48.47922582545618,117.12264124861194,0.5129731665500392,0.3968622801276635,0.6776561533704392,0.17336860670194004,2870.6018155473116,12.857142857142858,7342.933858489012,0.8382672365196445
A3,scar,gt_positive,gt_positive,35,0.41511964861772893,48.47922582545618,117.12264124861194,0.5129731665500392,0.3968622801276635,0.6776561533704392,0.17336860670194004,2870.6018155473116,12.857142857142858,7342.933858489012,0.8382672365196445
A3,scar,gt_positive,CenterB,5,0.403453186615114,109.67854581269498,144.15390717176365,0.46595785998356887,0.366277889127825,1.0,,4627.930389404297,5.6,6033.749969482422,0.8305769806621834
A3,scar,gt_positive,CenterC,2,0.038058991436726926,50.548508413880405,131.20289419364622,0.31496062992125984,0.020253164556962026,0.5,,1558.204234472234,7.0,1340.5393413455422,0.20134381837868853
A3,scar,gt_positive,t2_present,7,0.2990548451355748,92.78424941303368,140.4536177494444,0.4228157942514805,0.26741368210757843,0.8571428571428571,,3750.865773709422,6.0,4692.832647157599,0.6507960771526135
A3,pure_edema,t2_present,all,7,0.35672446578816736,107.46956664612503,144.64302020107735,0.4115722276971131,0.3201447550363313,0.3954081632653061,0.29931972789115646,2996.4046974968974,4.428571428571429,5555.324036005413,0.5951706660883891
A3,pure_edema,t2_present,gt_positive,7,0.35672446578816736,107.46956664612503,144.64302020107735,0.4115722276971131,0.3201447550363313,0.3954081632653061,0.29931972789115646,2996.4046974968974,4.428571428571429,5555.324036005413,0.5951706660883891
A3,pure_edema,t2_present,CenterB,5,0.49941425210343426,97.1207725264923,147.15237229006357,0.5762011187759584,0.4482026570508638,0.5535714285714286,0.41904761904761906,3941.8480834960938,5.2,7770.012115478516,0.7993183156485066
A3,pure_edema,t2_present,CenterC,2,0.0,133.34155194520682,138.36963997861173,0.0,0.0,0.0,0.0,632.7962324989045,2.5,18.603837322657437,0.08480154218809481
A3,pure_edema,t2_present,t2_present,7,0.35672446578816736,107.46956664612503,144.64302020107735,0.4115722276971131,0.3201447550363313,0.3954081632653061,0.29931972789115646,2996.4046974968974,4.428571428571429,5555.324036005413,0.5951706660883891
A3,pure_edema,gt_positive,all,7,0.35672446578816736,107.46956664612503,144.64302020107735,0.4115722276971131,0.3201447550363313,0.3954081632653061,0.29931972789115646,2996.4046974968974,4.428571428571429,5555.324036005413,0.5951706660883891
A3,pure_edema,gt_positive,gt_positive,7,0.35672446578816736,107.46956664612503,144.64302020107735,0.4115722276971131,0.3201447550363313,0.3954081632653061,0.29931972789115646,2996.4046974968974,4.428571428571429,5555.324036005413,0.5951706660883891
A3,pure_edema,gt_positive,CenterB,5,0.49941425210343426,97.1207725264923,147.15237229006357,0.5762011187759584,0.4482026570508638,0.5535714285714286,0.41904761904761906,3941.8480834960938,5.2,7770.012115478516,0.7993183156485066
A3,pure_edema,gt_positive,CenterC,2,0.0,133.34155194520682,138.36963997861173,0.0,0.0,0.0,0.0,632.7962324989045,2.5,18.603837322657437,0.08480154218809481
A3,pure_edema,gt_positive,t2_present,7,0.35672446578816736,107.46956664612503,144.64302020107735,0.4115722276971131,0.3201447550363313,0.3954081632653061,0.29931972789115646,2996.4046974968974,4.428571428571429,5555.324036005413,0.5951706660883891
