intervention,pathology,n,final_logit_delta_mean,changed_argmax_voxels_sum,changed_scar_voxels_sum,changed_edema_voxels_sum,dice_delta_mean,hd95_delta_mean,lesion_recall_delta_mean,remote_fp_delta_mean,volume_ratio_delta_mean
disable_scar_head,scar,35,89.21183340890067,34410,34410,104,-0.20351231787164925,-24.78150618238044,-0.18666666666666668,-1580.4435894387932,-0.45802673863346904
disable_scar_head,pure_edema,7,88.12322562081474,4114,4114,104,0.0011983505694744268,-0.035602065416079194,0.0,20.867832728794642,0.005658276025798397
disable_scar_proposal,scar,35,26.21983391898019,8385,8385,67,-0.030996558730561872,2.2573766618447553,-0.006428571428571431,465.5123402998915,-0.06723310820025538
disable_scar_proposal,pure_edema,7,28.100386755807058,919,919,67,-0.0011731384975771642,0.024624997272244795,0.0,3.0981663295200894,-0.0014262821163933484
disable_edema_head,scar,35,12.457127489362444,3545,123,3545,0.0003317189504875346,0.0045116815047535905,0.0,8.456377301897321,0.00247607626904019
disable_edema_head,pure_edema,7,62.285637446812224,3545,123,3545,-0.05063521755980799,-68.47457889183698,0.07142857142857142,-2154.848254806003,-0.25605243020290797
disable_edema_proposal,scar,35,4.061468124389648,1536,51,1536,-0.0001413173400627077,0.009150208279863596,0.0,0.0,-0.0006374194305229468
disable_edema_proposal,pure_edema,7,20.307340621948242,1536,51,1536,0.007753377696959345,1.6532760153478017,0.0,940.1611247118772,0.09471840992481333
