step,stage,micro_roles,loss,scar_active,edema_active,anatomy,alignment
1,A0,scar_positive+complete,5.895266771316528,2.477130651473999,2.9794459342956543,1.4512495398521423,0.0
2,A0,complete+lge_c0,4.197780013084412,2.5593578815460205,1.2103608846664429,1.4167792797088623,0.11473145335912704
3,A0,lge_c0+lge_only,3.0028871297836304,2.586884379386902,0.0,1.385627567768097,0.03145636152476072
4,A0,lge_only+hard_negative,3.470971941947937,3.0624897480010986,0.0,1.3591368198394775,0.07411142066121101
5,A0,hard_negative+edema_positive,4.707276105880737,3.0727344751358032,1.226292610168457,1.3519687056541443,0.09752457216382027
6,A0,edema_positive+scar_positive,4.235365986824036,2.599633812904358,1.2332607507705688,1.3355393409729004,0.023127952590584755
7,A0,scar_positive+complete,4.012722373008728,2.461471915245056,1.1533164978027344,1.3187660574913025,0.05224049836397171
8,A0,complete+lge_c0,4.039940237998962,2.4848906993865967,1.1586322784423828,1.311924934387207,0.1223723404109478
9,A0,lge_c0+lge_only,2.8714301586151123,2.491328239440918,0.0,1.2660968899726868,0.02728878241032362
10,A0,lge_only+hard_negative,3.083548069000244,2.7091394662857056,0.0,1.2470940351486206,0.028043306432664394
11,A0,hard_negative+edema_positive,4.450008273124695,2.9336183071136475,1.1390990018844604,1.2494428157806396,0.07765043526887894
12,A0,edema_positive+scar_positive,4.025891661643982,2.4493257999420166,1.1948927640914917,1.266926348209381,0.06200972944498062
13,A0,scar_positive+complete,5.073676109313965,2.389506220817566,2.3103705644607544,1.2325806617736816,0.059317298233509064
14,A0,complete+lge_c0,4.570768594741821,3.0188409090042114,1.191956639289856,1.1938235759735107,0.01063799299299717
15,A0,lge_c0+lge_only,2.858848214149475,2.506497025489807,0.0,1.1727126240730286,0.05373347923159599
16,A0,lge_only+hard_negative,3.349334478378296,3.002585768699646,0.0,1.1514397859573364,0.1316685453057289
17,A0,hard_negative+edema_positive,4.581227540969849,3.0278156995773315,1.2031458616256714,1.1543012857437134,0.24143625795841217
