variant,pathology,case_rows,positive_case_rows,mean_dice_positive,mean_hd95_positive,mean_exact_hd_positive,median_volume_ratio_positive,mean_component_count_positive,mean_remote_fp_volume_mm3,empty_prediction_rate_positive
nnunet_anchor,edema_zone,44,43,0.59509757635353,14.526261283817181,27.37514611359957,0.9412057797708022,4.674418604651163,793.9517030624935,0.023255813953488372
nnunet_anchor,pure_edema,44,16,0.3944358976789887,20.011536366061485,29.60888731738582,0.9082156149116855,9.125,148.28476073088675,0.0
nnunet_anchor,scar,44,43,0.573196419478004,13.600533414596173,25.970645720273883,0.9027598355842631,4.627906976744186,645.6669423316068,0.023255813953488372
postprocessed_enabled,edema_zone,44,43,0.38845081605626264,31.64000434954342,54.33775048794407,0.8719481813652217,3.883720930232558,2362.580571800714,0.023255813953488372
postprocessed_enabled,pure_edema,44,16,0.24638100547017638,37.975341426135614,55.695837686089966,1.0025776890805198,7.875,1507.4753299941988,0.0625
postprocessed_enabled,scar,44,43,0.3444918964096762,30.51717852342893,50.86110769486455,0.6863636363636364,3.697674418604651,855.1052418065156,0.023255813953488372
postprocessed_identity,edema_zone,44,43,0.384672655034467,33.64794458737425,53.63106220813669,0.862400906002265,3.86046511627907,2563.2594096410517,0.023255813953488372
postprocessed_identity,pure_edema,44,16,0.2424066658753704,40.129012322076846,55.87600838791027,0.9619494311658491,8.0625,1650.5108013969527,0.0625
postprocessed_identity,scar,44,43,0.34037669857835273,32.78221815570084,52.249304672646176,0.6687681862269641,3.8372093023255816,912.7486082440988,0.023255813953488372
raw_direct_enabled,edema_zone,44,43,0.44529839781220354,30.951823456030993,55.58102569594639,0.9037372593431483,6.255813953488372,3735.8489469886044,0.0
raw_direct_enabled,pure_edema,44,16,0.31299956738465734,36.37296138706287,57.35148746746552,1.9732209838173826,15.125,2433.1319487203973,0.0
raw_direct_enabled,scar,44,43,0.3991639306563313,30.176545787378103,53.649851856831035,0.8049113233287858,5.930232558139535,1302.7169982682071,0.0
raw_direct_identity,edema_zone,44,43,0.43973443384891353,32.73426028756963,54.98181557631755,0.8963445167751627,6.232558139534884,4073.8816183997087,0.0
raw_direct_identity,pure_edema,44,16,0.3054206802995033,40.33690826525907,57.90600901539331,2.025294401331425,15.0,2695.9144063795147,0.0
raw_direct_identity,scar,44,43,0.39269426436144167,30.707154602898285,53.503645699244224,0.7981818181818182,6.023255813953488,1377.9672120201942,0.0
