fold,checkpoint_step,parameter_group,reference,covered_parameter_tensors,missing_parameter_tensors,weight_norm,reference_weight_norm,update_l2_norm,relative_l2_parameter_drift,cosine_similarity,status,path,error
2,2000,upper_two_encoder,stock_initialization,16,0,8.855209811,8.855209811,0,0,1,COMPLETE,,
2,2000,upper_two_encoder,step2000,16,0,8.855209811,8.855209811,0,0,1,COMPLETE,,
2,2000,shared_low_mid_decoder,stock_initialization,40,0,28.87190385,28.87190385,0,0,1,COMPLETE,,
2,2000,shared_low_mid_decoder,step2000,40,0,28.87190385,28.87190385,0,0,1,COMPLETE,,
2,2000,anatomy_decoder,stock_initialization,24,0,13.88641005,13.88641005,0,0,1,COMPLETE,,
2,2000,anatomy_decoder,step2000,24,0,13.88641005,13.88641005,0,0,1,COMPLETE,,
2,2000,scar_cloned_pathology_blocks,stock_initialization,20,0,12.50992568,12.19978394,2.090827775,0.171382361,0.9859932926,COMPLETE,,
2,2000,scar_cloned_pathology_blocks,step2000,20,0,12.50992568,12.50992568,0,0,1,COMPLETE,,
2,2000,scar_classifier,stock_initialization,4,0,3.222445281,2.763499852,0.7063426594,0.2555971403,0.9838134769,COMPLETE,,
2,2000,scar_classifier,step2000,4,0,3.222445281,3.222445281,0,0,1,COMPLETE,,
2,2000,new_scar_modules,stock_initialization,89,0,24.98093658,24.75927058,31.46404377,1.270798494,0.1997403158,COMPLETE,,
2,2000,new_scar_modules,step2000,89,0,24.98093658,24.98093658,0,0,1,COMPLETE,,
2,2000,edema_modules,stock_initialization,152,0,37.52487107,37.14337404,41.45742578,1.116145931,0.3834939684,COMPLETE,,
2,2000,edema_modules,step2000,152,0,37.52487107,37.52487107,0,0,1,COMPLETE,,
2,4000,upper_two_encoder,stock_initialization,16,0,9.232259303,8.855209811,2.517859811,0.2843365504,0.9621049157,COMPLETE,,
2,4000,upper_two_encoder,step2000,16,0,9.232259303,8.855209811,2.517859811,0.2843365504,0.9621049157,COMPLETE,,
2,4000,shared_low_mid_decoder,stock_initialization,40,0,31.2583632,28.87190385,9.981964048,0.3457327962,0.9479632249,COMPLETE,,
2,4000,shared_low_mid_decoder,step2000,40,0,31.2583632,28.87190385,9.981964048,0.3457327962,0.9479632249,COMPLETE,,
2,4000,anatomy_decoder,stock_initialization,24,0,14.08249907,13.88641005,1.855098206,0.1335909137,0.9912994043,COMPLETE,,
2,4000,anatomy_decoder,step2000,24,0,14.08249907,13.88641005,1.855098206,0.1335909137,0.9912994043,COMPLETE,,
2,4000,scar_cloned_pathology_blocks,stock_initialization,20,0,12.90164221,12.19978394,2.852111397,0.233783763,0.975724144,COMPLETE,,
2,4000,scar_cloned_pathology_blocks,step2000,20,0,12.90164221,12.50992568,1.527232192,0.1220816359,0.993249676,COMPLETE,,
2,4000,scar_classifier,stock_initialization,4,0,3.463336801,2.763499852,1.04389917,0.3777453323,0.9686575443,COMPLETE,,
2,4000,scar_classifier,step2000,4,0,3.463336801,3.222445281,0.3411576812,0.1058691929,0.9973853828,COMPLETE,,
2,4000,new_scar_modules,stock_initialization,89,0,24.61352812,24.75927058,31.21251957,1.260639705,0.20070615,COMPLETE,,
2,4000,new_scar_modules,step2000,89,0,24.61352812,24.98093658,2.495105799,0.09988039443,0.9950472657,COMPLETE,,
2,4000,edema_modules,stock_initialization,152,0,37.62857571,37.14337404,41.51310409,1.117644941,0.3835725568,COMPLETE,,
2,4000,edema_modules,step2000,152,0,37.62857571,37.52487107,3.276794647,0.0873232753,0.9962016394,COMPLETE,,
2,6000,upper_two_encoder,stock_initialization,16,0,9.732469998,8.855209811,3.909738183,0.441518413,0.9157892693,COMPLETE,,
2,6000,upper_two_encoder,step2000,16,0,9.732469998,8.855209811,3.909738183,0.441518413,0.9157892693,COMPLETE,,
2,6000,shared_low_mid_decoder,stock_initialization,40,0,33.05427413,28.87190385,13.59435416,0.4708506315,0.9123499983,COMPLETE,,
2,6000,shared_low_mid_decoder,step2000,40,0,33.05427413,28.87190385,13.59435416,0.4708506315,0.9123499983,COMPLETE,,
2,6000,anatomy_decoder,stock_initialization,24,0,14.28173118,13.88641005,2.488025508,0.1791698141,0.9847874844,COMPLETE,,
2,6000,anatomy_decoder,step2000,24,0,14.28173118,13.88641005,2.488025508,0.1791698141,0.9847874844,COMPLETE,,
2,6000,scar_cloned_pathology_blocks,stock_initialization,20,0,13.19000368,12.19978394,3.383132861,0.2773108834,0.9674827351,COMPLETE,,
2,6000,scar_cloned_pathology_blocks,step2000,20,0,13.19000368,12.50992568,2.248333,0.1797239294,0.9860839287,COMPLETE,,
2,6000,scar_classifier,stock_initialization,4,0,3.658846635,2.763499852,1.309553135,0.4738748705,0.9548380569,COMPLETE,,
2,6000,scar_classifier,step2000,4,0,3.658846635,3.222445281,0.6099787778,0.189290655,0.9922976307,COMPLETE,,
2,6000,new_scar_modules,stock_initialization,89,0,24.4845753,24.75927058,31.12663964,1.257171108,0.2009568711,COMPLETE,,
2,6000,new_scar_modules,step2000,89,0,24.4845753,24.98093658,3.563159001,0.1426351246,0.9898227844,COMPLETE,,
2,6000,edema_modules,stock_initialization,152,0,37.774081,37.14337404,41.6180126,1.120469362,0.3828969915,COMPLETE,,
2,6000,edema_modules,step2000,152,0,37.774081,37.52487107,4.649792837,0.1239122935,0.9923954349,COMPLETE,,
2,7000,upper_two_encoder,stock_initialization,16,0,9.744220772,8.855209811,3.935134998,0.4443864213,0.914856226,COMPLETE,,
2,7000,upper_two_encoder,step2000,16,0,9.744220772,8.855209811,3.935134998,0.4443864213,0.914856226,COMPLETE,,
2,7000,shared_low_mid_decoder,stock_initialization,40,0,33.42209881,28.87190385,14.19378371,0.4916123226,0.906348098,COMPLETE,,
2,7000,shared_low_mid_decoder,step2000,40,0,33.42209881,28.87190385,14.19378371,0.4916123226,0.906348098,COMPLETE,,
2,7000,anatomy_decoder,stock_initialization,24,0,14.34445653,13.88641005,2.667822199,0.1921174868,0.9826613533,COMPLETE,,
2,7000,anatomy_decoder,step2000,24,0,14.34445653,13.88641005,2.667822199,0.1921174868,0.9826613533,COMPLETE,,
2,7000,scar_cloned_pathology_blocks,stock_initialization,20,0,13.28441413,12.19978394,3.548213248,0.2908423023,0.9647880487,COMPLETE,,
2,7000,scar_cloned_pathology_blocks,step2000,20,0,13.28441413,12.50992568,2.461634958,0.1967745469,0.9835734565,COMPLETE,,
2,7000,scar_classifier,stock_initialization,4,0,3.729689851,2.763499852,1.40270771,0.5075837834,0.9498367061,COMPLETE,,
2,7000,scar_classifier,step2000,4,0,3.729689851,3.222445281,0.7052945953,0.2188693783,0.990009572,COMPLETE,,
2,7000,new_scar_modules,stock_initialization,89,0,24.47235441,24.75927058,31.11745005,1.256799951,0.2010354869,COMPLETE,,
2,7000,new_scar_modules,step2000,89,0,24.47235441,24.98093658,3.822511705,0.1530171494,0.9882611259,COMPLETE,,
2,7000,edema_modules,stock_initialization,152,0,37.82931037,37.14337404,41.65780125,1.121540579,0.3826447687,COMPLETE,,
2,7000,edema_modules,step2000,152,0,37.82931037,37.52487107,5.121383653,0.1364797135,0.9907942819,COMPLETE,,
3,7000,,,,,,,,,,CHECKPOINT_MISSING,/users/a/e/aereinh/CARE/.worktrees/care-ase-faithful-formal-training-20260812/results/agent_flow_v3/care-ase-faithful-formal-training-20260812/runtime/fold_3_parallel/checkpoint_step07000.pt,
3,2000,upper_two_encoder,stock_initialization,16,0,8.825227834,8.825227834,0,0,1,COMPLETE,,
3,2000,upper_two_encoder,step2000,16,0,8.825227834,8.825227834,0,0,1,COMPLETE,,
3,2000,shared_low_mid_decoder,stock_initialization,40,0,28.42192359,28.42192359,0,0,1,COMPLETE,,
3,2000,shared_low_mid_decoder,step2000,40,0,28.42192359,28.42192359,0,0,1,COMPLETE,,
3,2000,anatomy_decoder,stock_initialization,24,0,13.79546236,13.79546236,0,0,1,COMPLETE,,
3,2000,anatomy_decoder,step2000,24,0,13.79546236,13.79546236,0,0,1,COMPLETE,,
3,2000,scar_cloned_pathology_blocks,stock_initialization,20,0,12.43172989,12.12368676,1.950035033,0.1608450525,0.987699888,COMPLETE,,
3,2000,scar_cloned_pathology_blocks,step2000,20,0,12.43172989,12.43172989,0,0,1,COMPLETE,,
3,2000,scar_classifier,stock_initialization,4,0,3.575679414,3.176172942,0.6090664897,0.1917611228,0.9906947995,COMPLETE,,
3,2000,scar_classifier,step2000,4,0,3.575679414,3.575679414,0,0,1,COMPLETE,,
3,2000,new_scar_modules,stock_initialization,89,0,24.63241472,24.87267032,31.17555911,1.253406197,0.2068719563,COMPLETE,,
3,2000,new_scar_modules,step2000,89,0,24.63241472,24.63241472,0,0,1,COMPLETE,,
3,2000,edema_modules,stock_initialization,152,0,37.86126063,36.86423168,41.91844981,1.13710358,0.3708786981,COMPLETE,,
3,2000,edema_modules,step2000,152,0,37.86126063,37.86126063,0,0,1,COMPLETE,,
3,4000,upper_two_encoder,stock_initialization,16,0,9.170537882,8.825227834,2.352189838,0.2665302112,0.9665635148,COMPLETE,,
3,4000,upper_two_encoder,step2000,16,0,9.170537882,8.825227834,2.352189838,0.2665302112,0.9665635148,COMPLETE,,
3,4000,shared_low_mid_decoder,stock_initialization,40,0,30.69355215,28.42192359,9.736352333,0.342564862,0.9486357427,COMPLETE,,
3,4000,shared_low_mid_decoder,step2000,40,0,30.69355215,28.42192359,9.736352333,0.342564862,0.9486357427,COMPLETE,,
3,4000,anatomy_decoder,stock_initialization,24,0,14.00900346,13.79546236,1.900850106,0.137788068,0.9907700507,COMPLETE,,
3,4000,anatomy_decoder,step2000,24,0,14.00900346,13.79546236,1.900850106,0.137788068,0.9907700507,COMPLETE,,
3,4000,scar_cloned_pathology_blocks,stock_initialization,20,0,12.82451501,12.12368676,2.748079373,0.2266702718,0.9772938243,COMPLETE,,
3,4000,scar_cloned_pathology_blocks,step2000,20,0,12.82451501,12.43172989,1.475645646,0.1186999444,0.9936548458,COMPLETE,,
3,4000,scar_classifier,stock_initialization,4,0,3.806714676,3.176172942,0.9370615508,0.2950285037,0.9801293935,COMPLETE,,
3,4000,scar_classifier,step2000,4,0,3.806714676,3.575679414,0.3312273865,0.09263341259,0.9979305999,COMPLETE,,
3,4000,new_scar_modules,stock_initialization,89,0,24.30643411,24.87267032,30.97360837,1.245286814,0.2068327459,COMPLETE,,
