fold,step_start_exclusive,step_end_inclusive,optimizer_events,partial_scar_events,partial_scar_microbatches_estimated,lge_only_events,lge_c0_events,complete_events,manifest_coordinate_consumed_events,bad_fallback_events,bad_fallback_rate,randomish_resolved_events,randomish_resolved_rate,unexpected_randomish_resolved_events,unexpected_randomish_resolved_rate,eligible_case_count_mean,candidate_coordinate_count_mean,requested_category_counts_json,resolved_category_counts_json,fallback_reason_counts_json,supervision_gap_flag
2,2000,4000,2000,1000,4000,500,500,1000,550,0,0,100,0.1,0,0,32.125,1325.518,"{""gt_component"": 350, ""oof_fn"": 200, ""oof_fp"": 150, ""random"": 100, ""small_component"": 200}","{""gt_component"": 350, ""random_wall"": 100, ""scar_oof_fn"": 200, ""scar_oof_fp"": 150, ""scar_small_component"": 200}","{""NONE"": 450, ""manifest_coordinate_consumed"": 550}",False
2,4000,6000,2000,1000,4000,500,500,1000,550,0,0,100,0.1,0,0,32.125,1312.638,"{""gt_component"": 350, ""oof_fn"": 200, ""oof_fp"": 150, ""random"": 100, ""small_component"": 200}","{""gt_component"": 350, ""random_wall"": 100, ""scar_oof_fn"": 200, ""scar_oof_fp"": 150, ""scar_small_component"": 200}","{""NONE"": 450, ""manifest_coordinate_consumed"": 550}",False
2,6000,7000,1000,500,2000,250,250,500,274,0,0,49,0.098,0,0,32.106,1254.352,"{""gt_component"": 177, ""oof_fn"": 99, ""oof_fp"": 74, ""random"": 49, ""small_component"": 101}","{""gt_component"": 177, ""random_wall"": 49, ""scar_oof_fn"": 99, ""scar_oof_fp"": 74, ""scar_small_component"": 101}","{""NONE"": 226, ""manifest_coordinate_consumed"": 274}",False
3,2000,4000,2000,1000,4000,500,500,1000,550,0,0,100,0.1,0,0,32.25,1270.706,"{""gt_component"": 350, ""oof_fn"": 200, ""oof_fp"": 150, ""random"": 100, ""small_component"": 200}","{""gt_component"": 350, ""random_wall"": 100, ""scar_oof_fn"": 200, ""scar_oof_fp"": 150, ""scar_small_component"": 200}","{""NONE"": 450, ""manifest_coordinate_consumed"": 550}",False
3,4000,6000,2000,1000,4000,500,500,1000,550,0,0,100,0.1,0,0,32.25,1252.818,"{""gt_component"": 350, ""oof_fn"": 200, ""oof_fp"": 150, ""random"": 100, ""small_component"": 200}","{""gt_component"": 350, ""random_wall"": 100, ""scar_oof_fn"": 200, ""scar_oof_fp"": 150, ""scar_small_component"": 200}","{""NONE"": 450, ""manifest_coordinate_consumed"": 550}",False
3,6000,7000,244,122,488,61,61,122,66,0,0,12,0.09836065574,0,0,32.40983607,1235.098361,"{""gt_component"": 44, ""oof_fn"": 24, ""oof_fp"": 18, ""random"": 12, ""small_component"": 24}","{""gt_component"": 44, ""random_wall"": 12, ""scar_oof_fn"": 24, ""scar_oof_fp"": 18, ""scar_small_component"": 24}","{""NONE"": 56, ""manifest_coordinate_consumed"": 66}",False
