fold,checkpoint_step,evidence_group,case_count,changed_voxels_mean,scar_dice_delta_disabled_minus_normal_mean,scar_sensitivity_delta_mean,gt_scar_z_delta_disabled_minus_normal_mean
2,2000,scar_c0_adapter,1,17,0.0008174959582,0.002312867956,0.05211178409
2,2000,scar_center,1,112,-0.006547653392,-0.0153490328,-0.5561024194
2,2000,scar_context,1,129,0.004261086817,0.01030277544,0.3067396169
2,2000,scar_lge_adapter,1,106,-0.002979367147,-0.009671993272,-0.4163945877
2,2000,scar_occupancy_proposal,1,92,-0.003589376382,-0.009882253995,-0.4283965603
2,2000,soft_wall_geometry,1,290,-0.02043013562,-0.04457527334,-0.8544288664
2,4000,scar_c0_adapter,1,37,0.004895199684,0.006307821699,0.04660804505
2,4000,scar_center,1,412,-0.06556824867,-0.07569386039,-0.4017672088
2,4000,scar_context,1,270,0.03726565931,0.04772918419,0.2367307042
2,4000,scar_lge_adapter,1,414,-0.06825960935,-0.07779646762,-0.4242422739
2,4000,scar_occupancy_proposal,1,382,-0.05991972692,-0.06959629941,-0.2907769701
2,4000,soft_wall_geometry,1,516,-0.07859801394,-0.08494533221,-0.2023868815
2,6000,scar_c0_adapter,1,30,0.004537033909,0.003784693019,0.04200547092
2,6000,scar_center,1,395,-0.07236698762,-0.05761143818,-0.3985725434
2,6000,scar_context,1,436,0.0671405223,0.06118587048,0.1748671069
2,6000,scar_lge_adapter,1,263,-0.05032186336,-0.03889823381,-0.1832293884
2,6000,scar_occupancy_proposal,1,368,-0.06423196137,-0.05193439865,-0.2104469672
2,6000,soft_wall_geometry,1,784,-0.1694396193,-0.1227922624,-0.7016984139
3,2000,scar_c0_adapter,1,25,0.00421804653,0.009058882738,0.1402269685
3,2000,scar_center,1,51,0.002001648084,0,-0.03047539104
3,2000,scar_context,1,104,-0.01026530072,-0.01962757927,-0.2375170393
3,2000,scar_lge_adapter,1,98,0.01129096682,0.02667337695,0.3347458403
3,2000,scar_occupancy_proposal,1,36,-0.004156882958,-0.009562154001,-0.142656605
3,2000,soft_wall_geometry,1,138,0.01311646647,0.03673880221,0.7658790508
3,4000,scar_c0_adapter,1,52,0.01020516142,0.01711122295,0.1190484213
3,4000,scar_center,1,55,0.006552942819,0.01056869653,0.07970337308
3,4000,scar_context,1,129,-0.009411743783,-0.009058882738,0.1239031677
3,4000,scar_lge_adapter,1,93,0.006666292343,0.01358832411,0.2057603136
3,4000,scar_occupancy_proposal,1,46,-0.008824586505,-0.01157523905,0.01023132912
3,4000,soft_wall_geometry,1,286,0.01108949749,0.02767991948,0.1246833836
3,6000,scar_c0_adapter,1,0,0,0,0.1095830114
3,6000,scar_center,1,0,0,0,0.2690265991
3,6000,scar_context,1,0,0,0,0.1632907072
3,6000,scar_lge_adapter,1,0,0,0,0.1019086522
3,6000,scar_occupancy_proposal,1,0,0,0,0.526304434
3,6000,soft_wall_geometry,1,0,0,0,0.4702684923
