fold,checkpoint_step,role,case_count,changed_voxels_mean,scar_dice_delta_mean,scar_sensitivity_delta_mean,scar_precision_delta_mean,volume_ratio_delta_mean,empty_prediction_rescued_count,gt_scar_z_delta_mean,gt_scar_margin_delta_mean
2,2000,actual-train,4,64.5,-0.000826308262,-0.0029252973,0.001748020299,-0.004816588008,0,-0.2969233272,-0.296923327
2,2000,inner,3,25.33333333,-0.000924635017,-0.004680187207,0.003568899677,-0.00970705495,0,-0.2377601548,-0.2377601556
2,4000,actual-train,4,558.75,-0.03267846669,-0.06057672236,0.01264699472,-0.08038148527,0,-0.9478536203,-0.947853621
2,4000,inner,3,178.3333333,-0.04490064983,-0.06413589877,0.01732323393,-0.0927370428,0,-0.425615668,-0.4256156663
2,6000,actual-train,4,642,-0.06829353953,-0.08011569219,0.001364624737,-0.09271550965,0,-0.7173566452,-0.7173566445
2,6000,inner,3,55.66666667,-0.04297037643,-0.02582769977,0.0120474407,-0.02894782458,0,-0.2849028494,-0.2849028486
3,2000,actual-train,4,73.25,-0.007142005392,-0.01545684419,0.003681668273,-0.01952929599,0,-0.3130602686,-0.3130602695
3,2000,inner,3,64.33333333,-0.007520151305,-0.01669655651,0.005599782127,-0.02354821302,0,-0.2868723142,-0.2868723145
3,4000,actual-train,4,492.5,-0.1058722198,-0.1462531389,0.0005166466252,-0.160147038,0,-1.066608544,-1.066608546
3,4000,inner,3,371.6666667,-0.1094403999,-0.1307145049,-0.01473113753,-0.1490245419,0,-0.8499242877,-0.8499242903
3,6000,actual-train,4,0,0,0,0,0,0,-0.8102815347,-0.8102815332
3,6000,inner,3,0,0,0,0,0,0,-0.7119468313,-0.711946839
