fold,checkpoint_step,metric_source,subgroup,case_count,dice_mean,dice_median,sensitivity_mean,precision_mean,hd95_mean_mm,empty_count,volume_ratio_mean,component_count_mean,remote_fp_volume_mean_mm3
2,2000,FORMAL_35_CASE_INNER,complete_tri_modal_inner_scar,13,0.9612666359,0.9639261745,0.9524190461,0.9704737497,1.093719239,0,0.9815570916,1,0
2,2000,FORMAL_35_CASE_INNER,partial_no_t2_inner_scar,22,0.8725440016,0.8848007389,0.830025541,0.9210699817,1.516026166,0,0.9018394269,1.772727273,0
2,2000,FORMAL_35_CASE_INNER,complete_tri_modal_inner_edema,13,0.9050795677,0.9110277569,0.8741657888,0.9390367259,1.940976362,0,0.9308307591,2.923076923,
2,4000,FORMAL_35_CASE_INNER,complete_tri_modal_inner_scar,13,0.9290378121,0.9361702128,0.9166448857,0.9433441074,1.116949186,0,0.9729693282,1.153846154,27.94710599
2,4000,FORMAL_35_CASE_INNER,partial_no_t2_inner_scar,22,0.7628540223,0.7662432343,0.7150971618,0.8407653086,9.342740306,0,0.8606344041,3.318181818,516.4534868
2,4000,FORMAL_35_CASE_INNER,complete_tri_modal_inner_edema,13,0.8438352973,0.8492511185,0.871616594,0.8256672947,2.40104274,0,1.08084306,2.538461538,
2,6000,FORMAL_35_CASE_INNER,complete_tri_modal_inner_scar,13,0.9301653101,0.9345099861,0.9178182239,0.9451422303,1.173372509,0,0.9726642839,1,0
2,6000,FORMAL_35_CASE_INNER,partial_no_t2_inner_scar,22,0.6676542406,0.6981196846,0.58606248,0.8538021183,5.389184031,0,0.6891809199,4.5,33.39135015
2,6000,FORMAL_35_CASE_INNER,complete_tri_modal_inner_edema,13,0.8406347986,0.8569625578,0.8203689831,0.8706988821,1.902722017,0,0.9518082404,2.769230769,
2,7000,FORMAL_35_CASE_INNER,MISSING_FORMAL_INNER_CASEWISE,0,,,,,,,,,
3,2000,FORMAL_35_CASE_INNER,complete_tri_modal_inner_scar,13,0.9540311476,0.9588377724,0.9395354473,0.9698071673,1.113843757,0,0.9690122785,1.076923077,0
3,2000,FORMAL_35_CASE_INNER,partial_no_t2_inner_scar,22,0.8619067384,0.8641030379,0.7931496285,0.9308093517,1.669431126,1,0.8524170334,1.409090909,0
3,2000,FORMAL_35_CASE_INNER,complete_tri_modal_inner_edema,13,0.9085376841,0.9203575374,0.8723496548,0.9503523418,1.618582221,0,0.9178832851,1.846153846,
3,4000,FORMAL_35_CASE_INNER,complete_tri_modal_inner_scar,13,0.9197636795,0.9247342718,0.8894381816,0.9541874112,1.241641011,0,0.9321796399,1.076923077,0
3,4000,FORMAL_35_CASE_INNER,partial_no_t2_inner_scar,22,0.5301955064,0.6208478891,0.4033949922,0.8840560577,10.35086727,1,0.447227407,6.954545455,4.687167005
3,4000,FORMAL_35_CASE_INNER,complete_tri_modal_inner_edema,13,0.8567744349,0.8839864239,0.8252801473,0.8973347964,2.477940299,0,0.9230705705,2.230769231,
3,6000,FORMAL_35_CASE_INNER,complete_tri_modal_inner_scar,13,0.919633265,0.9207784549,0.8989509097,0.9421354802,1.113843757,0,0.9547599446,1.153846154,0
3,6000,FORMAL_35_CASE_INNER,partial_no_t2_inner_scar,22,0.04545454545,0,0,,954545.4545,22,0,0,0
3,6000,FORMAL_35_CASE_INNER,complete_tri_modal_inner_edema,13,0.8516145271,0.865892813,0.8649438617,0.8455825409,1.666461042,0,1.03420125,2.923076923,
3,7000,FORMAL_35_CASE_INNER,MISSING_FORMAL_INNER_CASEWISE,0,,,,,,,,,
