stage,local_step,total_step,case_id,center,modality_group,t2_present,pathology,class_id,gt_positive,anchor_dice,srr_dice,dice_delta_vs_anchor,anchor_hd95,srr_hd95,hd95_delta_vs_anchor,anchor_component_count,srr_component_count,component_delta,anchor_remote_fp_volume_mm3,srr_remote_fp_volume_mm3,remote_fp_delta_mm3,changed_voxels_vs_anchor,prediction_path
formal_200,200,200,Case1002,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal/attempts/batch7_repair_proposal_htzhulab_59828884/variants/batch7_repair_proposal_htzhulab_59828884/predictions/fold_0/step_200/argmax/Case1002.nii.gz
formal_200,200,200,Case1002,CenterA,LGE-only,False,myops_scar,5,True,0.6167400881057269,0.6124852767962309,-0.004254811309496009,4.323466070663145,4.323466070663145,0.0,3,8,5.0,0.0,0.0,0.0,17,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal/attempts/batch7_repair_proposal_htzhulab_59828884/variants/batch7_repair_proposal_htzhulab_59828884/predictions/fold_0/step_200/argmax/Case1002.nii.gz
formal_200,200,200,Case1007,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal/attempts/batch7_repair_proposal_htzhulab_59828884/variants/batch7_repair_proposal_htzhulab_59828884/predictions/fold_0/step_200/argmax/Case1007.nii.gz
formal_200,200,200,Case1007,CenterA,LGE-only,False,myops_scar,5,True,0.5810928013876843,0.5818129163046626,0.0007201149169783205,6.836000084877014,6.836000084877014,0.0,8,16,8.0,0.0,0.0,0.0,56,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal/attempts/batch7_repair_proposal_htzhulab_59828884/variants/batch7_repair_proposal_htzhulab_59828884/predictions/fold_0/step_200/argmax/Case1007.nii.gz
formal_200,200,200,Case1009,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal/attempts/batch7_repair_proposal_htzhulab_59828884/variants/batch7_repair_proposal_htzhulab_59828884/predictions/fold_0/step_200/argmax/Case1009.nii.gz
formal_200,200,200,Case1009,CenterA,LGE-only,False,myops_scar,5,True,0.6048804535370964,0.6046971569839308,-0.00018329655316562388,8.496820117260281,8.579051989984446,0.0822318727241651,1,2,1.0,0.0,0.0,0.0,36,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal/attempts/batch7_repair_proposal_htzhulab_59828884/variants/batch7_repair_proposal_htzhulab_59828884/predictions/fold_0/step_200/argmax/Case1009.nii.gz
formal_200,200,200,Case1010,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal/attempts/batch7_repair_proposal_htzhulab_59828884/variants/batch7_repair_proposal_htzhulab_59828884/predictions/fold_0/step_200/argmax/Case1010.nii.gz
formal_200,200,200,Case1010,CenterA,LGE-only,False,myops_scar,5,True,0.48279378027020137,0.47531337938091583,-0.007480400889285532,9.103254137198277,9.0,-0.10325413719827736,7,20,13.0,285.9930906218839,285.9930906218839,0.0,66,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal/attempts/batch7_repair_proposal_htzhulab_59828884/variants/batch7_repair_proposal_htzhulab_59828884/predictions/fold_0/step_200/argmax/Case1010.nii.gz
formal_200,200,200,Case1021,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal/attempts/batch7_repair_proposal_htzhulab_59828884/variants/batch7_repair_proposal_htzhulab_59828884/predictions/fold_0/step_200/argmax/Case1021.nii.gz
formal_200,200,200,Case1021,CenterA,LGE-only,False,myops_scar,5,True,0.5699192044748291,0.5690298507462687,-0.0008893537285604713,7.972077529615252,6.836000084877014,-1.1360774447382376,4,10,6.0,0.0,0.0,0.0,22,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal/attempts/batch7_repair_proposal_htzhulab_59828884/variants/batch7_repair_proposal_htzhulab_59828884/predictions/fold_0/step_200/argmax/Case1021.nii.gz
formal_200,200,200,Case1023,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal/attempts/batch7_repair_proposal_htzhulab_59828884/variants/batch7_repair_proposal_htzhulab_59828884/predictions/fold_0/step_200/argmax/Case1023.nii.gz
formal_200,200,200,Case1023,CenterA,LGE-only,False,myops_scar,5,True,0.6466011466011466,0.6417636252296387,-0.004837521371507947,5.0,5.188032621910369,0.18803262191036918,5,20,15.0,0.0,0.0,0.0,61,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal/attempts/batch7_repair_proposal_htzhulab_59828884/variants/batch7_repair_proposal_htzhulab_59828884/predictions/fold_0/step_200/argmax/Case1023.nii.gz
formal_200,200,200,Case1029,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal/attempts/batch7_repair_proposal_htzhulab_59828884/variants/batch7_repair_proposal_htzhulab_59828884/predictions/fold_0/step_200/argmax/Case1029.nii.gz
formal_200,200,200,Case1029,CenterA,LGE-only,False,myops_scar,5,True,0.16436865021770683,0.16523172742260486,0.0008630772048980329,51.395270620488255,51.395270620488255,0.0,12,19,7.0,0.0,0.0,0.0,89,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal/attempts/batch7_repair_proposal_htzhulab_59828884/variants/batch7_repair_proposal_htzhulab_59828884/predictions/fold_0/step_200/argmax/Case1029.nii.gz
formal_200,200,200,Case1033,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal/attempts/batch7_repair_proposal_htzhulab_59828884/variants/batch7_repair_proposal_htzhulab_59828884/predictions/fold_0/step_200/argmax/Case1033.nii.gz
formal_200,200,200,Case1033,CenterA,LGE-only,False,myops_scar,5,True,0.671361030077457,0.6731509625126646,0.0017899324352076418,7.152037197524651,6.92315273250983,-0.22888446501482118,6,9,3.0,0.0,0.0,0.0,89,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal/attempts/batch7_repair_proposal_htzhulab_59828884/variants/batch7_repair_proposal_htzhulab_59828884/predictions/fold_0/step_200/argmax/Case1033.nii.gz
formal_200,200,200,Case1040,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal/attempts/batch7_repair_proposal_htzhulab_59828884/variants/batch7_repair_proposal_htzhulab_59828884/predictions/fold_0/step_200/argmax/Case1040.nii.gz
