total_step,pathology,group,case_count,metric_case_count,anchor_dice_mean,srr_dice_mean,dice_delta_mean,anchor_hd95_mean,srr_hd95_mean,hd95_delta_mean,anchor_remote_fp_volume_mm3_mean,srr_remote_fp_volume_mm3_mean,remote_fp_delta_mm3_mean,changed_voxels_vs_anchor_mean
200,myops_edema,all_cases,44,44,0.7797948718832686,0.7810526932421005,0.0012578213588318751,7.276922314931449,7.191499245389007,-0.08542306954244178,86.19135076349431,90.87050632336349,4.67915555986917,61.68181818181818
200,myops_edema,gt_positive_only,16,16,0.3944358976789887,0.3978949064157763,0.0034590087367876565,20.011536366061485,19.77662292481977,-0.23491344124171487,237.02621459960938,249.8938923892496,12.867677789640219,169.625
200,myops_edema,CenterB,7,7,0.5029744773313501,0.5082795723127961,0.005305094981446014,15.933514343740368,15.742244374133781,-0.19126996960658765,541.7742047991071,519.0952845982143,-22.678920200892858,103.57142857142857
200,myops_edema,CenterC,9,9,0.3100170023938187,0.31204016627364983,0.002023163879831156,23.18333127231124,22.914472908686648,-0.2688583636245916,0.0,40.515031782277056,40.515031782277056,221.0
200,myops_edema,LGE-only,24,24,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,myops_edema,t2_present,16,16,0.3944358976789887,0.3978949064157763,0.0034590087367876565,20.011536366061485,19.77662292481977,-0.23491344124171487,237.02621459960938,249.8938923892496,12.867677789640219,169.625
200,myops_scar,all_cases,44,44,0.5601692281262312,0.5561433385506708,-0.0040258895755603714,13.600533414596173,13.502704131618307,-0.0978292829778663,620.3619700074735,609.3073429048217,-11.054627102651846,75.20454545454545
200,myops_scar,gt_positive_only,43,43,0.573196419478004,0.5690769045634771,-0.004119514914526892,13.600533414596173,13.502704131618307,-0.0978292829778663,634.7889925657869,623.4772811119105,-11.311711453876308,76.67441860465117
200,myops_scar,CenterB,7,7,0.6131815991584469,0.6068281114199724,-0.006353487738474455,12.440137428805636,12.689123670085063,0.24898624127942653,2.5198800223214284,42.837960379464285,40.318080357142854,83.42857142857143
200,myops_scar,CenterC,9,9,0.7556758410852354,0.7470800125120651,-0.008595828573170131,6.799401617662012,6.345276925359167,-0.4541246923028446,0.0,0.0,0.0,176.0
