variant,step,loss,anatomy_loss,scar_loss,edema_loss,retrieval_loss,edema_supervised_batch_fraction,batch_cases,elapsed_seconds
hierarchical_router_dictionary,1,4.251163482666016,2.061584711074829,0.8853568434715271,0.8578214645385742,0.0016056630993261933,1.0,"Case2022,Case3043",0.4542724331840873
hierarchical_router_dictionary,1,4.251163482666016,,,,,,,0.6144745843484998
hierarchical_router_dictionary,500,1.699035882949829,0.4162875711917877,0.5065588355064392,0.5024622082710266,0.01993013173341751,1.0,"Case3027,Case2030",14.701614670455456
hierarchical_router_dictionary,1000,1.4482276439666748,0.432708740234375,0.4517665505409241,0.34678950905799866,0.02176784723997116,0.5,"Case7001,Case2022",28.941382938995957
hierarchical_router_dictionary,1500,1.199519395828247,0.06946080178022385,0.4393339455127716,0.4612872302532196,0.0028383592143654823,1.0,"Case2026,Case3032",42.433919912204146
hierarchical_router_dictionary,2000,1.543375015258789,0.20676544308662415,0.5299578309059143,0.5311003923416138,0.009312715381383896,0.5,"Case8010,Case2015",56.467671553604305
hierarchical_router_dictionary,2500,1.2069807052612305,0.3809563219547272,0.3012806177139282,0.35385116934776306,0.003643280128017068,1.0,"Case3016,Case3020",70.57023464981467
hierarchical_router_dictionary,3000,0.9475393295288086,0.2201254665851593,0.32791128754615784,0.25111865997314453,0.00690864771604538,0.5,"Case2014,Case2005",84.55107270833105
hierarchical_router_dictionary,3500,1.4370691776275635,0.4473039209842682,0.33664363622665405,0.43603670597076416,0.018246009945869446,0.5,"Case3039,Case3033",98.59859138634056
hierarchical_router_dictionary,4000,1.0590989589691162,0.12696237862110138,0.4076591730117798,0.3343944251537323,0.007692073937505484,0.5,"Case3025,Case8002",112.51032107323408
hierarchical_router_dictionary,4500,0.9946275949478149,0.16729792952537537,0.3421817123889923,0.3179836869239807,0.0029789707623422146,1.0,"Case2015,Case2016",126.26419592369348
hierarchical_router_dictionary,5000,1.0165646076202393,0.09508471190929413,0.3656002879142761,0.3609040081501007,0.013275152072310448,0.5,"Case8030,Case3006",140.2646273970604
hierarchical_router_dictionary,5000,1.0165646076202393,,,,,,,140.41064261086285
hierarchical_router_dictionary,5500,0.8823046684265137,0.24636146426200867,0.16940227150917053,0.3301115036010742,0.003123509930446744,1.0,"Case3029,Case3037",154.4778095781803
hierarchical_router_dictionary,6000,0.8660290241241455,0.19283397495746613,0.27622348070144653,0.26111796498298645,0.0017781093483790755,0.5,"Case3037,Case1018",168.4180508237332
hierarchical_router_dictionary,6500,0.8983364701271057,0.10160927474498749,0.21805500984191895,0.4097617268562317,0.0017916267970576882,1.0,"Case3041,Case3043",182.3040351588279
hierarchical_router_dictionary,7000,0.8807744979858398,0.17298603057861328,0.1675078570842743,0.38797691464424133,0.0021291959565132856,1.0,"Case3031,Case2015",196.42165624164045
hierarchical_router_dictionary,7500,1.2830610275268555,0.31137919425964355,0.34184029698371887,0.4225602149963379,0.01161864958703518,0.5,"Case1077,Case3041",210.37351724971086
hierarchical_router_dictionary,8000,1.4208492040634155,0.17832690477371216,0.47451353073120117,0.5000102519989014,0.022564146667718887,0.5,"Case1068,Case2021",224.0797829851508
hierarchical_router_dictionary,8500,1.3155947923660278,0.10177482664585114,0.44764378666877747,0.5082831382751465,0.015493040904402733,0.5,"Case3006,Case8014",238.13610713742673
hierarchical_router_dictionary,9000,0.9788343906402588,0.36943358182907104,0.470829576253891,-0.0,0.04413881152868271,0.0,"Case1022,Case1076",251.9621416758746
hierarchical_router_dictionary,9500,1.3174253702163696,0.3705160915851593,0.36026355624198914,0.37343910336494446,0.02868252620100975,0.5,"Case3041,Case1032",265.90408453997225
