case_id,transition,from_label,to_label,voxel_count
Case1002,anchor_to_after_edema,0,0,571114
Case1002,anchor_to_after_edema,1,1,5146
Case1002,anchor_to_after_edema,2,2,12221
Case1002,anchor_to_after_edema,5,5,1343
Case1002,after_edema_to_final_scar_priority,0,0,571114
Case1002,after_edema_to_final_scar_priority,1,1,5146
Case1002,after_edema_to_final_scar_priority,2,2,12221
Case1002,after_edema_to_final_scar_priority,5,5,1343
Case1002,anchor_to_final,0,0,571114
Case1002,anchor_to_final,1,1,5146
Case1002,anchor_to_final,2,2,12221
Case1002,anchor_to_final,5,5,1343
Case1007,anchor_to_after_edema,0,0,1526585
Case1007,anchor_to_after_edema,1,1,14226
Case1007,anchor_to_after_edema,2,2,27644
Case1007,anchor_to_after_edema,5,5,4409
Case1007,after_edema_to_final_scar_priority,0,0,1526585
Case1007,after_edema_to_final_scar_priority,1,1,14226
Case1007,after_edema_to_final_scar_priority,2,2,27644
Case1007,after_edema_to_final_scar_priority,5,5,4409
Case1007,anchor_to_final,0,0,1526585
Case1007,anchor_to_final,1,1,14226
Case1007,anchor_to_final,2,2,27644
Case1007,anchor_to_final,5,5,4409
Case1009,anchor_to_after_edema,0,0,1014975
Case1009,anchor_to_after_edema,1,1,6965
Case1009,anchor_to_after_edema,2,2,22612
Case1009,anchor_to_after_edema,5,5,4024
Case1009,after_edema_to_final_scar_priority,0,0,1014975
Case1009,after_edema_to_final_scar_priority,1,1,6965
Case1009,after_edema_to_final_scar_priority,2,2,22612
Case1009,after_edema_to_final_scar_priority,5,5,4024
Case1009,anchor_to_final,0,0,1014975
Case1009,anchor_to_final,1,1,6965
Case1009,anchor_to_final,2,2,22612
Case1009,anchor_to_final,5,5,4024
Case1010,anchor_to_after_edema,0,0,765872
Case1010,anchor_to_after_edema,1,1,4288
Case1010,anchor_to_after_edema,2,2,14361
Case1010,anchor_to_after_edema,5,5,1911
Case1010,after_edema_to_final_scar_priority,0,0,765872
Case1010,after_edema_to_final_scar_priority,1,1,4288
Case1010,after_edema_to_final_scar_priority,2,2,14361
Case1010,after_edema_to_final_scar_priority,5,5,1911
Case1010,anchor_to_final,0,0,765872
Case1010,anchor_to_final,1,1,4288
Case1010,anchor_to_final,2,2,14361
Case1010,anchor_to_final,5,5,1911
Case1021,anchor_to_after_edema,0,0,765901
Case1021,anchor_to_after_edema,1,1,6731
