label,component_index,component_voxels,overlaps_baseline_support,kept,case_id,mode,source_label
4,0,0,False,False,Case1002,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,1,1,False,False,Case1002,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,2,1424,True,True,Case1002,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,3,1,True,True,Case1002,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,4,2,True,True,Case1002,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
4,0,0,False,False,Case1007,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,1,4575,True,True,Case1007,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,2,32,True,True,Case1007,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,3,2,True,True,Case1007,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,4,3,False,False,Case1007,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,5,4,True,True,Case1007,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,6,1,True,True,Case1007,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
4,0,0,False,False,Case1009,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,1,4224,True,True,Case1009,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,2,1,False,False,Case1009,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
4,0,0,False,False,Case1010,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,1,2079,True,True,Case1010,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,2,1,True,True,Case1010,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
4,0,0,False,False,Case1021,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,1,94,True,True,Case1021,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,2,1425,True,True,Case1021,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,3,1,True,True,Case1021,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,4,10,True,True,Case1021,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
4,0,0,False,False,Case1023,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,1,10,True,True,Case1023,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,2,2631,True,True,Case1023,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,3,1,True,True,Case1023,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
4,0,0,False,False,Case1029,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,1,5196,True,True,Case1029,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,2,6,True,True,Case1029,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,3,1,False,False,Case1029,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,4,1,False,False,Case1029,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,5,1,False,False,Case1029,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,6,1,False,False,Case1029,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,7,1,False,False,Case1029,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,8,1,False,False,Case1029,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,9,1,False,False,Case1029,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,10,1,False,False,Case1029,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,11,2,False,False,Case1029,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,12,9,True,True,Case1029,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,13,16,True,True,Case1029,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,14,1,False,False,Case1029,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,15,4,True,True,Case1029,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,16,1,True,True,Case1029,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,17,2,True,True,Case1029,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,18,3,True,True,Case1029,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
4,0,0,False,False,Case1033,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,1,6145,True,True,Case1033,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,2,1,False,False,Case1033,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,3,1,False,False,Case1033,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,4,15,True,True,Case1033,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
4,0,0,False,False,Case1040,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,1,3088,True,True,Case1040,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,2,8,True,True,Case1040,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,3,1,True,True,Case1040,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,4,6,True,True,Case1040,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,5,1,False,False,Case1040,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
4,0,0,False,False,Case1042,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,1,39,True,True,Case1042,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,2,906,True,True,Case1042,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,3,6,True,True,Case1042,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
4,0,0,False,False,Case1045,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,1,1,True,True,Case1045,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,2,41,True,True,Case1045,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,3,283,True,True,Case1045,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,4,120,True,True,Case1045,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,5,26,True,True,Case1045,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,6,14,True,True,Case1045,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
4,0,0,False,False,Case1047,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,1,4330,True,True,Case1047,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,2,1,True,True,Case1047,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,3,3,True,True,Case1047,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,4,1,True,True,Case1047,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,5,5,True,True,Case1047,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
4,0,0,False,False,Case1053,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,1,1,True,True,Case1053,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,2,1,True,True,Case1053,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,3,680,True,True,Case1053,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,4,9,True,True,Case1053,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,5,1,True,True,Case1053,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,6,1,True,True,Case1053,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,7,13,True,True,Case1053,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,8,19,True,True,Case1053,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,9,2,True,True,Case1053,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,10,87,True,True,Case1053,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,11,16,True,True,Case1053,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,12,1,False,False,Case1053,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,13,10,True,True,Case1053,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
4,0,0,False,False,Case1062,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,1,9801,True,True,Case1062,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,2,5,True,True,Case1062,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,3,1,True,True,Case1062,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
4,0,0,False,False,Case1070,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,1,5539,True,True,Case1070,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,2,14,True,True,Case1070,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,3,10,True,True,Case1070,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,4,2,True,True,Case1070,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,5,6,True,True,Case1070,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,6,1,False,False,Case1070,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,7,2,True,True,Case1070,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,8,2,True,True,Case1070,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
5,9,2,True,True,Case1070,pathology_overlap_dilate1,coarse_to_fine_srr_roi_signal_seek
