experiment,subgroup,case_count,metric_case_count,anchor_dice_mean,srr_dice_mean,dice_delta_mean,anchor_hd95_mean,srr_hd95_mean,hd95_delta_mean,remote_fp_delta_mm3_mean,pathology,worst_center
scar_br2_no_sip,all_cases,44,44,0.5601692281262312,0.022727272727272728,-0.5374419553989584,,,,-620.3619700074735,scar,
scar_br2_no_sip,gt_positive_only,43,43,0.573196419478004,0.0,-0.573196419478004,,,,-634.7889925657869,scar,
scar_br2_no_sip,complete_trimodal,16,16,0.6933346102422654,0.0,-0.6933346102422654,,,,-1.102447509765625,scar,
scar_br2_no_sip,CenterB,7,7,0.6131815991584469,0.0,-0.6131815991584469,,,,-2.5198800223214284,scar,
scar_br2_no_sip,CenterC,9,9,0.7556758410852354,0.0,-0.7556758410852354,,,,0.0,scar,
scar_br2_no_sip,all_positive_centers,43,43,0.573196419478004,0.0,-0.573196419478004,,,,-634.7889925657869,scar,
scar_br2_no_sip,worst_positive_center,,,,0.0,,,,,,scar,CenterA
scar_br2_sip,all_cases,44,44,0.5601692281262312,0.022727272727272728,-0.5374419553989584,,,,-620.3619700074735,scar,
scar_br2_sip,gt_positive_only,43,43,0.573196419478004,0.0,-0.573196419478004,,,,-634.7889925657869,scar,
scar_br2_sip,complete_trimodal,16,16,0.6933346102422654,0.0,-0.6933346102422654,,,,-1.102447509765625,scar,
scar_br2_sip,CenterB,7,7,0.6131815991584469,0.0,-0.6131815991584469,,,,-2.5198800223214284,scar,
scar_br2_sip,CenterC,9,9,0.7556758410852354,0.0,-0.7556758410852354,,,,0.0,scar,
scar_br2_sip,all_positive_centers,43,43,0.573196419478004,0.0,-0.573196419478004,,,,-634.7889925657869,scar,
scar_br2_sip,worst_positive_center,,,,0.0,,,,,,scar,CenterA
scar_minimal,all_cases,44,44,0.5601692281262312,0.5552898402218729,-0.004879387904358338,13.600533414596173,13.935958302612825,0.3354248880166538,-34.80351300331882,scar,
scar_minimal,gt_positive_only,43,43,0.573196419478004,0.5682035574363351,-0.004992862041668997,13.600533414596173,13.935958302612825,0.3354248880166538,-35.612897026651815,scar,
scar_minimal,complete_trimodal,16,16,0.6933346102422654,0.6854888013098249,-0.007845808932440489,9.267223535037347,9.28340826723549,0.016184732198140872,-1.102447509765625,scar,
scar_minimal,CenterB,7,7,0.6131815991584469,0.607973013102085,-0.00520858605636189,12.440137428805636,12.272725113165837,-0.16741231563979905,-2.5198800223214284,scar,
scar_minimal,CenterC,9,9,0.7556758410852354,0.7457788588047338,-0.00989698228050162,6.799401617662012,6.958384053734107,0.15898243607209414,0.0,scar,
scar_minimal,all_positive_centers,43,43,0.573196419478004,0.5682035574363351,-0.004992862041668997,13.600533414596173,13.935958302612825,0.3354248880166538,-35.612897026651815,scar,
scar_minimal,worst_positive_center,,,,0.4534937699803892,,,,,,scar,CenterH
edema_br2_no_sip,all_cases,44,44,0.7797948718832686,0.780872389118901,0.0010775172356323325,7.276922314931449,7.1630643768206514,-0.11385793811079706,2.0545698639566763,edema,
edema_br2_no_sip,gt_positive_only,16,16,0.3944358976789887,0.3973990700769776,0.0029631723979889144,20.011536366061485,19.698427036256792,-0.3131093298046919,5.6500671258808595,edema,
edema_br2_no_sip,complete_trimodal,16,16,0.3944358976789887,0.3973990700769776,0.0029631723979889144,20.011536366061485,19.698427036256792,-0.3131093298046919,5.6500671258808595,edema,
edema_br2_no_sip,CenterB,7,7,0.5029744773313501,0.5048370610344101,0.0018625837030599327,15.933514343740368,15.803486183108367,-0.13002816063200168,-12.599400111607142,edema,
edema_br2_no_sip,CenterC,9,9,0.3100170023938187,0.3138361882211968,0.0038191858273781223,23.18333127231124,22.727825477594454,-0.4555057947167843,19.84409719948264,edema,
edema_br2_no_sip,all_positive_centers,16,16,0.3944358976789887,0.3973990700769776,0.0029631723979889144,20.011536366061485,19.698427036256792,-0.3131093298046919,5.6500671258808595,edema,
edema_br2_no_sip,worst_positive_center,,,,0.3138361882211968,,,,,,edema,CenterC
edema_br2_sip,all_cases,44,44,0.7797948718832686,0.780872389118901,0.0010775172356323325,7.276922314931449,7.1630643768206514,-0.11385793811079706,2.0545698639566763,edema,
edema_br2_sip,gt_positive_only,16,16,0.3944358976789887,0.3973990700769776,0.0029631723979889144,20.011536366061485,19.698427036256792,-0.3131093298046919,5.6500671258808595,edema,
edema_br2_sip,complete_trimodal,16,16,0.3944358976789887,0.3973990700769776,0.0029631723979889144,20.011536366061485,19.698427036256792,-0.3131093298046919,5.6500671258808595,edema,
edema_br2_sip,CenterB,7,7,0.5029744773313501,0.5048370610344101,0.0018625837030599327,15.933514343740368,15.803486183108367,-0.13002816063200168,-12.599400111607142,edema,
edema_br2_sip,CenterC,9,9,0.3100170023938187,0.3138361882211968,0.0038191858273781223,23.18333127231124,22.727825477594454,-0.4555057947167843,19.84409719948264,edema,
edema_br2_sip,all_positive_centers,16,16,0.3944358976789887,0.3973990700769776,0.0029631723979889144,20.011536366061485,19.698427036256792,-0.3131093298046919,5.6500671258808595,edema,
edema_br2_sip,worst_positive_center,,,,0.3138361882211968,,,,,,edema,CenterC
edema_minimal,all_cases,44,44,0.7797948718832686,0.780283118917664,0.00048824703439539975,7.276922314931449,7.1974255455582545,-0.07949676937319534,0.025059923100497174,edema,
edema_minimal,gt_positive_only,16,16,0.3944358976789887,0.395778577023576,0.0013426793445873494,20.011536366061485,19.7929202502852,-0.2186161157762872,0.06891478852636723,edema,
