coverage_case_type,status
lge_only_scar_positive,PENDING_RUNTIME_REAL_CASE_PROBE
t2_present_edema_positive,PENDING_RUNTIME_REAL_CASE_PROBE
center_c_complete_trimodal,PENDING_RUNTIME_REAL_CASE_PROBE
