experiment,pathology,br2_enabled,sip_enabled,loss_name,resolved_weight,formal_status
scar_minimal,scar,0,0,loss_anatomy_union_lv_rv,0.0,zero
scar_minimal,scar,0,0,loss_anchor_preservation_outside_roi,0.0,zero
scar_minimal,scar,0,0,loss_bounded_correction,0.0,zero
scar_minimal,scar,0,0,loss_branch_arbitration_consistency,0.0,zero
scar_minimal,scar,0,0,loss_component_remote_fp,0.0,zero
scar_minimal,scar,0,0,loss_correction_opportunity,0.0,zero
scar_minimal,scar,0,0,loss_dictionary_entropy_coverage_load_balance,0.0,legacy_heuristic_not_paper_sip_zero
scar_minimal,scar,0,0,loss_edema_confirmation_proposal_t2_present,0.0,zero
scar_minimal,scar,0,0,loss_edema_discovery_proposal_t2_present,0.0,zero
scar_minimal,scar,0,0,loss_edema_proposal_t2_present_only,0.0,zero
scar_minimal,scar,0,0,loss_edema_refiner_t2_present_roi,0.0,zero
scar_minimal,scar,0,0,loss_final_edema_anchor_error_pathology,0.0,zero
scar_minimal,scar,0,0,loss_final_edema_t2_present_pathology,0.0,zero
scar_minimal,scar,0,0,loss_final_scar_anchor_error_pathology,0.0,zero
scar_minimal,scar,0,0,loss_final_scar_correction_directionality,0.0,zero
scar_minimal,scar,0,0,loss_final_scar_pathology,0.0,zero
scar_minimal,scar,0,0,loss_memory_bank_update_or_alignment,0.0,zero
scar_minimal,scar,0,0,loss_no_t2_edema_safety,0.0,zero
scar_minimal,scar,0,0,loss_pattern_sip_integrativeness,0.0,legacy_heuristic_not_paper_sip_zero
scar_minimal,scar,0,0,loss_production_gate_repair_preserve,0.0,zero
scar_minimal,scar,0,0,loss_prototype_diversity_margin,0.0,zero
scar_minimal,scar,0,0,loss_refiner_final_label_effect,0.0,zero
scar_minimal,scar,0,0,loss_scar_anchor_false_positive_suppression,0.1,active
scar_minimal,scar,0,0,loss_scar_anchor_missed_lesion_recovery,1.0,active
scar_minimal,scar,0,0,loss_scar_confirmation_proposal,0.5,active
scar_minimal,scar,0,0,loss_scar_discovery_proposal,1.0,active
scar_minimal,scar,0,0,loss_scar_proposal,1.0,active
scar_minimal,scar,0,0,loss_scar_refiner_roi,0.0,zero
scar_minimal,scar,0,0,loss_source_arbiter,0.0,zero
scar_minimal,scar,0,0,loss_spatial_prototype_conditioning,0.0,zero
scar_br2_no_sip,scar,1,0,loss_anatomy_union_lv_rv,0.0,zero
scar_br2_no_sip,scar,1,0,loss_anchor_preservation_outside_roi,0.0,zero
scar_br2_no_sip,scar,1,0,loss_bounded_correction,0.0,zero
scar_br2_no_sip,scar,1,0,loss_br2_center_deviation_shrinkage,0.01,active
scar_br2_no_sip,scar,1,0,loss_br2_selective_integration_penalty,0.0,zero
scar_br2_no_sip,scar,1,0,loss_br2_source_l1_sparsity,0.01,active
scar_br2_no_sip,scar,1,0,loss_branch_arbitration_consistency,0.0,zero
scar_br2_no_sip,scar,1,0,loss_component_remote_fp,0.0,zero
scar_br2_no_sip,scar,1,0,loss_correction_opportunity,0.0,zero
scar_br2_no_sip,scar,1,0,loss_dictionary_entropy_coverage_load_balance,0.0,legacy_heuristic_not_paper_sip_zero
scar_br2_no_sip,scar,1,0,loss_edema_confirmation_proposal_t2_present,0.0,zero
scar_br2_no_sip,scar,1,0,loss_edema_discovery_proposal_t2_present,0.0,zero
scar_br2_no_sip,scar,1,0,loss_edema_proposal_t2_present_only,0.0,zero
scar_br2_no_sip,scar,1,0,loss_edema_refiner_t2_present_roi,0.0,zero
scar_br2_no_sip,scar,1,0,loss_final_edema_anchor_error_pathology,0.0,zero
scar_br2_no_sip,scar,1,0,loss_final_edema_t2_present_pathology,0.0,zero
scar_br2_no_sip,scar,1,0,loss_final_scar_anchor_error_pathology,0.0,zero
scar_br2_no_sip,scar,1,0,loss_final_scar_correction_directionality,0.0,zero
scar_br2_no_sip,scar,1,0,loss_final_scar_pathology,0.0,zero
scar_br2_no_sip,scar,1,0,loss_memory_bank_update_or_alignment,0.0,zero
scar_br2_no_sip,scar,1,0,loss_no_t2_edema_safety,0.0,zero
scar_br2_no_sip,scar,1,0,loss_pattern_sip_integrativeness,0.0,legacy_heuristic_not_paper_sip_zero
scar_br2_no_sip,scar,1,0,loss_production_gate_repair_preserve,0.0,zero
scar_br2_no_sip,scar,1,0,loss_prototype_diversity_margin,0.0,zero
scar_br2_no_sip,scar,1,0,loss_refiner_final_label_effect,0.0,zero
scar_br2_no_sip,scar,1,0,loss_scar_anchor_false_positive_suppression,0.1,active
scar_br2_no_sip,scar,1,0,loss_scar_anchor_missed_lesion_recovery,1.0,active
scar_br2_no_sip,scar,1,0,loss_scar_confirmation_proposal,0.5,active
scar_br2_no_sip,scar,1,0,loss_scar_discovery_proposal,1.0,active
scar_br2_no_sip,scar,1,0,loss_scar_proposal,1.0,active
scar_br2_no_sip,scar,1,0,loss_scar_refiner_roi,0.0,zero
scar_br2_no_sip,scar,1,0,loss_source_arbiter,0.0,zero
scar_br2_no_sip,scar,1,0,loss_spatial_prototype_conditioning,0.0,zero
scar_br2_sip,scar,1,1,loss_anatomy_union_lv_rv,0.0,zero
scar_br2_sip,scar,1,1,loss_anchor_preservation_outside_roi,0.0,zero
scar_br2_sip,scar,1,1,loss_bounded_correction,0.0,zero
scar_br2_sip,scar,1,1,loss_br2_center_deviation_shrinkage,0.01,active
scar_br2_sip,scar,1,1,loss_br2_selective_integration_penalty,0.01,active
scar_br2_sip,scar,1,1,loss_br2_source_l1_sparsity,0.01,active
scar_br2_sip,scar,1,1,loss_branch_arbitration_consistency,0.0,zero
scar_br2_sip,scar,1,1,loss_component_remote_fp,0.0,zero
scar_br2_sip,scar,1,1,loss_correction_opportunity,0.0,zero
