experiment,subgroup,case_count,metric_case_count,anchor_dice_mean,srr_dice_mean,dice_delta_mean,anchor_hd95_mean,srr_hd95_mean,hd95_delta_mean,remote_fp_delta_mm3_mean,worst_center
scar_br2_no_sip,all_cases,44,44,0.5601692281262312,0.022727272727272728,-0.5374419553989584,,,,-620.3619700074735,
scar_br2_no_sip,gt_positive_only,43,43,0.573196419478004,0.0,-0.573196419478004,,,,-634.7889925657869,
scar_br2_no_sip,complete_trimodal,16,16,0.6933346102422654,0.0,-0.6933346102422654,,,,-1.102447509765625,
scar_br2_no_sip,CenterB,7,7,0.6131815991584469,0.0,-0.6131815991584469,,,,-2.5198800223214284,
scar_br2_no_sip,CenterC,9,9,0.7556758410852354,0.0,-0.7556758410852354,,,,0.0,
scar_br2_no_sip,all_positive_centers,43,43,0.573196419478004,0.0,-0.573196419478004,,,,-634.7889925657869,
scar_br2_no_sip,worst_positive_center,,,,0.0,,,,,,CenterA
scar_br2_sip,all_cases,44,44,0.5601692281262312,0.022727272727272728,-0.5374419553989584,,,,-620.3619700074735,
scar_br2_sip,gt_positive_only,43,43,0.573196419478004,0.0,-0.573196419478004,,,,-634.7889925657869,
scar_br2_sip,complete_trimodal,16,16,0.6933346102422654,0.0,-0.6933346102422654,,,,-1.102447509765625,
scar_br2_sip,CenterB,7,7,0.6131815991584469,0.0,-0.6131815991584469,,,,-2.5198800223214284,
scar_br2_sip,CenterC,9,9,0.7556758410852354,0.0,-0.7556758410852354,,,,0.0,
scar_br2_sip,all_positive_centers,43,43,0.573196419478004,0.0,-0.573196419478004,,,,-634.7889925657869,
scar_br2_sip,worst_positive_center,,,,0.0,,,,,,CenterA
scar_minimal,all_cases,44,44,0.5601692281262312,0.5552898402218729,-0.004879387904358338,13.600533414596173,13.935958302612825,0.3354248880166538,-34.80351300331882,
scar_minimal,gt_positive_only,43,43,0.573196419478004,0.5682035574363351,-0.004992862041668997,13.600533414596173,13.935958302612825,0.3354248880166538,-35.612897026651815,
scar_minimal,complete_trimodal,16,16,0.6933346102422654,0.6854888013098249,-0.007845808932440489,9.267223535037347,9.28340826723549,0.016184732198140872,-1.102447509765625,
scar_minimal,CenterB,7,7,0.6131815991584469,0.607973013102085,-0.00520858605636189,12.440137428805636,12.272725113165837,-0.16741231563979905,-2.5198800223214284,
scar_minimal,CenterC,9,9,0.7556758410852354,0.7457788588047338,-0.00989698228050162,6.799401617662012,6.958384053734107,0.15898243607209414,0.0,
scar_minimal,all_positive_centers,43,43,0.573196419478004,0.5682035574363351,-0.004992862041668997,13.600533414596173,13.935958302612825,0.3354248880166538,-35.612897026651815,
scar_minimal,worst_positive_center,,,,0.4534937699803892,,,,,,CenterH
