experiment,eval_step,metric,value,threshold,case_count,pathology
scar_minimal,200,proposal_precision,0.12980062377634602,0.5,44,scar
scar_minimal,200,proposal_recall,0.5076201890945605,0.5,43,scar
scar_minimal,200,lesion_wise_recall,0.7281653746770026,0.5,43,scar
scar_minimal,200,anchor_missed_recovery,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,scar
scar_minimal,200,false_positive_suppression,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,scar
scar_minimal,400,proposal_precision,0.14427601278436944,0.5,44,scar
scar_minimal,400,proposal_recall,0.5101824252146911,0.5,43,scar
scar_minimal,400,lesion_wise_recall,0.7281653746770026,0.5,43,scar
scar_minimal,400,anchor_missed_recovery,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,scar
scar_minimal,400,false_positive_suppression,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,scar
scar_br2_no_sip,200,proposal_precision,,0.5,0,scar
scar_br2_no_sip,200,proposal_recall,0.0,0.5,43,scar
scar_br2_no_sip,200,lesion_wise_recall,0.0,0.5,43,scar
scar_br2_no_sip,200,anchor_missed_recovery,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,scar
scar_br2_no_sip,200,false_positive_suppression,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,scar
scar_br2_no_sip,400,proposal_precision,,0.5,0,scar
scar_br2_no_sip,400,proposal_recall,0.0,0.5,43,scar
scar_br2_no_sip,400,lesion_wise_recall,0.0,0.5,43,scar
scar_br2_no_sip,400,anchor_missed_recovery,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,scar
scar_br2_no_sip,400,false_positive_suppression,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,scar
scar_br2_sip,200,proposal_precision,,0.5,0,scar
scar_br2_sip,200,proposal_recall,0.0,0.5,43,scar
scar_br2_sip,200,lesion_wise_recall,0.0,0.5,43,scar
scar_br2_sip,200,anchor_missed_recovery,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,scar
scar_br2_sip,200,false_positive_suppression,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,scar
scar_br2_sip,400,proposal_precision,,0.5,0,scar
scar_br2_sip,400,proposal_recall,0.0,0.5,43,scar
scar_br2_sip,400,lesion_wise_recall,0.0,0.5,43,scar
scar_br2_sip,400,anchor_missed_recovery,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,scar
scar_br2_sip,400,false_positive_suppression,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,scar
edema_minimal,200,proposal_precision,0.324468085106383,0.5,4,edema
edema_minimal,200,proposal_recall,0.0009326714734993111,0.5,16,edema
edema_minimal,200,lesion_wise_recall,0.06770833333333333,0.5,16,edema
edema_minimal,200,anchor_missed_recovery,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,edema
edema_minimal,200,false_positive_suppression,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,edema
edema_minimal,400,proposal_precision,0.29545454545454547,0.5,4,edema
edema_minimal,400,proposal_recall,0.0009287271359902391,0.5,16,edema
edema_minimal,400,lesion_wise_recall,0.06770833333333333,0.5,16,edema
edema_minimal,400,anchor_missed_recovery,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,edema
edema_minimal,400,false_positive_suppression,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,edema
edema_br2_no_sip,200,proposal_precision,0.0,0.5,2,edema
edema_br2_no_sip,200,proposal_recall,0.0,0.5,16,edema
edema_br2_no_sip,200,lesion_wise_recall,0.0,0.5,16,edema
edema_br2_no_sip,200,anchor_missed_recovery,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,edema
edema_br2_no_sip,200,false_positive_suppression,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,edema
edema_br2_no_sip,400,proposal_precision,0.0,0.5,3,edema
edema_br2_no_sip,400,proposal_recall,0.0,0.5,16,edema
edema_br2_no_sip,400,lesion_wise_recall,0.0,0.5,16,edema
edema_br2_no_sip,400,anchor_missed_recovery,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,edema
edema_br2_no_sip,400,false_positive_suppression,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,edema
edema_br2_sip,200,proposal_precision,0.0,0.5,2,edema
edema_br2_sip,200,proposal_recall,0.0,0.5,16,edema
edema_br2_sip,200,lesion_wise_recall,0.0,0.5,16,edema
edema_br2_sip,200,anchor_missed_recovery,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,edema
edema_br2_sip,200,false_positive_suppression,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,edema
edema_br2_sip,400,proposal_precision,0.0,0.5,3,edema
edema_br2_sip,400,proposal_recall,0.0,0.5,16,edema
edema_br2_sip,400,lesion_wise_recall,0.0,0.5,16,edema
edema_br2_sip,400,anchor_missed_recovery,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,edema
edema_br2_sip,400,false_positive_suppression,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44,edema
