pathology,candidate_lambda_sip,selected_lambda,target_gradient_ratio,observed_gradient_ratio,status,selected,formal_sip_run_allowed,target_loss_coefficient_grad_norm,sip_unit_lambda_coefficient_grad_norm,calibration_case_count,calibration_centers,checkpoint_path,checkpoint_sha256,checkpoint_global_step
edema,0.005,,0.1,,BLOCKING_PENDING_RUNTIME_TRAIN_ONLY_CENTER_BALANCED_GRADIENT_RATIO,PENDING,0,,,,,,,
edema,0.01,,0.1,,BLOCKING_PENDING_RUNTIME_TRAIN_ONLY_CENTER_BALANCED_GRADIENT_RATIO,PENDING,0,,,,,,,
edema,0.02,,0.1,,BLOCKING_PENDING_RUNTIME_TRAIN_ONLY_CENTER_BALANCED_GRADIENT_RATIO,PENDING,0,,,,,,,
scar,0.005,,0.1,inf,FAIL_NO_CANDIDATE_IN_ALLOWED_GRADIENT_RATIO_RANGE,0,0,0.0,0.0,7,CenterA;CenterB;CenterC;CenterE;CenterF;CenterG;CenterH,/users/a/e/aereinh/CARE/results/20260722_srr_batch7_minimal_pathology_decomposition/runtime/attempts/batch7_minimal_decomposition_scar_htzhulab_formal_importpath_20260722_025729/variants/scar_br2_warmup50__batch7_minimal_decomposition_scar_htzhulab_formal_importpath_20260722_025729/checkpoints/fold_0/propref_config/checkpoint_final.pt,f535e32abd21a17ae322dea80c17acfd181c86a8ecb7700b957cf0370fc4037d,50
scar,0.01,,0.1,inf,FAIL_NO_CANDIDATE_IN_ALLOWED_GRADIENT_RATIO_RANGE,0,0,0.0,0.0,7,CenterA;CenterB;CenterC;CenterE;CenterF;CenterG;CenterH,/users/a/e/aereinh/CARE/results/20260722_srr_batch7_minimal_pathology_decomposition/runtime/attempts/batch7_minimal_decomposition_scar_htzhulab_formal_importpath_20260722_025729/variants/scar_br2_warmup50__batch7_minimal_decomposition_scar_htzhulab_formal_importpath_20260722_025729/checkpoints/fold_0/propref_config/checkpoint_final.pt,f535e32abd21a17ae322dea80c17acfd181c86a8ecb7700b957cf0370fc4037d,50
scar,0.02,,0.1,inf,FAIL_NO_CANDIDATE_IN_ALLOWED_GRADIENT_RATIO_RANGE,0,0,0.0,0.0,7,CenterA;CenterB;CenterC;CenterE;CenterF;CenterG;CenterH,/users/a/e/aereinh/CARE/results/20260722_srr_batch7_minimal_pathology_decomposition/runtime/attempts/batch7_minimal_decomposition_scar_htzhulab_formal_importpath_20260722_025729/variants/scar_br2_warmup50__batch7_minimal_decomposition_scar_htzhulab_formal_importpath_20260722_025729/checkpoints/fold_0/propref_config/checkpoint_final.pt,f535e32abd21a17ae322dea80c17acfd181c86a8ecb7700b957cf0370fc4037d,50
