pathology,sip_terms,initial_sip_penalty,coefficient_domain,evidence_status
scar,7.0,7.0,signed_center_beta_after_rms_normalization,STATIC_INITIAL_COEFFICIENTS
edema,7.0,7.0,signed_center_beta_after_rms_normalization,STATIC_INITIAL_COEFFICIENTS
