checkpoint,decode_mode,edema_component_count_mean,edema_gt_positive_dice,edema_gt_positive_hd95,edema_remote_fp_mean,pathology_selection_score,scar_all_dice,scar_all_hd95,scar_component_count_mean,scar_remote_fp_mean,variant
best,mixed_priority_t0.50,72.5,0.17839593549574817,,55.875,-2.0152789214857103,0.10473423392763258,,106.75,84.3409090909091,proposal_pos_neg_basic
best,original_evidence_priority_t0.50,33.125,0.1388518543673073,,23.25,-1.0469061323642475,0.09373064963208169,,71.0,52.63636363636363,proposal_pos_neg_basic
best,proposal_priority_t0.50,87.375,0.17759936405324303,,68.0625,-2.4170732587779185,0.10612283171429328,,122.6590909090909,97.0,proposal_pos_neg_basic
best,raw_argmax_current,79.875,0.17366551368784316,,60.75,-2.0374321277573992,0.10168644946384839,,102.36363636363636,79.4090909090909,proposal_pos_neg_basic
best,threshold_sweep_mixed_t0.10,96.9375,0.17699106694061684,,76.4375,-2.7226685372235906,0.10610744129033818,,136.02272727272728,107.6590909090909,proposal_pos_neg_basic
best,threshold_sweep_mixed_t0.20,85.5625,0.1777964784871916,,66.3125,-2.4187565670679874,0.10574809080845742,,124.95454545454545,98.6590909090909,proposal_pos_neg_basic
best,threshold_sweep_mixed_t0.30,81.0,0.17839868191861985,,61.625,-2.263439493212316,0.10577546123270071,,118.13636363636364,93.56818181818181,proposal_pos_neg_basic
best,threshold_sweep_mixed_t0.40,76.6875,0.1783494852352967,,59.0,-2.142782158697115,0.10514676515849787,,112.47727272727273,89.04545454545455,proposal_pos_neg_basic
best,threshold_sweep_mixed_t0.50,72.5,0.17839593549574817,,55.875,-2.0152789214857103,0.10473423392763258,,106.75,84.3409090909091,proposal_pos_neg_basic
best,threshold_sweep_mixed_t0.60,67.1875,0.17773534964505486,,50.875,-1.8777016799211466,0.10436410679743496,,102.11363636363636,80.45454545454545,proposal_pos_neg_basic
best,threshold_sweep_mixed_t0.70,62.5,0.1768721067420136,,46.9375,-1.7130846010498904,0.10373647402627793,,95.0909090909091,73.63636363636364,proposal_pos_neg_basic
best,threshold_sweep_mixed_t0.80,60.625,0.17387015287310037,,45.3125,-1.6012067129096956,0.10299131603538568,,89.04545454545455,67.6590909090909,proposal_pos_neg_basic
best,threshold_sweep_mixed_t0.90,54.25,0.16877961746217285,,40.5,-1.3091659464417318,0.09989534518700442,,72.68181818181819,53.81818181818182,proposal_pos_neg_basic
best,threshold_sweep_original_evidence_t0.10,58.4375,0.1705339586217176,,44.375,-1.8230365509058166,0.10361699047246575,,105.56818181818181,83.3409090909091,proposal_pos_neg_basic
best,threshold_sweep_original_evidence_t0.20,47.875,0.16074459007300262,,35.0625,-1.4935807643174281,0.10112919106411468,,91.0909090909091,71.0,proposal_pos_neg_basic
best,threshold_sweep_original_evidence_t0.30,41.625,0.1520167176212807,,29.75,-1.2897913660104816,0.09847600727732861,,81.93181818181819,62.5,proposal_pos_neg_basic
best,threshold_sweep_original_evidence_t0.40,37.0625,0.14521694632657367,,25.875,-1.159730346494831,0.09638793445132263,,76.9090909090909,57.27272727272727,proposal_pos_neg_basic
best,threshold_sweep_original_evidence_t0.50,33.125,0.1388518543673073,,23.25,-1.0469061323642475,0.09373064963208169,,71.0,52.63636363636363,proposal_pos_neg_basic
best,threshold_sweep_original_evidence_t0.60,28.8125,0.1318695191291575,,19.8125,-0.9338606713200253,0.09134367318718072,,66.52272727272727,48.22727272727273,proposal_pos_neg_basic
best,threshold_sweep_original_evidence_t0.70,25.5,0.12217102577481981,,17.1875,-0.8300046943992994,0.08765382528042623,,60.22727272727273,43.93181818181818,proposal_pos_neg_basic
best,threshold_sweep_original_evidence_t0.80,23.4375,0.11096653044736471,,14.6875,-0.7286983349251422,0.08348854371840207,,53.95454545454545,38.93181818181818,proposal_pos_neg_basic
