loss_name,raw_value,total_ratio
anatomy4_deep_supervised,4.5362749099731445,0.4113468461409941
anatomy_ce,3.5507192611694336,0.32197721668124696
anatomy_dice,0.9988190531730652,0.09057234747501372
anatomy_half_ce,3.5103673934936523,0.31831813211654414
anatomy_half_dice,0.9993815422058105,0.09062335366273397
distance,0.595505952835083,0.054000143381598795
edema_binary_t2_gated,1.0303939580917358,0.09343554201530534
edema_boundary,0.15250180661678314,0.01382877767057308
edema_context,1.3921723365783691,0.12624140099561137
edema_dense,1.0303939580917358,0.09343554201530534
edema_extent,1.513648271560669,0.13725677015393545
edema_extent_area,0.125303253531456,0.011362428242179649
edema_extent_presence,2.9019932746887207,0.2631511107144624
injury,1.1457953453063965,0.1039000746137777
no_t2_edema_exclusive_total_loss,5.245920658111572,0.47569712167926315
relation,0.011408910155296326,0.0010345535276024278
scar_center,0.1953398883342743,0.017713310720031603
scar_component,0.9874187707901001,0.08953857630893217
scar_context,1.4388362169265747,0.13047285530357983
scar_dense,1.0063492059707642,0.09125517747667065
scar_extent,0.4509960412979126,0.04089606624195273
scar_extent_area,0.16411422193050385,0.014881784930974473
scar_extent_presence,0.7378778457641602,0.06691034620170211
six_class_ce,3.5698983669281006,0.3237163671565163
six_class_dice,0.9992707371711731,0.09061330592479055
wall,2.73117733001709,0.24766161735135273
