case_rows,empty_prediction_rate,mean_baseline_dice,mean_dice,mean_dice_delta_vs_standard_nnunet,mean_hd95,mean_remote_fp_volume_mm3,pathology,seed,subgroup,variant
44,1.0,0.3944358976789887,0.0,-0.3944358976789887,0.0,0.0,edema,20260723,all_cases,student_moddrop_control
16,1.0,0.3944358976789887,0.0,-0.3944358976789887,,0.0,edema,20260723,positive_gt,student_moddrop_control
16,1.0,0.3944358976789887,0.0,-0.3944358976789887,,0.0,edema,20260723,complete_trimodal,student_moddrop_control
7,1.0,0.5029744773313501,0.0,-0.5029744773313501,,0.0,edema,20260723,CenterB,student_moddrop_control
9,1.0,0.3100170023938187,0.0,-0.3100170023938187,,0.0,edema,20260723,CenterC,student_moddrop_control
24,1.0,,,,0.0,0.0,edema,20260723,lge_only,student_moddrop_control
4,1.0,,,,0.0,0.0,edema,20260723,lge_c0,student_moddrop_control
0,,,,,,,edema,20260723,small_scar,student_moddrop_control
0,,,,,,,edema,20260723,large_scar,student_moddrop_control
10,1.0,0.2782908961049526,0.0,-0.2782908961049526,,0.0,edema,20260723,low_baseline,student_moddrop_control
6,1.0,0.5880109003023821,0.0,-0.5880109003023821,,0.0,edema,20260723,high_baseline,student_moddrop_control
44,1.0,0.5601692281262312,0.0,-0.573196419478004,0.0,0.0,scar,20260723,all_cases,student_moddrop_control
43,1.0,0.573196419478004,0.0,-0.573196419478004,,0.0,scar,20260723,positive_gt,student_moddrop_control
16,1.0,0.6933346102422654,0.0,-0.6933346102422654,,0.0,scar,20260723,complete_trimodal,student_moddrop_control
7,1.0,0.6131815991584469,0.0,-0.6131815991584469,,0.0,scar,20260723,CenterB,student_moddrop_control
9,1.0,0.7556758410852354,0.0,-0.7556758410852354,,0.0,scar,20260723,CenterC,student_moddrop_control
24,1.0,0.501789292579108,0.0,-0.501789292579108,,0.0,scar,20260723,lge_only,student_moddrop_control
4,1.0,0.3777873129448342,0.0,-0.5037164172597789,0.0,0.0,scar,20260723,lge_c0,student_moddrop_control
0,,,,,,,scar,20260723,small_scar,student_moddrop_control
43,1.0,0.573196419478004,0.0,-0.573196419478004,,0.0,scar,20260723,large_scar,student_moddrop_control
14,1.0,0.32854785692224636,0.0,-0.3538207689931884,0.0,0.0,scar,20260723,low_baseline,student_moddrop_control
30,1.0,0.6682592013547575,0.0,-0.6682592013547575,,0.0,scar,20260723,high_baseline,student_moddrop_control
