case_rows,empty_prediction_rate,mean_baseline_dice,mean_dice,mean_dice_delta_vs_standard_nnunet,mean_hd95,mean_remote_fp_volume_mm3,pathology,seed,subgroup,variant
44,0.3181818181818182,0.3944358976789887,0.0,-0.3944358976789887,214.76490492583972,298101.5638274209,edema,20260724,all_cases,student_reliable_distill
16,0.875,0.3944358976789887,0.0,-0.3944358976789887,214.76490492583972,64.18575919534963,edema,20260724,positive_gt,student_reliable_distill
16,0.875,0.3944358976789887,0.0,-0.3944358976789887,214.76490492583972,64.18575919534963,edema,20260724,complete_trimodal,student_reliable_distill
7,1.0,0.5029744773313501,0.0,-0.5029744773313501,,0.0,edema,20260724,CenterB,student_reliable_distill
9,0.7777777777777778,0.3100170023938187,0.0,-0.3100170023938187,214.76490492583972,114.10801634728824,edema,20260724,CenterC,student_reliable_distill
24,0.0,,0.0,,,480744.8141613615,edema,20260724,lge_only,student_reliable_distill
4,0.0,,0.0,,,394391.5740966797,edema,20260724,lge_c0,student_reliable_distill
0,,,,,,,edema,20260724,small_scar,student_reliable_distill
0,,,,,,,edema,20260724,large_scar,student_reliable_distill
10,0.9,0.2782908961049526,0.0,-0.2782908961049526,215.82866017971352,14.674479966362327,edema,20260724,low_baseline,student_reliable_distill
6,0.8333333333333334,0.5880109003023821,0.0,-0.5880109003023821,213.7011496719659,146.70455791032848,edema,20260724,high_baseline,student_reliable_distill
44,0.0,0.5601692281262312,0.00813349645692629,-0.552035731669305,193.81521688330912,7717643.930171063,scar,20260724,all_cases,student_reliable_distill
43,0.0,0.573196419478004,0.008322647537319925,-0.5648737719406842,193.81521688330912,7819979.027020971,scar,20260724,positive_gt,student_reliable_distill
16,0.0,0.6933346102422654,0.010116019076024517,-0.683218591166241,202.85763728881082,5898837.096237345,scar,20260724,complete_trimodal,student_reliable_distill
7,0.0,0.6131815991584469,0.009423802501072848,-0.6037577966573741,209.87002746202947,4832886.137305261,scar,20260724,CenterB,student_reliable_distill
9,0.0,0.7556758410852354,0.010654409745431368,-0.7450214313398039,197.40355604297412,6727910.064295633,scar,20260724,CenterC,student_reliable_distill
24,0.0,0.501789292579108,0.006286770255453299,-0.4955025223236546,188.70061454277402,9247933.81634663,scar,20260724,lge_only,student_reliable_distill
4,0.0,0.3777873129448342,0.011283763189371337,-0.36650354975546284,186.50579344491413,5811131.948852539,scar,20260724,lge_c0,student_reliable_distill
0,,,,,,,scar,20260724,small_scar,student_reliable_distill
43,0.0,0.573196419478004,0.008322647537319925,-0.5648737719406842,193.81521688330912,7819979.027020971,scar,20260724,large_scar,student_reliable_distill
14,0.0,0.32854785692224636,0.0061732125645076324,-0.3223746443577387,189.87601086146586,7525449.033579704,scar,20260724,low_baseline,student_reliable_distill
30,0.0,0.6682592013547575,0.009048295606721662,-0.6592109057480359,195.52220615944123,7807334.881913697,scar,20260724,high_baseline,student_reliable_distill
